cohort	subtype	consensus_state	n_cells	n_units
GSE242230	DC	REFERENCE_LIKE	233	9
GSE242230	DC	UNCERTAIN	194	9
GSE242230	DC/Macrophage - Proliferating	REFERENCE_LIKE	35	6
GSE242230	DC/Macrophage - Proliferating	UNCERTAIN	75	7
GSE242230	TAM - C1QC	CNV_ABNORMAL_CANDIDATE	4	2
GSE242230	TAM - C1QC	REFERENCE_LIKE	347	8
GSE242230	TAM - C1QC	UNCERTAIN	704	9
GSE242230	TAM - FCN1	CNV_ABNORMAL_CANDIDATE	18	3
GSE242230	TAM - FCN1	REFERENCE_LIKE	722	9
GSE242230	TAM - FCN1	UNCERTAIN	992	9
GSE242230	TAM - SPP1	CNV_ABNORMAL_CANDIDATE	1	1
GSE242230	TAM - SPP1	REFERENCE_LIKE	223	7
GSE242230	TAM - SPP1	UNCERTAIN	360	6
GSE242230	pDC	REFERENCE_LIKE	18	6
GSE242230	pDC	UNCERTAIN	6	3
GSE263733	Myeloid	CNV_ABNORMAL_CANDIDATE	31	7
GSE263733	Myeloid	REFERENCE_LIKE	2775	11
GSE263733	Myeloid	UNCERTAIN	2272	11
GSE278688	Myeloid	CNV_ABNORMAL_CANDIDATE	66	8
GSE278688	Myeloid	REFERENCE_LIKE	3094	11
GSE278688	Myeloid	UNCERTAIN	1963	11
