gene	relation_count	metabolites	search_status	search_hit_count	abstracts_manually_reviewed	functional_status	exact_metabolite_mechanism	cell_source_status	cptac_status	work_group	next_evidence
AADAT	2	leucine;tryptophan	DONE	0	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
AASS	2	lysine;nicotinamide adenine dinucleotide (NAD+)	DONE	5	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
ABHD12	4	2-linoleoylglycerol (2-monolinolein);2-oleoylglycerol (2-monoolein);2-palmitoylglycerol (16:0);glycerol	DONE	1	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
ABHD16A	4	2-linoleoylglycerol (2-monolinolein);2-oleoylglycerol (2-monoolein);2-palmitoylglycerol (16:0);glycerol	DONE	0	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
ABHD16B	1	glycerol	DONE	0	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
ABHD2	1	glycerol	DONE	0	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
ABHD6	4	2-linoleoylglycerol (2-monolinolein);2-oleoylglycerol (2-monoolein);2-palmitoylglycerol (16:0);glycerol	DONE	5	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	HISTORICAL_SUMMARY_NEEDS_REVIEW	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
ACE2	2	leucine;lysine	DONE	139	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
ACLY	1	citrate	DONE	27	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
ACO1	1	citrate	DONE	5	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
ADA	1	2'-deoxyinosine	DONE	66	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	HISTORICAL_SUMMARY_NEEDS_REVIEW	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
ADH1A	1	nicotinamide adenine dinucleotide (NAD+)	DONE	4	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
ADH1B	1	nicotinamide adenine dinucleotide (NAD+)	DONE	9	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
ADH1C	1	nicotinamide adenine dinucleotide (NAD+)	DONE	5	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
ADH4	1	nicotinamide adenine dinucleotide (NAD+)	DONE	1	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
ADH5	1	nicotinamide adenine dinucleotide (NAD+)	DONE	2	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
ADH6	1	nicotinamide adenine dinucleotide (NAD+)	DONE	2	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
ADH7	1	nicotinamide adenine dinucleotide (NAD+)	DONE	1	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
ADPRM	1	glycerol 3-phosphate (G3P)	DONE	0	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
AGMAT	2	ornithine;taurine	DONE	1	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
AIFM1	1	nicotinamide adenine dinucleotide (NAD+)	DONE	4	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
AIFM2	1	nicotinamide adenine dinucleotide (NAD+)	DONE	2	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
AK4	1	2'-deoxycytidine 5'-monophosphate	DONE	9	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
AK9	1	2'-deoxycytidine 5'-monophosphate	DONE	0	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
