file	row_grain	data_scope	n_columns	delivery_status	result_paths	reason
sample_identity_audit_private.tsv	one author specimen linkage	SERVER_PRIVATE	14	ACCESS_BLOCKED		New matrix-dependent calculation not performed
metabolite_pairs_private.tsv	one explicit patient pair	SERVER_PRIVATE	9	ACCESS_BLOCKED		New matrix-dependent calculation not performed
RNA_pairs_private.tsv	one explicit RNA patient pair	SERVER_PRIVATE	9	ACCESS_BLOCKED		New matrix-dependent calculation not performed
tumor_multiomics_map_private.tsv	one independent tumor analysis unit	SERVER_PRIVATE	12	ACCESS_BLOCKED		New matrix-dependent calculation not performed
sample_audit_summary.tsv	one audit item, no identifiers	PUBLIC_AGGREGATE	10	DONE	results/PDAC/01_CAMP/20260922T112500Z_sop_v3_discovery/sample_audit_summary.tsv	Inherited outputs and explicit pending status;see individual table
source_manifest.tsv	one input file	PUBLIC_PROVENANCE	11	DONE	results/PDAC/01_CAMP/20260922T112500Z_sop_v3_discovery/source_manifest.tsv;results/PDAC/02_MAPPING/20260922T112600Z_sop_v3_mapping/source_manifest.tsv;results/PDAC/03_PATIENT/20260922T112700Z_sop_v3_patient/source_manifest.tsv;results/PDAC/06_EXTERNAL/20260922T112800Z_sop_v3_source/source_manifest.tsv;results/PDAC/07_INTEGRATION/20260922T112900Z_sop_v3_integration/source_manifest.tsv	Inherited outputs and explicit pending status;see individual table
metabolite_paired.tsv	one metabolite feature within a named analysis family	PUBLIC_AGGREGATE	51	DONE	results/PDAC/01_CAMP/20260922T112500Z_sop_v3_discovery/metabolite_paired.tsv	Inherited outputs and explicit pending status;see individual table
metabolite_available_sensitivity.tsv	one metabolite feature within a named analysis family	PUBLIC_AGGREGATE	51	DONE	results/PDAC/01_CAMP/20260922T112500Z_sop_v3_discovery/metabolite_available_sensitivity.tsv	Inherited outputs and explicit pending status;see individual table
metabolite_workpool.tsv	one metabolite feature within a named analysis family	PUBLIC_AGGREGATE	51	DONE	results/PDAC/01_CAMP/20260922T112500Z_sop_v3_discovery/metabolite_workpool.tsv	Inherited outputs and explicit pending status;see individual table
metabolite_direction_ranking.tsv	one metabolite feature within a named analysis family	PUBLIC_AGGREGATE	51	DONE	results/PDAC/01_CAMP/20260922T112500Z_sop_v3_discovery/metabolite_direction_ranking.tsv	Inherited outputs and explicit pending status;see individual table
metabolite_identity.tsv	one source feature	PUBLIC_ANNOTATION	13	DONE	results/PDAC/02_MAPPING/20260922T112600Z_sop_v3_mapping/metabolite_identity.tsv	Inherited outputs and explicit pending status;see individual table
mapping_evidence.tsv	one evidence source per relation	PUBLIC_ANNOTATION	20	DONE	results/PDAC/02_MAPPING/20260922T112600Z_sop_v3_mapping/mapping_evidence.tsv	Inherited outputs and explicit pending status;see individual table
direct_relations.tsv	one unique direct relation	PUBLIC_ANNOTATION	20	DONE	results/PDAC/02_MAPPING/20260922T112600Z_sop_v3_mapping/direct_relations.tsv	Inherited outputs and explicit pending status;see individual table
conditional_relations.tsv	one unresolved conditional relation	PUBLIC_ANNOTATION	20	DONE	results/PDAC/02_MAPPING/20260922T112600Z_sop_v3_mapping/conditional_relations.tsv	Inherited outputs and explicit pending status;see individual table
gene_pool_current.tsv	one stable gene identity	PUBLIC_ANNOTATION	11	DONE	results/PDAC/02_MAPPING/20260922T112600Z_sop_v3_mapping/gene_pool_current.tsv	Inherited outputs and explicit pending status;see individual table
gene_pool_history_union.tsv	one stable gene identity	PUBLIC_ANNOTATION	11	DONE	results/PDAC/02_MAPPING/20260922T112600Z_sop_v3_mapping/gene_pool_history_union.tsv	Inherited outputs and explicit pending status;see individual table
tumor_association.tsv	one exact metabolite-gene relation in one cohort/family	PUBLIC_AGGREGATE	42	DONE	results/PDAC/03_PATIENT/20260922T112700Z_sop_v3_patient/tumor_association.tsv	Inherited outputs and explicit pending status;see individual table
tumor_association_available.tsv	one exact metabolite-gene relation in one cohort/family	PUBLIC_AGGREGATE	42	DONE	results/PDAC/03_PATIENT/20260922T112700Z_sop_v3_patient/tumor_association_available.tsv	Inherited outputs and explicit pending status;see individual table
relation_coverage.tsv	one relation and cohort	PUBLIC_AGGREGATE	13	DONE	results/PDAC/03_PATIENT/20260922T112700Z_sop_v3_patient/relation_coverage.tsv	Inherited outputs and explicit pending status;see individual table
paired_RNA.tsv	one gene within RNA contrast/family	PUBLIC_AGGREGATE	44	PARTIAL	results/PDAC/03_PATIENT/20260922T112700Z_sop_v3_patient/paired_RNA.tsv	Inherited outputs and explicit pending status;see individual table
RNA_P005_view.tsv	one gene within RNA contrast/family	PUBLIC_AGGREGATE	44	PARTIAL	results/PDAC/03_PATIENT/20260922T112700Z_sop_v3_patient/RNA_P005_view.tsv	Empty RNA P005 table means not run,not zero significant
RNA_identity_coverage.tsv	one requested gene and platform	PUBLIC_ANNOTATION	10	DONE	results/PDAC/03_PATIENT/20260922T112700Z_sop_v3_patient/RNA_identity_coverage.tsv	Inherited outputs and explicit pending status;see individual table
sc_dataset_registry.tsv	one scRNA study release	PUBLIC_PROVENANCE	15	PARTIAL	results/PDAC/06_EXTERNAL/20260922T112800Z_sop_v3_source/sc_dataset_registry.tsv	Inherited outputs and explicit pending status;see individual table
sc_annotation_map.tsv	one author class to coarse class	PUBLIC_ANNOTATION	9	ACCESS_BLOCKED		New matrix-dependent calculation not performed
sc_gene_coverage.tsv	one requested gene and study	PUBLIC_ANNOTATION	10	PARTIAL	results/PDAC/06_EXTERNAL/20260922T112800Z_sop_v3_source/sc_gene_coverage.tsv	Inherited outputs and explicit pending status;see individual table
sc_donor_profiles_private.tsv	one donor-celltype-gene-partition	SERVER_PRIVATE	13	ACCESS_BLOCKED		New matrix-dependent calculation not performed
sc_celltype_profiles.tsv	one gene-celltype-study-partition	PUBLIC_AGGREGATE	36	ACCESS_BLOCKED		New matrix-dependent calculation not performed
sc_source_stability.tsv	one gene-study-partition	PUBLIC_AGGREGATE	22	ACCESS_BLOCKED		New matrix-dependent calculation not performed
sc_cross_study.tsv	one gene and explicit study pair	PUBLIC_AGGREGATE	17	ACCESS_BLOCKED		New matrix-dependent calculation not performed
candidate_relations_integrated.tsv	one relation with explicit source versions	PUBLIC_AGGREGATE	31	PARTIAL	results/PDAC/07_INTEGRATION/20260922T112900Z_sop_v3_integration/candidate_relations_integrated.tsv	Inherited outputs and explicit pending status;see individual table
candidate_genes_integrated.tsv	one gene in history union	PUBLIC_AGGREGATE	17	PARTIAL	results/PDAC/07_INTEGRATION/20260922T112900Z_sop_v3_integration/candidate_genes_integrated.tsv	Inherited outputs and explicit pending status;see individual table
