cancer	cohort	relation_id	metabolite_key	stable_gene_id	gene	mapping_version	metabolite_effect	metabolite_p	metabolite_q	metabolite_n	metabolite_source_run	association_rho	association_p	association_q	association_n	association_source_run	RNA_effect	RNA_p	RNA_q	RNA_n	RNA_source_run	sc_source_run	metabolite_evidence	patient_association_evidence	RNA_background	cell_background	data_limitations	next_action	status	reason	metabolite_name	mapping_status	association_available_rho	association_available_p	association_available_q	association_available_n	historical_RNA_Wilcoxon_p	historical_RNA_Wilcoxon_q	historical_RNA_source_run
PDAC	CAMP_PDAC_GSE62452	be518d6b74258c87	KEGG:C00184	UniProtKB:Q9H993	DCPH1	PDAC_paired51_mapping_v2	0.8732457510846998	0.02734375	0.25783203125	11	20260922T112500Z_sop_v3_discovery	0.4065446313164417	0.0679	0.31308311688311685	21	20260922T112700Z_sop_v3_patient	NA	NA	NA	NA	20260922T112700Z_sop_v3_patient	20260922T112800Z_sop_v3_source	NOMINAL_EXPLORATORY	NOT_SUPPORTED_THIS_TEST	ACCESS_BLOCKED_PAIRED_T_PENDING	ACCESS_BLOCKED_CELLWISE_SOURCE_PENDING	same_cohort_postselection;aliquot_level_unverified;conditional_relations_separate;new_RNA_and_SC_pending	Complete SOP paired RNA and cell-source background;no significance gate	PARTIAL	Reused patient association;new q;RNA/sc not filled from incompatible historical methods	1,3-dihydroxyacetone	DIRECT	0.4529411764705882	0.0799	0.4944	16	0.0244140625	0.0931543661347517	20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	567cc28eb507571a	KEGG:C00184	UniProtKB:Q3LXA3	TKFC	PDAC_paired51_mapping_v2	0.8732457510846998	0.02734375	0.25783203125	11	20260922T112500Z_sop_v3_discovery	-0.3451054105065614	0.1311	0.4668594059405941	21	20260922T112700Z_sop_v3_patient	NA	NA	NA	NA	20260922T112700Z_sop_v3_patient	20260922T112800Z_sop_v3_source	NOMINAL_EXPLORATORY	NOT_SUPPORTED_THIS_TEST	ACCESS_BLOCKED_PAIRED_T_PENDING	ACCESS_BLOCKED_CELLWISE_SOURCE_PENDING	same_cohort_postselection;aliquot_level_unverified;conditional_relations_separate;new_RNA_and_SC_pending	Complete SOP paired RNA and cell-source background;no significance gate	PARTIAL	Reused patient association;new q;RNA/sc not filled from incompatible historical methods	1,3-dihydroxyacetone	DIRECT	-0.3588235294117647	0.1739	0.6728478260869565	16	0.0185546875	0.0786017470472441	20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	933849e4a7e53a7f	NAME:1-myristoylglycerol (14:0)	UniProtKB:Q8N2K0	ABHD12	PDAC_paired51_mapping_v2	-2.833821594929792	0.005859375	0.17488606770833334	11	20260922T112500Z_sop_v3_discovery	0.4521829513455845	0.0393	0.23187	21	20260922T112700Z_sop_v3_patient	NA	NA	NA	NA	20260922T112700Z_sop_v3_patient	20260922T112800Z_sop_v3_source	NOMINAL_EXPLORATORY	NOMINAL_EXPLORATORY	ACCESS_BLOCKED_PAIRED_T_PENDING	ACCESS_BLOCKED_CELLWISE_SOURCE_PENDING	same_cohort_postselection;aliquot_level_unverified;conditional_relations_separate;new_RNA_and_SC_pending	Complete SOP paired RNA and cell-source background;no significance gate	PARTIAL	Reused patient association;new q;RNA/sc not filled from incompatible historical methods	1-myristoylglycerol (14:0)	DIRECT	0.0489510489510489	0.8872	0.9725076923076923	12	0.009765625	0.0577352335164835	20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	1f8efd07d56da2aa	NAME:1-myristoylglycerol (14:0)	UniProtKB:O95870	ABHD16A	PDAC_paired51_mapping_v2	-2.833821594929792	0.005859375	0.17488606770833334	11	20260922T112500Z_sop_v3_discovery	-0.0666591888761728	0.7716	0.8647873817034701	21	20260922T112700Z_sop_v3_patient	NA	NA	NA	NA	20260922T112700Z_sop_v3_patient	20260922T112800Z_sop_v3_source	NOMINAL_EXPLORATORY	NOT_SUPPORTED_THIS_TEST	ACCESS_BLOCKED_PAIRED_T_PENDING	ACCESS_BLOCKED_CELLWISE_SOURCE_PENDING	same_cohort_postselection;aliquot_level_unverified;conditional_relations_separate;new_RNA_and_SC_pending	Complete SOP paired RNA and cell-source background;no significance gate	PARTIAL	Reused patient association;new q;RNA/sc not filled from incompatible historical methods	1-myristoylglycerol (14:0)	DIRECT	-0.0839160839160839	0.799	0.9422689655172415	12	0.7001953125	0.7947364517405063	20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	edca165ae2cf8fdd	NAME:1-myristoylglycerol (14:0)	UniProtKB:Q9BV23	ABHD6	PDAC_paired51_mapping_v2	-2.833821594929792	0.005859375	0.17488606770833334	11	20260922T112500Z_sop_v3_discovery	-0.4350027480269833	0.0544	0.2752225352112676	21	20260922T112700Z_sop_v3_patient	NA	NA	NA	NA	20260922T112700Z_sop_v3_patient	20260922T112800Z_sop_v3_source	NOMINAL_EXPLORATORY	NOT_SUPPORTED_THIS_TEST	ACCESS_BLOCKED_PAIRED_T_PENDING	ACCESS_BLOCKED_CELLWISE_SOURCE_PENDING	same_cohort_postselection;aliquot_level_unverified;conditional_relations_separate;new_RNA_and_SC_pending	Complete SOP paired RNA and cell-source background;no significance gate	PARTIAL	Reused patient association;new q;RNA/sc not filled from incompatible historical methods	1-myristoylglycerol (14:0)	DIRECT	-0.1958041958041958	0.5416	0.8655476635514018	12	0.3203125	0.4464459196891192	20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	e524515780687985	NAME:1-myristoylglycerol (14:0)	UniProtKB:Q99685	MGLL	PDAC_paired51_mapping_v2	-2.833821594929792	0.005859375	0.17488606770833334	11	20260922T112500Z_sop_v3_discovery	-0.5717571664430492	0.0086	0.12319199999999998	21	20260922T112700Z_sop_v3_patient	NA	NA	NA	NA	20260922T112700Z_sop_v3_patient	20260922T112800Z_sop_v3_source	NOMINAL_EXPLORATORY	NOMINAL_EXPLORATORY	ACCESS_BLOCKED_PAIRED_T_PENDING	ACCESS_BLOCKED_CELLWISE_SOURCE_PENDING	same_cohort_postselection;aliquot_level_unverified;conditional_relations_separate;new_RNA_and_SC_pending	Complete SOP paired RNA and cell-source background;no significance gate	PARTIAL	Reused patient association;new q;RNA/sc not filled from incompatible historical methods	1-myristoylglycerol (14:0)	DIRECT	-0.1608391608391608	0.6226	0.8909171548117155	12	0.0048828125	0.047762784090909	20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	bb1f9b8dbed33ba8	NAME:1-oleoylglycerol (1-monoolein)	UniProtKB:Q8N2K0	ABHD12	PDAC_paired51_mapping_v2	-3.077376633522801	0.005859375	0.17488606770833334	11	20260922T112500Z_sop_v3_discovery	0.5287705633524583	0.0176	0.15975384615384616	21	20260922T112700Z_sop_v3_patient	NA	NA	NA	NA	20260922T112700Z_sop_v3_patient	20260922T112800Z_sop_v3_source	NOMINAL_EXPLORATORY	NOMINAL_EXPLORATORY	ACCESS_BLOCKED_PAIRED_T_PENDING	ACCESS_BLOCKED_CELLWISE_SOURCE_PENDING	same_cohort_postselection;aliquot_level_unverified;conditional_relations_separate;new_RNA_and_SC_pending	Complete SOP paired RNA and cell-source background;no significance gate	PARTIAL	Reused patient association;new q;RNA/sc not filled from incompatible historical methods	1-oleoylglycerol (1-monoolein)	DIRECT	0.1571428571428571	0.5668	0.866498275862069	15	0.009765625	0.0577352335164835	20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	a62402e78c0edd9c	NAME:1-oleoylglycerol (1-monoolein)	UniProtKB:O95870	ABHD16A	PDAC_paired51_mapping_v2	-3.077376633522801	0.005859375	0.17488606770833334	11	20260922T112500Z_sop_v3_discovery	-0.0098528676401079	0.9685	0.9767777777777777	21	20260922T112700Z_sop_v3_patient	NA	NA	NA	NA	20260922T112700Z_sop_v3_patient	20260922T112800Z_sop_v3_source	NOMINAL_EXPLORATORY	NOT_SUPPORTED_THIS_TEST	ACCESS_BLOCKED_PAIRED_T_PENDING	ACCESS_BLOCKED_CELLWISE_SOURCE_PENDING	same_cohort_postselection;aliquot_level_unverified;conditional_relations_separate;new_RNA_and_SC_pending	Complete SOP paired RNA and cell-source background;no significance gate	PARTIAL	Reused patient association;new q;RNA/sc not filled from incompatible historical methods	1-oleoylglycerol (1-monoolein)	DIRECT	-0.1892857142857142	0.4979	0.8587103773584907	15	0.7001953125	0.7947364517405063	20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	8844e24ed7c15221	NAME:1-oleoylglycerol (1-monoolein)	UniProtKB:Q9H3Z7	ABHD16B	PDAC_paired51_mapping_v2	-3.077376633522801	0.005859375	0.17488606770833334	11	20260922T112500Z_sop_v3_discovery	0.4657122104557676	0.034	0.2203344827586207	21	20260922T112700Z_sop_v3_patient	NA	NA	NA	NA	20260922T112700Z_sop_v3_patient	20260922T112800Z_sop_v3_source	NOMINAL_EXPLORATORY	NOMINAL_EXPLORATORY	ACCESS_BLOCKED_PAIRED_T_PENDING	ACCESS_BLOCKED_CELLWISE_SOURCE_PENDING	same_cohort_postselection;aliquot_level_unverified;conditional_relations_separate;new_RNA_and_SC_pending	Complete SOP paired RNA and cell-source background;no significance gate	PARTIAL	Reused patient association;new q;RNA/sc not filled from incompatible historical methods	1-oleoylglycerol (1-monoolein)	DIRECT	0.1892857142857142	0.503	0.8587103773584907	15	0.0068359375	0.0517990757042253	20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	0715831efa52ca20	NAME:1-oleoylglycerol (1-monoolein)	UniProtKB:Q9BV23	ABHD6	PDAC_paired51_mapping_v2	-3.077376633522801	0.005859375	0.17488606770833334	11	20260922T112500Z_sop_v3_discovery	-0.3277720634942567	0.1467	0.48821217391304345	21	20260922T112700Z_sop_v3_patient	NA	NA	NA	NA	20260922T112700Z_sop_v3_patient	20260922T112800Z_sop_v3_source	NOMINAL_EXPLORATORY	NOT_SUPPORTED_THIS_TEST	ACCESS_BLOCKED_PAIRED_T_PENDING	ACCESS_BLOCKED_CELLWISE_SOURCE_PENDING	same_cohort_postselection;aliquot_level_unverified;conditional_relations_separate;new_RNA_and_SC_pending	Complete SOP paired RNA and cell-source background;no significance gate	PARTIAL	Reused patient association;new q;RNA/sc not filled from incompatible historical methods	1-oleoylglycerol (1-monoolein)	DIRECT	-0.5714285714285713	0.03	0.3631235294117647	15	0.3203125	0.4464459196891192	20260922T053500Z_internal_paired51_v2
