cancer	cohort	stable_gene_id	gene	source_feature_id	source_symbol	match_method	status	reason	source_id
PDAC	GSE263733	UniProtKB:Q8N5Z0	AADAT	AADAT	AADAT	EXACT_CANONICAL	DONE	Source symbol linked to stable UniProt identity;no highest-expression match	GSE263733
PDAC	GSE263733	UniProtKB:Q9UDR5	AASS	AASS	AASS	EXACT_CANONICAL	DONE	Source symbol linked to stable UniProt identity;no highest-expression match	GSE263733
PDAC	GSE263733	UniProtKB:P80404	ABAT	ABAT	ABAT	EXACT_CANONICAL	DONE	Source symbol linked to stable UniProt identity;no highest-expression match	GSE263733
PDAC	GSE263733	UniProtKB:Q8NFV4	ABHD11	ABHD11	ABHD11	EXACT_CANONICAL	DONE	Source symbol linked to stable UniProt identity;no highest-expression match	GSE263733
PDAC	GSE263733	UniProtKB:Q8N2K0	ABHD12	ABHD12	ABHD12	EXACT_CANONICAL	DONE	Source symbol linked to stable UniProt identity;no highest-expression match	GSE263733
PDAC	GSE263733	UniProtKB:O95870	ABHD16A	ABHD16A	ABHD16A	EXACT_CANONICAL	DONE	Source symbol linked to stable UniProt identity;no highest-expression match	GSE263733
PDAC	GSE263733	UniProtKB:Q9H3Z7	ABHD16B	ABHD16B	ABHD16B	EXACT_CANONICAL	DONE	Source symbol linked to stable UniProt identity;no highest-expression match	GSE263733
PDAC	GSE263733	UniProtKB:P08910	ABHD2	ABHD2	ABHD2	EXACT_CANONICAL	DONE	Source symbol linked to stable UniProt identity;no highest-expression match	GSE263733
PDAC	GSE263733	UniProtKB:Q9BV23	ABHD6	ABHD6	ABHD6	EXACT_CANONICAL	DONE	Source symbol linked to stable UniProt identity;no highest-expression match	GSE263733
PDAC	GSE263733	UniProtKB:P42765	ACAA2	ACAA2	ACAA2	EXACT_CANONICAL	DONE	Source symbol linked to stable UniProt identity;no highest-expression match	GSE263733
PDAC	GSE263733	UniProtKB:Q9BYF1	ACE2	ACE2	ACE2	EXACT_CANONICAL	DONE	Source symbol linked to stable UniProt identity;no highest-expression match	GSE263733
PDAC	GSE263733	UniProtKB:Q5QJU3	ACER2	ACER2	ACER2	EXACT_CANONICAL	DONE	Source symbol linked to stable UniProt identity;no highest-expression match	GSE263733
PDAC	GSE263733	UniProtKB:P53396	ACLY	ACLY	ACLY	EXACT_CANONICAL	DONE	Source symbol linked to stable UniProt identity;no highest-expression match	GSE263733
PDAC	GSE263733	UniProtKB:P21399	ACO1	ACO1	ACO1	EXACT_CANONICAL	DONE	Source symbol linked to stable UniProt identity;no highest-expression match	GSE263733
