gene	stable_gene_id	in_current_pool	history_only	RNA_effect	RNA_p	RNA_q	RNA_n	RNA_background	GSE263733__source_status	GSE263733__reason	GSE263733__display_top	GSE263733__mechanical_top	GSE263733__top_n	GSE263733__top_detection	GSE263733__bootstrap	GSE278688__source_status	GSE278688__reason	GSE278688__display_top	GSE278688__mechanical_top	GSE278688__top_n	GSE278688__top_detection	GSE278688__bootstrap	GSE242230__source_status	GSE242230__reason	GSE242230__display_top	GSE242230__mechanical_top	GSE242230__top_n	GSE242230__top_detection	GSE242230__bootstrap
AADAT	UniProtKB:Q8N5Z0	True	False	0.13386831099118	0.3477570247335529	0.4473749224436853	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	11	0.0839968606068198	0.72	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	13	0.0243375030640475	0.791	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	7	0.0284616796839034	0.759
AASS	UniProtKB:Q9UDR5	True	False	-0.5993745209815109	0.0526687366979074	0.1369387154145594	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	4	0.1368913224804418	0.586	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	13	0.1864344173694916	0.982	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	7	0.0971067185029379	0.801
ABAT	UniProtKB:P80404	True	False	-1.0301994819100253	0.0021131479659176	0.0319639403272975	11	FDR_SUPPORTED	DONE	Descriptive donor-equal ranking;not differential expression	Acinar	Acinar	4	0.274145028931136	0.788	DONE	Descriptive donor-equal ranking;not differential expression	T/NK	T/NK	13	0.0344253215758986	0.625	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.037558655679353	0.473
ABHD11	UniProtKB:Q8NFV4	False	True	-0.1004790672809507	0.2936580902031547	0.4207673725768321	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.6575772718692808	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.2594312133650035	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.4855335152936352	0.732
ABHD12	UniProtKB:Q8N2K0	True	False	-0.2688849895141618	0.0076121038876326	0.0490225946823629	11	FDR_SUPPORTED	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.3410732747778219	0.751	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	13	0.3027764253526437	0.93	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.5096291063869774	0.94
ABHD16A	UniProtKB:O95870	True	False	-0.015628304209419	0.858225512329917	0.8869527261317552	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	11	0.0325087983726789	0.366	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	13	0.214094651760736	0.933	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.4038238893373825	0.958
ABHD16B	UniProtKB:Q9H3Z7	True	False	-0.4533424643690726	0.0166660434044348	0.0722195214192178	11	NOMINAL_EXPLORATORY	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA
ABHD2	UniProtKB:P08910	True	False	0.1605965623752218	0.5542255254346605	0.6396902092633698	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.7930099025223155	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.3610023004088956	0.998	DONE	Descriptive donor-equal ranking;not differential expression	Malignant (author)	Malignant (author)	23	0.4674037000845215	0.678
ABHD6	UniProtKB:Q9BV23	True	False	0.07227496456974	0.472768714912714	0.5668634591429144	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	4	0.12694923013499	0.393	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	13	0.1135545514583028	0.841	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.0710139977132921	0.948
ACAA2	UniProtKB:P42765	True	False	0.2651578435160655	0.1765112709547757	0.2794761790117282	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	11	0.5052272100513082	0.905	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.2509400658012936	0.828	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.7490515959968733	0.961
