gene	stable_gene_id	in_current_pool	history_only	RNA_effect	RNA_p	RNA_q	RNA_n	RNA_background
AADAT	UniProtKB:Q8N5Z0	True	False	0.13386831099118	0.3477570247335529	0.4473749224436853	11	NOT_SUPPORTED_THIS_TEST
AASS	UniProtKB:Q9UDR5	True	False	-0.5993745209815109	0.0526687366979074	0.1369387154145594	11	NOT_SUPPORTED_THIS_TEST
ABAT	UniProtKB:P80404	True	False	-1.0301994819100253	0.0021131479659176	0.0319639403272975	11	FDR_SUPPORTED
ABHD11	UniProtKB:Q8NFV4	False	True	-0.1004790672809507	0.2936580902031547	0.4207673725768321	11	NOT_SUPPORTED_THIS_TEST
ABHD12	UniProtKB:Q8N2K0	True	False	-0.2688849895141618	0.0076121038876326	0.0490225946823629	11	FDR_SUPPORTED
ABHD16A	UniProtKB:O95870	True	False	-0.015628304209419	0.858225512329917	0.8869527261317552	11	NOT_SUPPORTED_THIS_TEST
ABHD16B	UniProtKB:Q9H3Z7	True	False	-0.4533424643690726	0.0166660434044348	0.0722195214192178	11	NOMINAL_EXPLORATORY
ABHD2	UniProtKB:P08910	True	False	0.1605965623752218	0.5542255254346605	0.6396902092633698	11	NOT_SUPPORTED_THIS_TEST
ABHD6	UniProtKB:Q9BV23	True	False	0.07227496456974	0.472768714912714	0.5668634591429144	11	NOT_SUPPORTED_THIS_TEST
ACAA2	UniProtKB:P42765	True	False	0.2651578435160655	0.1765112709547757	0.2794761790117282	11	NOT_SUPPORTED_THIS_TEST
ACE2	UniProtKB:Q9BYF1	True	False	0.1892344173494891	0.4029487047439225	0.5052199496027862	11	NOT_SUPPORTED_THIS_TEST
ACER2	UniProtKB:Q5QJU3	True	False	-0.2123940845245365	0.1158869659288157	0.2201852352647499	11	NOT_SUPPORTED_THIS_TEST
ACLY	UniProtKB:P53396	False	True	0.5187682960700944	0.016897807122392	0.0755120755781894	11	NOMINAL_EXPLORATORY
ACO1	UniProtKB:P21399	False	True	-0.3804312510831039	0.0073170766936796	0.0627805180317716	11	NOMINAL_EXPLORATORY
ACOT1	UniProtKB:Q86TX2	True	False	-0.1598927789761508	0.2496805435424004	0.3544315761780052	11	NOT_SUPPORTED_THIS_TEST
ACOT11	UniProtKB:Q8WXI4	True	False	0.2536963447739518	0.1410815746330699	0.2436863561843935	11	NOT_SUPPORTED_THIS_TEST
ACOT13	UniProtKB:Q9NPJ3	True	False	-0.0379213333998517	0.7220988419390246	0.7721143461425934	11	NOT_SUPPORTED_THIS_TEST
ACOT2	UniProtKB:P49753	True	False	-0.3023586672005509	0.0054619545780181	0.0435194445409835	11	FDR_SUPPORTED
ACOT4	UniProtKB:Q8N9L9	True	False	-0.0173009161208473	0.8244403782700724	0.85967181021557	11	NOT_SUPPORTED_THIS_TEST
ACOT7	UniProtKB:O00154	False	True	-0.1942545491524917	0.1820765860962743	0.3048673228327858	11	NOT_SUPPORTED_THIS_TEST
ACOT8	UniProtKB:O14734	True	False	-0.2970008979910055	0.0233348481044833	0.0900579294032403	11	NOMINAL_EXPLORATORY
ACOT9	UniProtKB:Q9Y305	False	True	0.6434515811073165	0.0203912263688342	0.0817554776843913	11	NOMINAL_EXPLORATORY
ACSL3	UniProtKB:O95573	False	True	0.957785199969198	0.0168972507187375	0.0755120755781894	11	NOMINAL_EXPLORATORY
ACSM1	UniProtKB:Q08AH1	True	False	-0.2480609682648273	0.0111070674402179	0.0596401229942138	11	NOMINAL_EXPLORATORY
ACSM2A	UniProtKB:Q08AH3	False	True	-0.014662194342759	0.9136298120385452	0.9490246715848328	11	NOT_SUPPORTED_THIS_TEST
ACSM2B	UniProtKB:Q68CK6	True	False	-0.2241722335050745	0.0619707632950111	0.1512663776711788	11	NOT_SUPPORTED_THIS_TEST
ACSM4	UniProtKB:P0C7M7	False	True	NA	NA	NA	0	NOT_EVALUABLE
ACY3	UniProtKB:Q96HD9	False	True	-0.3968687824263355	0.0124555989681695	0.0702742022750811	11	NOMINAL_EXPLORATORY
ADA	UniProtKB:P00813	True	False	0.0635568880581509	0.7332510846555644	0.7781944061580373	11	NOT_SUPPORTED_THIS_TEST
ADA2	UniProtKB:Q9NZK5	True	False	0.0489465506556999	0.7857431714240593	0.829395569836507	11	NOT_SUPPORTED_THIS_TEST
ADH1A	UniProtKB:P07327	False	True	-0.0572837919773217	0.7019336406279899	0.7941958468463751	11	NOT_SUPPORTED_THIS_TEST
ADH1B	UniProtKB:P00325	False	True	-0.3239206233507881	0.3572421252489527	0.4849901004170908	11	NOT_SUPPORTED_THIS_TEST
ADH1C	UniProtKB:P00326	False	True	-0.3279551503534055	0.298545328827582	0.4240925366458035	11	NOT_SUPPORTED_THIS_TEST
ADH4	UniProtKB:P08319	False	True	0.0545318629944518	0.5547537462911093	0.664774740667279	11	NOT_SUPPORTED_THIS_TEST
ADH5	UniProtKB:P11766	False	True	0.5047590928524307	0.0531824731130206	0.1461765263654361	11	NOT_SUPPORTED_THIS_TEST
ADH6	UniProtKB:P28332	False	True	0.1795532082775809	0.0960084914705904	0.2000112062406997	11	NOT_SUPPORTED_THIS_TEST
ADH7	UniProtKB:P40394	False	True	-0.0864352643210817	0.4140793942311375	0.543241774083052	11	NOT_SUPPORTED_THIS_TEST
ADHFE1	UniProtKB:Q8IWW8	True	False	-0.5222293135875501	0.074790444227378	0.1681321851954083	11	NOT_SUPPORTED_THIS_TEST
ADPRM	UniProtKB:Q3LIE5	False	True	0.0175607189237727	0.8859074394853429	0.9360943141359904	11	NOT_SUPPORTED_THIS_TEST
AGMAT	UniProtKB:Q9BSE5	True	False	-0.0699239466786172	0.6570141141790136	0.7212554942320727	11	NOT_SUPPORTED_THIS_TEST
AGXT	UniProtKB:P21549	True	False	-0.4525694094812134	0.0010410339895038	0.0318967003557723	11	FDR_SUPPORTED
