cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	n_pairs_total	n_pairs_used	n_nonzero	n_up	n_down	n_equal	up_fraction	down_fraction	mean_delta	median_delta	rank_biserial	n_both_available	missing_rate_tumor	missing_rate_normal	mask_semantics	p_method	zero_method	tie_method	continuity_correction	B	seed	bootstrap_valid	ci_method	ci_estimand	family_n_planned	direction_discordant	evidence_tier	workpool_entry	n_both_preimputation_available	original_camp_g	original_camp_q	same_input_reused	q_original	p_original	reused_from	statistics_reused	bootstrap_B	marginal_mask_status	pairs_higher	pairs_lower	pairs_equal	relation_id	stable_gene_id	n_tumor_linked	n_complete	n_unique_patients	unit_verification	n_metabolite_available	rho	same_cohort_postselection	mapping_tier	rna_label	n_preimputation_available	available_fraction	input_hash	loo_n_valid	loo_rho_min	loo_rho_max	loo_max_abs_change	loo_sign_changes	expression_platform	expression_scale	model_formula	bootstrap_mean_lower	bootstrap_mean_upper	probe_mapping_status	current_pool	history_only	t_statistic	df	positive_pairs	negative_pairs	equal_pairs
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T121000Z_sop_v3_discovery_complete	PDAC_CAMP_source_SOP_v3	primary	HMDB:HMDB0037397	(16 or 17)-methylstearate (a19:0 or i19:0)	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	-0.241681169018173	-0.9587021937491996	0.5123251193945871	0.5771484375	0.8202989366319444	METAB_PAIRED_PRIMARY	307	DONE	Exact same input/effect/P/CI reused;BH over evaluable;availability fractions verified on server	CAMP_mapping_plus_GSE62452_author_pair_table	11	11	11	3	8	0	0.2727272727272727	0.7272727272727273	-0.241681169018173	-0.4232031608903028	-0.2121212121212121	11	0.0	0.0	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	1550084397	10000.0	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	False	NOT_SUPPORTED_THIS_TEST	False	11	-0.735013762827141	0.0816683379714033	False	0.8202989366319444	0.5771484375	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	DONE_SERVER_SOURCE_CHECKED	3	8	0																																
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T121000Z_sop_v3_discovery_complete	PDAC_CAMP_source_SOP_v3	primary	HMDB:HMDB07098	1,2-dipalmitoylglycerol	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	-2.2415684744905096	-3.7633507682291567	-0.7566564424445462	0.0390625	0.25783203125	METAB_PAIRED_PRIMARY	307	DONE	Exact same input/effect/P/CI reused;BH over evaluable;availability fractions verified on server	CAMP_mapping_plus_GSE62452_author_pair_table	11	11	9	2	7	2	0.1818181818181818	0.6363636363636364	-2.2415684744905096	-2.744838327735099	-0.7777777777777778	5	0.5454545454545454	0.1818181818181818	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	1760523389	10000.0	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	False	NOMINAL_EXPLORATORY	True	5	-0.822478355429891	0.116290740921795	False	0.25783203125	0.0390625	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	DONE_SERVER_SOURCE_CHECKED	2	7	2																																
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T121000Z_sop_v3_discovery_complete	PDAC_CAMP_source_SOP_v3	primary	KEGG:C00184	1,3-dihydroxyacetone	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	0.8732457510846998	0.2478146106800346	1.5133682229827563	0.02734375	0.25783203125	METAB_PAIRED_PRIMARY	307	DONE	Exact same input/effect/P/CI reused;BH over evaluable;availability fractions verified on server	CAMP_mapping_plus_GSE62452_author_pair_table	11	11	9	8	1	2	0.7272727272727273	0.0909090909090909	0.8732457510846998	0.564789399780599	0.8222222222222222	4	0.2727272727272727	0.5454545454545454	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	132299585	10000.0	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	False	NOMINAL_EXPLORATORY	True	4	0.84453497874925	0.0813113981805886	False	0.25783203125	0.02734375	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	DONE_SERVER_SOURCE_CHECKED	8	1	2																																
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T121000Z_sop_v3_discovery_complete	PDAC_CAMP_source_SOP_v3	primary	KEGG:C07326	1,5-anhydroglucitol (1,5-AG)	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	-0.073221495660591	-0.9405639592802276	0.8092892952441908	0.845703125	0.9651704809479554	METAB_PAIRED_PRIMARY	307	DONE	Exact same input/effect/P/CI reused;BH over evaluable;availability fractions verified on server	CAMP_mapping_plus_GSE62452_author_pair_table	11	11	10	4	6	1	0.3636363636363636	0.5454545454545454	-0.073221495660591	-0.0498016812417994	-0.0909090909090909	9	0.1818181818181818	0.0909090909090909	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	2693008706	10000.0	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	False	NOT_SUPPORTED_THIS_TEST	False	9	0.00447850458207	0.898497970966782	False	0.9651704809479554	0.845703125	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	DONE_SERVER_SOURCE_CHECKED	4	6	1																																
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T121000Z_sop_v3_discovery_complete	PDAC_CAMP_source_SOP_v3	primary	NAME:1-(1-enyl-palmitoyl)-GPE (P-16:0)	1-(1-enyl-palmitoyl)-GPE (P-16:0)	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	0.1294837039215631	-0.8799526905361286	1.123921080927598	0.8310546875	0.9591495829417294	METAB_PAIRED_PRIMARY	307	DONE	Exact same input/effect/P/CI reused;BH over evaluable;availability fractions verified on server	CAMP_mapping_plus_GSE62452_author_pair_table	11	11	11	7	4	0	0.6363636363636364	0.3636363636363636	0.1294837039215631	0.2366453110846968	0.0909090909090908	11	0.0	0.0	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	3958823055	10000.0	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	False	NOT_SUPPORTED_THIS_TEST	False	11	-0.482178810493073	0.458392588054548	False	0.9591495829417294	0.8310546875	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	DONE_SERVER_SOURCE_CHECKED	7	4	0																																
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T121000Z_sop_v3_discovery_complete	PDAC_CAMP_source_SOP_v3	primary	KEGG:C05208	1-arachidonoyl-GPC (20:4n6)	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	0.9002798711978361	-0.414823135346018	2.3818360083335115	0.25	0.5367132867132867	METAB_PAIRED_PRIMARY	307	DONE	Exact same input/effect/P/CI reused;BH over evaluable;availability fractions verified on server	CAMP_mapping_plus_GSE62452_author_pair_table	11	11	8	5	3	3	0.4545454545454545	0.2727272727272727	0.9002798711978361	0.0	0.5	2	0.5454545454545454	0.5454545454545454	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	4125970949	10000.0	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	True	NOT_SUPPORTED_THIS_TEST	False	2	0.184801683822867	0.930487365328862	False	0.5367132867132867	0.25	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	DONE_SERVER_SOURCE_CHECKED	5	3	3																																
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T121000Z_sop_v3_discovery_complete	PDAC_CAMP_source_SOP_v3	primary	HMDB:HMDB11517	1-arachidonoyl-GPE (20:4n6)	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	1.7189534879474366	-0.3079398434636003	3.6895232234257778	0.15625	0.4245022123893805	METAB_PAIRED_PRIMARY	307	DONE	Exact same input/effect/P/CI reused;BH over evaluable;availability fractions verified on server	CAMP_mapping_plus_GSE62452_author_pair_table	11	11	7	5	2	4	0.4545454545454545	0.1818181818181818	1.7189534879474366	0.0	0.6428571428571428	2	0.4545454545454545	0.7272727272727273	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	2946718182	10000.0	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	True	NOT_SUPPORTED_THIS_TEST	False	2	0.988099170752322	0.0696770012219702	False	0.4245022123893805	0.15625	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	DONE_SERVER_SOURCE_CHECKED	5	2	4																																
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T121000Z_sop_v3_discovery_complete	PDAC_CAMP_source_SOP_v3	primary	NAME:1-heptadecanoylglycerol (1-monoheptadecanoin)	1-heptadecanoylglycerol (1-monoheptadecanoin)	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	-0.9557180396849002	-1.7570628027482047	-0.2118963106074456	0.09375	0.3756588855421687	METAB_PAIRED_PRIMARY	307	DONE	Exact same input/effect/P/CI reused;BH over evaluable;availability fractions verified on server	CAMP_mapping_plus_GSE62452_author_pair_table	11	11	6	1	5	5	0.0909090909090909	0.4545454545454545	-0.9557180396849002	0.0	-0.8095238095238095	3	0.7272727272727273	0.4545454545454545	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	3706036895	10000.0	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	True	NOT_SUPPORTED_THIS_TEST	False	3	-0.599119137059941	0.156312484983901	False	0.3756588855421687	0.09375	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	DONE_SERVER_SOURCE_CHECKED	1	5	5																																
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T121000Z_sop_v3_discovery_complete	PDAC_CAMP_source_SOP_v3	primary	KEGG:C04100	1-linoleoyl-GPC (18:2)	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	0.5996355330398728	-1.4195080283540782	2.5812987998642054	0.625	0.8438468143857759	METAB_PAIRED_PRIMARY	307	DONE	Exact same input/effect/P/CI reused;BH over evaluable;availability fractions verified on server	CAMP_mapping_plus_GSE62452_author_pair_table	11	11	10	6	4	1	0.5454545454545454	0.3636363636363636	0.5996355330398728	1.6093859337014995	0.1999999999999999	4	0.3636363636363636	0.3636363636363636	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	691821925	10000.0	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	False	NOT_SUPPORTED_THIS_TEST	False	4	-0.120475470236274	0.759790430805399	False	0.8438468143857759	0.625	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	DONE_SERVER_SOURCE_CHECKED	6	4	1																																
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T121000Z_sop_v3_discovery_complete	PDAC_CAMP_source_SOP_v3	primary	KEGG:C04230	1-margaroylglycerophosphocholine (17:0)	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	0.1964023288807907	-1.8472804229441824	2.16600517683018	0.7646484375	0.9205767463235294	METAB_PAIRED_PRIMARY	307	DONE	Exact same input/effect/P/CI reused;BH over evaluable;availability fractions verified on server	CAMP_mapping_plus_GSE62452_author_pair_table	11	11	11	5	6	0	0.4545454545454545	0.5454545454545454	0.1964023288807907	-0.3608521129897006	0.1212121212121211	3	0.3636363636363636	0.3636363636363636	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	4044958654	10000.0	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	True	NOT_SUPPORTED_THIS_TEST	False	3	-0.249684258354274	0.698660937169629	False	0.9205767463235294	0.7646484375	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	DONE_SERVER_SOURCE_CHECKED	5	6	0																																
