figure_id	title	format	source_commit	sources	source_run	relation_keys	filter	transform	data_tsv	caption	configured_analysis_families
01_design	研究设计与数据范围	PNG;PDF;SVG	2971100b37e40d66a88cf89102c0fd3a56b7bcee	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2/README_CN.md			config examples	原统计值；仅布局与选择	figure_data/01_design.tsv	figures/01_design_caption_CN.md	"{""metabolite_primary"": ""primary"", ""metabolite_sensitivity"": ""both_preimputation_available"", ""association_primary"": ""primary"", ""association_sensitivity"": ""availability""}"
02_metabolites	配对代谢物：全量效应概览 / CAMP_PDAC_GSE62452	PNG;PDF;SVG	2971100b37e40d66a88cf89102c0fd3a56b7bcee	results/PDAC/07_INTEGRATION/20260922T135400Z_report_adapter_v5/metabolite_results.tsv	20260922T121000Z_sop_v3_discovery_complete		config examples	原统计值；仅布局与选择	figure_data/02_metabolites.tsv	figures/02_metabolites_caption_CN.md	"{""metabolite_primary"": ""primary"", ""metabolite_sensitivity"": ""both_preimputation_available"", ""association_primary"": ""primary"", ""association_sensitivity"": ""availability""}"
03_metabolite_counts	示例代谢物：配对方向人数	PNG;PDF;SVG	2971100b37e40d66a88cf89102c0fd3a56b7bcee	results/PDAC/07_INTEGRATION/20260922T135400Z_report_adapter_v5/metabolite_results.tsv	20260922T121000Z_sop_v3_discovery_complete		config examples	原统计值；仅布局与选择	figure_data/03_metabolite_counts.tsv	figures/03_metabolite_counts_caption_CN.md	"{""metabolite_primary"": ""primary"", ""metabolite_sensitivity"": ""both_preimputation_available"", ""association_primary"": ""primary"", ""association_sensitivity"": ""availability""}"
04_sensitivity	缺失敏感性：汇总效应对照	PNG;PDF;SVG	2971100b37e40d66a88cf89102c0fd3a56b7bcee	results/PDAC/07_INTEGRATION/20260922T135400Z_report_adapter_v5/metabolite_results.tsv			config examples	原统计值；仅布局与选择	figure_data/04_sensitivity.tsv	figures/04_sensitivity_caption_CN.md	"{""metabolite_primary"": ""primary"", ""metabolite_sensitivity"": ""both_preimputation_available"", ""association_primary"": ""primary"", ""association_sensitivity"": ""availability""}"
05_mapping	直接生化映射与保留范围	PNG;PDF;SVG	2971100b37e40d66a88cf89102c0fd3a56b7bcee	results/PDAC/07_INTEGRATION/20260922T135400Z_report_adapter_v5/metabolite_mapping_status.tsv;results/PDAC/07_INTEGRATION/20260922T135400Z_report_adapter_v5/direct_candidate_relations.tsv;results/PDAC/07_INTEGRATION/20260922T135400Z_report_adapter_v5/candidate_genes.tsv			config examples	按状态计数；关系行数；去重基因及集合差；无统计检验	figure_data/05_mapping.tsv	figures/05_mapping_caption_CN.md	"{""metabolite_primary"": ""primary"", ""metabolite_sensitivity"": ""both_preimputation_available"", ""association_primary"": ""primary"", ""association_sensitivity"": ""availability""}"
06_associations	肿瘤内部关系：全量概览 / CAMP_PDAC_GSE62452	PNG;PDF;SVG	2971100b37e40d66a88cf89102c0fd3a56b7bcee	results/PDAC/07_INTEGRATION/20260922T135400Z_report_adapter_v5/association_results.tsv	20260922T112700Z_sop_v3_patient	be518d6b74258c87;567cc28eb507571a;933849e4a7e53a7f;1f8efd07d56da2aa;edca165ae2cf8fdd;e524515780687985;bb1f9b8dbed33ba8;a62402e78c0edd9c;8844e24ed7c15221;0715831efa52ca20;73c4128787c5a2f3;1130a169b391ac63;f566ce42ca76125d;7e19ac8b667d54c4;3145f9f521238ebf;cd1df0f8564eb6dc;b7a4359c12bf4aaa;badc9656f792e221;4778c1ad986b531b;b32d1c1acc2b8217;f21f191179b76a03;0dccba60c44872dc;06aa70a038d72feb;827fb326cb828c22;4e8bba84f6d0b093;50ce4159f30bf050;ae3f341b021c2678;ec71abfba826ef4c;76875f763e53e3b6;8c9e2edd87171a90;f4be218bc6fabb2a;c16d1133f4d6f20b;833b33ed2ad7d6fd;4c5e0f590692ce39;44fb6ac1510097fd;e62d5a44b27a7aef;639d22f07ec03330;10899ca522271d3f;bc3e81a581c82f68;1b89180890ed2b03;08aa7e3a9b4d226b;2b5e4216eab26af1;7ad491a39cfd2e47;33d5dd5921136cdb;ab9b4e9af0add418;0f02afc713398cba;6ecea1daf4dde8e6;afbb37e6d5bbd77a;4bd5f1d686d9465f;d0c4c0424a60cc22;9900a0fb00e28347;6f282b43808dd2c9;0f72b63ccb392d9a;04dffa41abb908e3;6a018f04ea233f9e;c952b9601ce6f896;737e3a9ae152f232;755eaf5f6543be5e;a733c79073beacbe;b4b9c0be4d82d8f5;2f38cfa616343aa5;3a21ef7f5e98a9d1;d9433a9629b44f38;7c6464d839b541c3;d47762fd25c589b8;5d1b54b441d9298e;fc5dc13daa680846;ba91bf4e7128b91e;9ec6e3b50fcbd57b;357d610144c2402d;42ea49090aac8083;e5c7a9eed564585c;06562dc7b3ac48d7;7359f8e6e2c9e3ae;e60871ee6ef377a7;ae43177141eb6ce7;e1e09edc11d0a320;0c3391aa73891fd6;8b88a9f7d0ba7353;c639e8979d28e210;40fec9bc4fca898d;bafa7cfef084f1eb;d3897972e8cbdb64;81d794ddabc9ec71;75fa2387123e12cc;fe71867a57c0d97f;f72a2f6ff7d3130e;3b65c5b363143034;3d4d43494780d265;1371633759b6d3c7;b0a4ee2ebcadcbdf;f8edf148eb5bf92a;d47b19ddb32a7de1;70eda58273058959;6aa229fb3605a4aa;091b1e1447ba3a92;a0a5a2d4411b47c6;c82d18e45b4c8c49;9589226f22a2db84;e4e7497b87a1a8d7;b9df3a1ca6d3934f;cd6d339003f57a0a;803e1de2119cc4f5;98e2b2ca44d05531;448b258499ec8aa1;eebe6d926bb065ac;8160d22a1c43e7bc;2bbcb44d8301cb01;9ccf3b6722bfc9a1;e702ffb32031b93c;9327af5cd1f32892;b92a6c1d5b3db947;3bfea331adfcc725;b7c8692ec630427b;bdaf775bd9266f26;0a955ad48f87d8c0;d58ea9d25dc41ad4;27753a02916d398b;faa6403d25896af0;4401e30f6e6c47c4;c2939e830314a131;d31efd0799c1be1a;7af03f2671528aaa;e0129ec7efab7a9b;2d1edf88ca7aaf3d;3a2da23942029556;a6300043e6d69457;5481786d303c344f;4ef39766d917755d;636489ddefd2e8eb;b74f291cf5b758b7;30b60a9831e3f852;9577093318fda0f2;0f229059dd3892de;e1a9440e7f9fd09d;d67177ddf09c8b2f;3e9f2617d76be46f;3fc531a39ec1bfa2;e158dd57d8f61ef7;742a98c6a88f8ded;05ed1d743840ae0c;ac7be519aecf1c8c;7551ae1cb6d8c959;f240bb03fa77ef07;f5e6d6a9de2a9dff;581f20d4d5f98a33;9f36907b730504a3;b450a6bc20a2bdb4;cf7f2b2002b75601;9db7947a84532382;b7d9054e83e731f5;c188ffcf1441db5f;009d21b779269adb;900da5b8973a5789;24606deba9b17759;2d9ae6834550725e;911beda3bdf7c558;04f54c17238a8259;2370b9b3095ddac9;7fa325787b32f8e9;dc305265bf0c4ce3;48da3abb01cae67f;f936a9d6c9f735ed;4c2eb7b03edf2507;7aff5cd2df707659;e1fe170fe905a0c0;f44a76c59d2f2828;4b8481b01731b44c;9f7330590b4f205b;d15969181f5a3df6;8b4944041262b5b3;e88deea72c9d91b2;0ecc867ee7085a6e;e3e4c887cf834149;5ebae1231417d46e;4264187ad63ab9f4;f2bdbad82a909920;8cb003d5e50e290f;1e1561f1fe7010e2;b9104d3fae230005;72bd1317a6dc4b5f;04cb61e714bf5591;2fa26bf8a529aef3;94b216759d5ef17f;bd75c166f1c27f85;3bea396579b640e5;0bf4fcff9fc7355a;1e37d3f3587e0139;423692ec52b26b34;faefdc1d2b880cd4;78bec2e86e1b151e;063c127dee4eb4bc;aef2eda4baa96f4f;511d1e231a6b199f;520cb3fae5bdf978;e31e019956014e31;e471a46a0ecbd027;e4e1176d47d50d6d;60253dcf2271af5c;94c81593998acd07;fb77fe3f409da856;d544d7eda1438b0b;7dc137dc8728b5b5;c01ea712e7479eea;ad26a1037c777ef3;f38a1845e9abf0a3;a9ba019e6271383e;7a86cbef465d9dcb;77e1aaeee27e7a9c;d2116ff211c71054;5c4b6f66d7f506dc;f0eea87dd65d4b1b;c8af3d2da4d1b9c1;13c551d9868ab382;5981b99ce63fa550;4dc588da73359bf0;005e3971225b4531;b352b1de3d20ed6a;d831ffb27cbeb8ba;0e37123039ebdbc5;e3512295e19e5174;a554b096a6291e86;eff7b0e17b1561a8;8c34bd11af920709;f35979b2c814afb7;8a281eb9137d5dd6;efb3d668819df991;54f694e6583ed528;bbb6a041780553c8;7fb9074e84a9dd3d;494067f5f17a9813;bdbb84aad1ded9a5;31fddc1286047370;b9085738ef175048;c5716c3755b12d15;4da0968a95357f39;b1df9864c4476eb9;f740e39b803db094;9d761fc9246eccf5;cb872951b77651e4;189f12ad18a2d610;53a783ea87459055;a15c99821758b4c9;0e1a7c775972db09;21557046688c2a9d;f23c027d2a374bb0;fb91be07e0e5a6a9;84077dc172b21c28;74bbc2abee659388;2c1eb376d4568936;c08a241f461fe898;58f5f0eda09cac3c;7ef2f6264ba88fdc;c7b77954f9dd078b;b922be594654f64c;640ee49de143bd18;dfd319e33ca62872;151116e7a9d10abe;6661571ab7a92c0e;9b9b010bebc1247b;7d2f381ea2aab646;010f9f3c792e35d8;faf059efa2ed3b44;91aa359bf0bdc397;b9e9e0c2d269ac1d;5894909179de3a85;2e7865d1a2487b62;1d2886cc0909b20d;7fb9ceeb5638e2d7;112bc5b9909c083d;9b05cfc83eea648f;b77059da75428572;0047610922629a7d;7ea836e74210ba25;d0d9806506328360;923562aa6ccbf19f;2ea8335d2f900a71;099f6c18564dad29;0b6f8dda4489722f;f7e1206de7a8f5bb;d1d68675093ea63e;a3a7bc2e1a8fc68f;66f39df03d0d66d2;441609f69010bca2;0c9e85241c0b547c;6d3966f760e44b46;7dfcc03dff94ca33;4c0a4cce25877a7a;38f9051e620cd358;307c54e12873744f;837455a5ab3057ef;945f5cf22351a967;de1459df2f928ff6;a81c725450209c29;9c4f7604d070d0fb;a3b67698201bf772;716132cf94619dea;45aca83ebc3c477f;60f82d199d72991e;9474f2d711322164;283949222ae6d00f;b5922cb4a41ee8f3;38a236a14ba49fcb;6d36635b6f1b4514;6e456094abd4323d;ca5c8f70a4dc79ef;84da5aa556f54313;143d9130f190d5ef;459a664d45cd9eb0;274695f66f991a56;486f5a94cf5d93c8;8018da920dce6b04;8e04c036adeaf85e;20f6511cb0e41baf;e3e4bbcddbacee97;42201edd83aba460;606744d0709da869;1fc6e0ede1424058;e2f07c6b9c151a9c;b50de2eb0fb49d65;3c76980ec1a9e439;c043f6a4d422cb01;b69db8a4ccea83d7;2ccc6f91e2fb37c4;6a4b77710ada095c;9efcc7ab0c071ce7;3f418d5378ea239e;74005302263d190d;2a4b4f54ce5b9e4e;ce24e93d6b5446bf;9bfb84c33cfb21f9;2e2b07df38f0b860;30120c3ff2bcbec5;720d1bf4e114a655;3157acc0d6636421;3d1e32ac96d9520d;6d61c2d703ff49c0;385ef55bc5987f6d;9b19ab6911a4ef6d;3a7fee178d8b6834;40b88405f2836e85;af844ad8bfe58892;55d419bd03385f4b;bc21fb670cab2b5a;7d95f5f09b91920a;2d97012c57274f84;1fb5083695d4506c;0c15b91d2e4b7cd4;fc49b01c8cdf2a97;83d3a4552a662134;43291c50c2da33b1;27e634f3e5ab1549;ae102592903a23bc;a891bf4b2ff41bd3;770dd646b0529b39;3cdc52ba4859205f;dc416ac23918a491	full specified scope	原统计值；仅布局与选择	figure_data/06_associations.tsv	figures/06_associations_caption_CN.md	"{""metabolite_primary"": ""primary"", ""metabolite_sensitivity"": ""both_preimputation_available"", ""association_primary"": ""primary"", ""association_sensitivity"": ""availability""}"
07_association_intervals	固定示例：主分析与可用值相关	PNG;PDF;SVG	2971100b37e40d66a88cf89102c0fd3a56b7bcee	results/PDAC/07_INTEGRATION/20260922T135400Z_report_adapter_v5/association_results.tsv	20260922T112700Z_sop_v3_patient	d47762fd25c589b8;3b65c5b363143034;3fc531a39ec1bfa2;720d1bf4e114a655;385ef55bc5987f6d	config examples	原统计值；仅布局与选择	figure_data/07_association_intervals.tsv	figures/07_association_intervals_caption_CN.md	"{""metabolite_primary"": ""primary"", ""metabolite_sensitivity"": ""both_preimputation_available"", ""association_primary"": ""primary"", ""association_sensitivity"": ""availability""}"
08_RNA	配对RNA：全量效应概览 / CAMP_PDAC_GSE62452	PNG;PDF;SVG	2971100b37e40d66a88cf89102c0fd3a56b7bcee	results/PDAC/07_INTEGRATION/20260922T135400Z_report_adapter_v5/rna_results.tsv	20260922T120300Z_sop_v3_internal		config examples	原统计值；仅布局与选择	figure_data/08_RNA.tsv	figures/08_RNA_caption_CN.md	"{""metabolite_primary"": ""primary"", ""metabolite_sensitivity"": ""both_preimputation_available"", ""association_primary"": ""primary"", ""association_sensitivity"": ""availability""}"
09_RNA_counts	示例基因：配对RNA方向人数	PNG;PDF;SVG	2971100b37e40d66a88cf89102c0fd3a56b7bcee	results/PDAC/07_INTEGRATION/20260922T135400Z_report_adapter_v5/rna_results.tsv	20260922T120300Z_sop_v3_internal		config examples	原统计值；仅布局与选择	figure_data/09_RNA_counts.tsv	figures/09_RNA_counts_caption_CN.md	"{""metabolite_primary"": ""primary"", ""metabolite_sensitivity"": ""both_preimputation_available"", ""association_primary"": ""primary"", ""association_sensitivity"": ""availability""}"
10_source_GSE263733	单细胞来源 / GSE263733	PNG;PDF;SVG	2971100b37e40d66a88cf89102c0fd3a56b7bcee	results/PDAC/06_EXTERNAL/20260922T131800Z_author_identity_v4/sc_celltype_profiles_GSE263733.tsv;results/PDAC/06_EXTERNAL/20260922T131800Z_author_identity_v4/sc_celltype_profiles_GSE278688.tsv;results/PDAC/06_EXTERNAL/20260922T131800Z_author_identity_v4/sc_celltype_profiles_GSE242230.tsv	20260922T131800Z_author_identity_v4		config examples	原统计值；仅布局与选择	figure_data/10_source_GSE263733.tsv	figures/10_source_GSE263733_caption_CN.md	"{""metabolite_primary"": ""primary"", ""metabolite_sensitivity"": ""both_preimputation_available"", ""association_primary"": ""primary"", ""association_sensitivity"": ""availability""}"
