dataset	cancer	feature_name	metabolite_standard_name	kegg_id	hmdb_id	metabolite_key	identity_confidence	super_pathway	sub_pathway	hedges_g	hedges_g_variance	hedges_g_se	effect_fdr	max_input_raw_missing_rate	source_type	source_effects
PRAD	PRAD	1,2-propanediol	1,2-propanediol	C00583	HMDB01881	KEGG:C00583	HIGH_ID	Lipid	Ketone bodies	-0.080274805615929	0.0327516598340734	0.180974196597397	0.98027091819487	0.521739130434783	single_dataset	PRAD
PRAD	PRAD	1,5-anhydroglucitol (1,5-AG)	1,5-anhydroglucitol (1,5-AG)	C07326	HMDB02712	KEGG:C07326	HIGH_ID	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	-0.377819799844446	0.0332491188002699	0.182343408984997	0.18198156507746	0.0	single_dataset	PRAD
PRAD	PRAD	1,7-dimethylurate	1,7-dimethylurate	C16356	HMDB11103	KEGG:C16356	HIGH_ID	Xenobiotics	Xanthine Metabolism	-0.0596797375858631	0.0327411402233495	0.180945130421765	0.990801203663617	0.630434782608696	single_dataset	PRAD
PRAD	PRAD	1-arachidonoyl-GPC (20:4n6)	1-arachidonoyl-GPC (20:4n6)	C05208	HMDB10395	KEGG:C05208	HIGH_ID	Lipid	Lysophospholipid	-0.138045010256771	0.0327976904196213	0.181101326388354	0.824509870369111	0.5	single_dataset	PRAD
PRAD	PRAD	1-arachidonoyl-GPE (20:4n6)	1-arachidonoyl-GPE (20:4n6)	NA	HMDB11517	HMDB:HMDB11517	HIGH_ID	Lipid	Lysophospholipid	-0.652667510842164	0.0342827942694465	0.185156134841508	0.0030630351792814	0.0	single_dataset	PRAD
PRAD	PRAD	1-arachidonoyl-GPI (20:4)	1-arachidonoyl-GPI (20:4)	NA	HMDB61690	HMDB:HMDB61690	HIGH_ID	Lipid	Lysophospholipid	0.262797934393315	0.0329801952716819	0.181604502344193	0.338472106196363	0.010989010989011	single_dataset	PRAD
PRAD	PRAD	1-arachidoylglycerophosphocholine	1-arachidoylglycerophosphocholine	NA	HMDB10390	HMDB:HMDB10390	HIGH_ID	Lipid	Lysolipid	0.0158892456994939	0.0327290628403224	0.180911754290103	0.927994019055346	0.695652173913043	single_dataset	PRAD
PRAD	PRAD	1-eicosatrienoylglycerophosphocholine (20:3)	1-eicosatrienoylglycerophosphocholine (20:3)	NA	NA	NAME:1-eicosatrienoylglycerophosphocholine (20:3)	MODERATE_NAME_ONLY	Lipid	Lysolipid	-0.100203929258466	0.0327647867794098	0.181010460414336	0.948530203147992	0.543478260869565	single_dataset	PRAD
PRAD	PRAD	1-margaroylglycerophosphocholine (17:0)	1-margaroylglycerophosphocholine (17:0)	C04230	HMDB12108	KEGG:C04230	HIGH_ID	Lipid	Lysolipid	0.228646916749355	0.0329189421994833	0.181435779821631	0.614144751521655	0.369565217391304	single_dataset	PRAD
PRAD	PRAD	1-heptadecanoylglycerophosphoethanolamine	1-heptadecanoylglycerophosphoethanolamine	NA	NA	NAME:1-heptadecanoylglycerophosphoethanolamine	MODERATE_NAME_ONLY	Lipid	Lysolipid	0.580716314383165	0.0339589130945628	0.184279442951629	0.0476080875004828	0.108695652173913	single_dataset	PRAD
PRAD	PRAD	1-linoleoyl-GPC (18:2)	1-linoleoyl-GPC (18:2)	C04100	HMDB10386	KEGG:C04100	HIGH_ID	Lipid	Lysophospholipid	-0.111697046858392	0.0327736751109355	0.181035010732553	0.62563812362839	0.130434782608696	single_dataset	PRAD
PRAD	PRAD	1-linoleoylglycerophosphoethanolamine	1-linoleoylglycerophosphoethanolamine	NA	HMDB11507	HMDB:HMDB11507	HIGH_ID	Lipid	Lysolipid	0.412747588854587	0.0333498953365866	0.182619537116341	0.208333677845045	0.0652173913043478	single_dataset	PRAD
PRAD	PRAD	1-myristoylglycerophosphocholine	1-myristoylglycerophosphocholine	NA	HMDB10379	HMDB:HMDB10379	HIGH_ID	Lipid	Lysolipid	0.320562195537849	0.0331031783625091	0.18194278870708	0.303903862391281	0.434782608695652	single_dataset	PRAD
PRAD	PRAD	1-oleoylglycerophosphocholine	1-oleoylglycerophosphocholine	C03916	HMDB02815	KEGG:C03916	HIGH_ID	Lipid	Lysolipid	0.24213990453257	0.0329421258521405	0.181499657994555	0.537914162391444	0.391304347826087	single_dataset	PRAD
PRAD	PRAD	1-oleoyl-GPE (18:1)	1-oleoyl-GPE (18:1)	NA	HMDB11506	HMDB:HMDB11506	HIGH_ID	Lipid	Lysophospholipid	0.399593124357526	0.0333108956757418	0.182512727434943	0.442126329819161	0.0	single_dataset	PRAD
PRAD	PRAD	1-oleoyl-GPI (18:1)	1-oleoyl-GPI (18:1)	NA	NA	NAME:1-oleoyl-GPI (18:1)	MODERATE_NAME_ONLY	Lipid	Lysophospholipid	0.543440439010371	0.0338059790542746	0.183864023273381	0.159251374944644	0.130434782608696	single_dataset	PRAD
PRAD	PRAD	1-oleoyl-GPS (18:1)	1-oleoyl-GPS (18:1)	NA	HMDB61694	HMDB:HMDB61694	HIGH_ID	Lipid	Lysophospholipid	0.484358248426733	0.033584356434082	0.183260351505943	0.140565391622702	0.0869565217391304	single_dataset	PRAD
PRAD	PRAD	1-palmitoleoyl-GPC (16:1)	1-palmitoleoyl-GPC (16:1)	NA	HMDB10383	HMDB:HMDB10383	HIGH_ID	Lipid	Lysophospholipid	0.181710749873211	0.032848647980799	0.1812419597687	0.621245701351745	0.543478260869565	single_dataset	PRAD
PRAD	PRAD	1-palmitoleoylglycerophosphoethanolamine	1-palmitoleoylglycerophosphoethanolamine	NA	NA	NAME:1-palmitoleoylglycerophosphoethanolamine	MODERATE_NAME_ONLY	Lipid	Lysolipid	0.295202440569285	0.0330461869745894	0.181786102259192	0.364279214733844	0.521739130434783	single_dataset	PRAD
PRAD	PRAD	1-palmitoyl-GPC (16:0)	1-palmitoyl-GPC (16:0)	C04102	HMDB10382	KEGG:C04102	HIGH_ID	Lipid	Lysophospholipid	-0.0428973366437842	0.0327348574146371	0.180927768500684	0.948631633878812	0.0	single_dataset	PRAD
PRAD	PRAD	1-palmitoyl-GPE (16:0)	1-palmitoyl-GPE (16:0)	NA	HMDB11503	HMDB:HMDB11503	HIGH_ID	Lipid	Lysophospholipid	0.343108693822808	0.0331577895105702	0.182092804664463	0.62563812362839	0.0	single_dataset	PRAD
PRAD	PRAD	1-palmitoyl-GPI (16:0)	1-palmitoyl-GPI (16:0)	NA	HMDB61695	HMDB:HMDB61695	HIGH_ID	Lipid	Lysophospholipid	0.648661609325027	0.0342637687355167	0.185104750710285	0.0283480827184559	0.0217391304347826	single_dataset	PRAD
PRAD	PRAD	1-(1-enyl-palmitoyl)-GPE (P-16:0)	1-(1-enyl-palmitoyl)-GPE (P-16:0)	NA	NA	NAME:1-(1-enyl-palmitoyl)-GPE (P-16:0)	MODERATE_NAME_ONLY	Lipid	Lysoplasmalogen	0.0781522506152649	0.0327504325707871	0.180970805852179	0.80800129038578	0.21978021978022	single_dataset	PRAD
PRAD	PRAD	1-pentadecanoylglycerophosphocholine (15:0)	1-pentadecanoylglycerophosphocholine (15:0)	NA	NA	NAME:1-pentadecanoylglycerophosphocholine (15:0)	MODERATE_NAME_ONLY	Lipid	Lysolipid	0.084802168529223	0.0327543874376157	0.180981732331238	0.798828299496792	0.630434782608696	single_dataset	PRAD
PRAD	PRAD	1-stearoylglycerol (18:0)	1-stearoylglycerol (18:0)	D01947	NA	KEGG:D01947	HIGH_ID	Lipid	Monoacylglycerol	0.165858577763704	0.0328285394815228	0.181186477093416	0.785756903732169	0.108695652173913	single_dataset	PRAD
PRAD	PRAD	1-stearoyl-GPC (18:0)	1-stearoyl-GPC (18:0)	NA	HMDB10384	HMDB:HMDB10384	HIGH_ID	Lipid	Lysophospholipid	-0.0150828355911351	0.0327289716863099	0.180911502360436	0.980835870068248	0.0217391304347826	single_dataset	PRAD
PRAD	PRAD	1-stearoylglycerophosphoethanolamine	1-stearoylglycerophosphoethanolamine	NA	HMDB11130	HMDB:HMDB11130	HIGH_ID	Lipid	Lysolipid	-0.0038203831761164	0.0327281946914126	0.180909354902981	0.80964085469056	0.0	single_dataset	PRAD
PRAD	PRAD	1-stearoyl-GPG (18:0)	1-stearoyl-GPG (18:0)	NA	NA	NAME:1-stearoyl-GPG (18:0)	MODERATE_NAME_ONLY	Lipid	Lysophospholipid	0.226220623689838	0.0329149143091316	0.181424679437864	0.515246941938894	0.543478260869565	single_dataset	PRAD
