dataset	cancer	feature_name	metabolite_standard_name	kegg_id	hmdb_id	metabolite_key	identity_confidence	super_pathway	sub_pathway	n_tumor	n_normal	missing_rate_tumor_raw	missing_rate_normal_raw	missing_rate_tumor_processed	missing_rate_normal_processed	tumor_mean_processed	normal_mean_processed	tumor_sd_processed	normal_sd_processed	author_log2_fc_tumor_vs_normal	wilcoxon_p	rank_biserial_tumor_vs_normal	hedges_g	hedges_g_variance	hedges_g_se	hedges_g_ci_lower	hedges_g_ci_upper	analysis_design	wilcoxon_fdr	duplicate_metabolite_key_within_dataset	meta_eligible	high_missing_flag
PRAD	PRAD	1,2-propanediol	1,2-propanediol	C00583	HMDB01881	KEGG:C00583	HIGH_ID	Lipid	Ketone bodies	91	46	0.483516483516484	0.521739130434783	0	0	-1.66683176982466	-1.51291858008949	1.80339111752145	2.09798648958418	-0.797022305309712	0.939704406867367	-0.0076445293836597	-0.080274805615929	0.0327516598340734	0.180974196597397	-0.434984230946828	0.27443461971497	Unpaired; author supplied processed values; no new transformation	0.98027091819487	No	Yes	Yes
PRAD	PRAD	1,5-anhydroglucitol (1,5-AG)	1,5-anhydroglucitol (1,5-AG)	C07326	HMDB02712	KEGG:C07326	HIGH_ID	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	91	46	0.0	0.0	0	0	-0.219633935307803	0.0087187688464779	0.635983449172642	0.524179469342397	-0.19138711074632	0.0383119084373599	-0.217391304347826	-0.377819799844446	0.0332491188002699	0.182343408984997	-0.73521288145504	-0.0204267182338522	Unpaired; author supplied processed values; no new transformation	0.18198156507746	No	Yes	No
PRAD	PRAD	1,7-dimethylurate	1,7-dimethylurate	C16356	HMDB11103	KEGG:C16356	HIGH_ID	Xenobiotics	Xanthine Metabolism	91	46	0.604395604395604	0.630434782608696	0	0	-1.45075764150657	-1.37168306747832	1.29368143992568	1.36419401751868	-0.269226845583945	0.977078195302625	-0.0028666985188724	-0.0596797375858631	0.0327411402233495	0.180945130421765	-0.414332193212522	0.294972718040796	Unpaired; author supplied processed values; no new transformation	0.990801203663617	No	Yes	Yes
PRAD	PRAD	1-arachidonoyl-GPC (20:4n6)	1-arachidonoyl-GPC (20:4n6)	C05208	HMDB10395	KEGG:C05208	HIGH_ID	Lipid	Lysophospholipid	91	46	0.450549450549451	0.5	0	0	-1.47134669136815	-1.26556236146796	1.44143505235927	1.56112247051731	-0.139298486036229	0.6590252901696	-0.0439560439560439	-0.138045010256771	0.0327976904196213	0.181101326388354	-0.493003609977946	0.216913589464404	Unpaired; author supplied processed values; no new transformation	0.824509870369111	No	Yes	Yes
PRAD	PRAD	1-arachidonoyl-GPE (20:4n6)	1-arachidonoyl-GPE (20:4n6)	NA	HMDB11517	HMDB:HMDB11517	HIGH_ID	Lipid	Lysophospholipid	91	46	0.0	0.0	0	0	-0.200721130185051	0.252448673737851	0.73087922329939	0.60155948250305	-0.350372368452326	3.39394479698774e-05	-0.434782608695652	-0.652667510842164	0.0342827942694465	0.185156134841508	-1.01557353513152	-0.289761486552809	Unpaired; author supplied processed values; no new transformation	0.0030630351792814	No	Yes	No
PRAD	PRAD	1-arachidonoyl-GPI (20:4)	1-arachidonoyl-GPI (20:4)	NA	HMDB61690	HMDB:HMDB61690	HIGH_ID	Lipid	Lysophospholipid	91	46	0.010989010989011	0.0	0	0	-0.117330046652233	-0.273554419811981	0.597227204112843	0.578822637575894	0.16359130178176	0.115324291030894	0.165312947921644	0.262797934393315	0.0329801952716819	0.181604502344193	-0.0931468902013026	0.618742758987933	Unpaired; author supplied processed values; no new transformation	0.338472106196363	No	Yes	No
PRAD	PRAD	1-arachidoylglycerophosphocholine	1-arachidoylglycerophosphocholine	NA	HMDB10390	HMDB:HMDB10390	HIGH_ID	Lipid	Lysolipid	91	46	0.659340659340659	0.695652173913043	0	0	-1.48492755809038	-1.50020070707092	0.967174056390388	0.93286286137669	0.082755521643961	0.78700807536198	0.023889154323937	0.0158892456994939	0.0327290628403224	0.180911754290103	-0.338697792709107	0.370476284108095	Unpaired; author supplied processed values; no new transformation	0.927994019055346	No	Yes	Yes
PRAD	PRAD	1-eicosatrienoylglycerophosphocholine (20:3)	1-eicosatrienoylglycerophosphocholine (20:3)	NA	NA	NAME:1-eicosatrienoylglycerophosphocholine (20:3)	MODERATE_NAME_ONLY	Lipid	Lysolipid	91	46	0.450549450549451	0.543478260869565	0	0	-1.47251620592776	-1.32443150494745	1.41572409595708	1.57183646503679	-0.137379980768015	0.848069478817773	-0.0191113234591496	-0.100203929258466	0.0327647867794098	0.181010460414336	-0.454984431670564	0.254576573153632	Unpaired; author supplied processed values; no new transformation	0.948530203147992	No	Yes	Yes
PRAD	PRAD	1-margaroylglycerophosphocholine (17:0)	1-margaroylglycerophosphocholine (17:0)	C04230	HMDB12108	KEGG:C04230	HIGH_ID	Lipid	Lysolipid	91	46	0.32967032967033	0.369565217391304	0	0	-0.824764667088658	-1.20789232486186	1.75144555636889	1.48140234649975	0.792602940974531	0.319882588387027	0.10224558050645	0.228646916749355	0.0329189421994833	0.181435779821631	-0.126967211701041	0.584261045199752	Unpaired; author supplied processed values; no new transformation	0.614144751521655	No	Yes	Yes
PRAD	PRAD	1-heptadecanoylglycerophosphoethanolamine	1-heptadecanoylglycerophosphoethanolamine	NA	NA	NAME:1-heptadecanoylglycerophosphoethanolamine	MODERATE_NAME_ONLY	Lipid	Lysolipid	91	46	0.021978021978022	0.108695652173913	0	0	-0.0555242371239611	-0.737277296061667	1.10709647048519	1.27964614761026	0.584675961847898	0.0044838641967213	0.298136645962733	0.580716314383165	0.0339589130945628	0.184279442951629	0.219528606197972	0.941904022568359	Unpaired; author supplied processed values; no new transformation	0.0476080875004828	No	Yes	No
PRAD	PRAD	1-linoleoyl-GPC (18:2)	1-linoleoyl-GPC (18:2)	C04100	HMDB10386	KEGG:C04100	HIGH_ID	Lipid	Lysophospholipid	91	46	0.120879120879121	0.130434782608696	0	0	-0.732286781082548	-0.53773364343783	1.79824926649429	1.59155994249221	0.180080054525787	0.346154330072551	-0.0989010989010989	-0.111697046858392	0.0327736751109355	0.181035010732553	-0.466525667894196	0.243131574177411	Unpaired; author supplied processed values; no new transformation	0.62563812362839	No	Yes	No
PRAD	PRAD	1-linoleoylglycerophosphoethanolamine	1-linoleoylglycerophosphoethanolamine	NA	HMDB11507	HMDB:HMDB11507	HIGH_ID	Lipid	Lysolipid	91	46	0.021978021978022	0.0652173913043478	0	0	-0.0600332982666929	-0.482649072652118	1.0971432255334	0.838328697466741	0.74380358272085	0.0508141679765382	0.204968944099379	0.412747588854587	0.0333498953365866	0.182619537116341	0.0548132961065591	0.770681881602615	Unpaired; author supplied processed values; no new transformation	0.208333677845045	No	Yes	No
PRAD	PRAD	1-myristoylglycerophosphocholine	1-myristoylglycerophosphocholine	NA	HMDB10379	HMDB:HMDB10379	HIGH_ID	Lipid	Lysolipid	91	46	0.318681318681319	0.434782608695652	0	0	-0.710381319777654	-1.16483469596615	1.48922743803028	1.23566520160223	0.912967092663746	0.093444123893164	0.171763019589106	0.320562195537849	0.0331031783625091	0.18194278870708	-0.036045670328027	0.677170061403726	Unpaired; author supplied processed values; no new transformation	0.303903862391281	No	Yes	Yes
