gene	stable_gene_id	uniprot_accession
HPRT1	HGNC:5157	P00492
PNP	HGNC:7892	P00491
SLC29A2	HGNC:11004	Q14542
XDH	HGNC:12805	P47989
DPYD	HGNC:3012	Q12882
UPP1	HGNC:12576	Q16831
UPP2	HGNC:23061	O95045
CTBS	HGNC:2496	Q01459
NAGK	HGNC:17174	Q9UJ70
CNDP2	HGNC:24437	Q96KP4
SDS	HGNC:10691	P20132
SDSL	HGNC:30404	Q96GA7
SHMT1	HGNC:10850	P34896
FOLH1	HGNC:3788	Q04609
GPX1	HGNC:4553	P07203
GPX4	HGNC:4556	P36969
GSR	HGNC:4623	P00390
IMPA1	HGNC:6050	P29218
IMPA2	HGNC:6051	O14732
ADA	HGNC:186	P00813
ADA2	HGNC:1839	Q9NZK5
NT5C1A	HGNC:17819	Q9BXI3
NT5C2	HGNC:8022	P49902
ARG1	HGNC:663	P05089
ARG2	HGNC:664	P78540
OAT	HGNC:8091	P04181
ODC1	HGNC:8109	P11926
OTC	HGNC:8512	P00480
CYP27A1	HGNC:2605	Q02318
SOAT1	HGNC:11177	P35610
SOAT2	HGNC:11178	O75908
NAGS	HGNC:17996	Q8N159
CRAT	HGNC:2342	P43155
ABHD12	HGNC:15868	Q8N2K0
ENO1	HGNC:3350	P06733
ENO2	HGNC:3353	P09104
ENO3	HGNC:3354	P13929
PGAM1	HGNC:8888	P18669
PGAM2	HGNC:8889	P15259
PLA2G4A	HGNC:9035	P47712
GLYCTK	HGNC:24247	Q8IVS8
PGK1	HGNC:8896	P00558
PGK2	HGNC:8898	P07205
PHGDH	HGNC:8923	O43175
CTNS	HGNC:2518	O60931
DPEP1	HGNC:3002	P16444
SLC7A11	HGNC:11059	Q9UPY5
CKB	HGNC:1991	P12277
CKM	HGNC:1994	P06732
GALK2	HGNC:4119	Q01415
GCK	HGNC:4195	P35557
GCLC	HGNC:4311	P48506
GLUL	HGNC:4341	P15104
GSS	HGNC:4624	P48637
HK1	HGNC:4922	P19367
HK2	HGNC:4923	P52789
HK3	HGNC:4925	P52790
AHCY	HGNC:343	P23526
ADPRH	HGNC:269	P54922
NUDT5	HGNC:8052	Q9UKK9
NUDT9	HGNC:8056	Q9BW91
CPT1A	HGNC:2328	P50416
CPT1B	HGNC:2329	Q92523
CPT2	HGNC:2330	P23786
SLC25A20	HGNC:1421	O43772
GAMT	HGNC:4136	Q14353
SLC6A8	HGNC:11055	P48029
MGAM	HGNC:7043	O43451
SULT2A1	HGNC:11458	Q06520
SLC22A12	HGNC:17989	Q96S37
SLC2A9	HGNC:13446	Q9NRM0
STS	HGNC:11425	P08842
SLC2A1	HGNC:11005	P11166
SLC2A3	HGNC:11007	P11169
BCAT1	HGNC:976	P54687
BCAT2	HGNC:977	O15382
AADAT	HGNC:17929	Q8N5Z0
CDO1	HGNC:1795	Q16878
SLC6A6	HGNC:11052	P31641
ABHD6	HGNC:21398	Q9BV23
ACSL1	HGNC:3569	P33121
ACSL3	HGNC:3570	O95573
ACSL5	HGNC:16526	Q9ULC5
LYPLA1	HGNC:6737	O75608
MGLL	HGNC:17038	Q99685
PLA2G6	HGNC:9039	O60733
GCAT	HGNC:4188	O75600
PEPD	HGNC:8840	P12955
SHMT2	HGNC:10852	P34897
SUGCT	HGNC:16001	Q9HAC7
SLC22A2	HGNC:10966	O15244
SLC47A1	HGNC:25588	Q96FL8
SLC47A2	HGNC:26439	Q86VL8
ADHFE1	HGNC:16354	Q8IWW8
AKR7A2	HGNC:389	O43488
APRT	HGNC:626	P07741
ASNS	HGNC:753	P08243
GLS	HGNC:4331	O94925
GLS2	HGNC:29570	Q9UI32
GGT1	HGNC:4250	P19440
GGT5	HGNC:4260	P36269
