gene	stable_gene_id	RNA_exact_symbol_measured
HPRT1	HGNC:5157	True
PNP	HGNC:7892	True
SLC29A2	HGNC:11004	True
XDH	HGNC:12805	True
DPYD	HGNC:3012	True
UPP1	HGNC:12576	True
UPP2	HGNC:23061	True
CTBS	HGNC:2496	True
NAGK	HGNC:17174	True
CNDP2	HGNC:24437	True
SDS	HGNC:10691	True
SDSL	HGNC:30404	True
SHMT1	HGNC:10850	True
FOLH1	HGNC:3788	True
GPX1	HGNC:4553	True
GPX4	HGNC:4556	True
GSR	HGNC:4623	True
IMPA1	HGNC:6050	True
IMPA2	HGNC:6051	True
ADA	HGNC:186	True
ADA2	HGNC:1839	True
NT5C1A	HGNC:17819	True
NT5C2	HGNC:8022	True
ARG1	HGNC:663	True
ARG2	HGNC:664	True
OAT	HGNC:8091	True
ODC1	HGNC:8109	True
OTC	HGNC:8512	True
CYP27A1	HGNC:2605	True
SOAT1	HGNC:11177	True
SOAT2	HGNC:11178	True
NAGS	HGNC:17996	True
CRAT	HGNC:2342	True
ABHD12	HGNC:15868	True
ENO1	HGNC:3350	True
ENO2	HGNC:3353	True
ENO3	HGNC:3354	True
PGAM1	HGNC:8888	True
PGAM2	HGNC:8889	True
PLA2G4A	HGNC:9035	True
GLYCTK	HGNC:24247	True
PGK1	HGNC:8896	True
PGK2	HGNC:8898	True
PHGDH	HGNC:8923	True
CTNS	HGNC:2518	True
DPEP1	HGNC:3002	True
SLC7A11	HGNC:11059	True
CKB	HGNC:1991	True
CKM	HGNC:1994	True
GALK2	HGNC:4119	True
GCK	HGNC:4195	True
GCLC	HGNC:4311	True
GLUL	HGNC:4341	True
GSS	HGNC:4624	True
HK1	HGNC:4922	True
HK2	HGNC:4923	True
HK3	HGNC:4925	True
AHCY	HGNC:343	True
ADPRH	HGNC:269	True
NUDT5	HGNC:8052	True
NUDT9	HGNC:8056	True
CPT1A	HGNC:2328	True
CPT1B	HGNC:2329	True
CPT2	HGNC:2330	True
SLC25A20	HGNC:1421	True
GAMT	HGNC:4136	True
SLC6A8	HGNC:11055	True
MGAM	HGNC:7043	True
SULT2A1	HGNC:11458	True
SLC22A12	HGNC:17989	True
SLC2A9	HGNC:13446	True
STS	HGNC:11425	True
SLC2A1	HGNC:11005	True
SLC2A3	HGNC:11007	True
BCAT1	HGNC:976	True
BCAT2	HGNC:977	True
AADAT	HGNC:17929	True
CDO1	HGNC:1795	True
SLC6A6	HGNC:11052	True
ABHD6	HGNC:21398	True
ACSL1	HGNC:3569	True
ACSL3	HGNC:3570	True
ACSL5	HGNC:16526	True
LYPLA1	HGNC:6737	True
MGLL	HGNC:17038	True
PLA2G6	HGNC:9039	True
GCAT	HGNC:4188	True
PEPD	HGNC:8840	True
SHMT2	HGNC:10852	True
SUGCT	HGNC:16001	True
SLC22A2	HGNC:10966	True
SLC47A1	HGNC:25588	True
SLC47A2	HGNC:26439	True
ADHFE1	HGNC:16354	True
AKR7A2	HGNC:389	True
APRT	HGNC:626	True
ASNS	HGNC:753	True
GLS	HGNC:4331	True
GLS2	HGNC:29570	True
GGT1	HGNC:4250	True
GGT5	HGNC:4260	True
