cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	same_cohort_postselection	stable_gene_id	expression_scale	model_formula	ci_method	ci_estimand	p_method	seed	bootstrap_valid	n_pairs_total	n_up	n_down	n_equal	up_fraction	mean_delta	median_delta	t_statistic	degrees_freedom	bootstrap_mean_lower	bootstrap_mean_upper	family_n_planned	evidence_label
PRAD	CAMP_PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_patient_v1	RNA_PAIRED_CURRENT	NA	NA	HPRT1	author_case	43	43	mean_paired_RNA_difference_author_scale	0.0762252679191019	-0.02153157884800025	0.17398211468620406	0.1230869105860011	0.26450591423800235	RNA_PAIRED_CURRENT	101.0	DONE	NA	CAMP_v0.3.4_PRAD	True	HGNC:5157	author_RMA_BatchAdj_continuous	RNA_T-RNA_N ~ intercept	paired_t_analytic95	mean_paired_RNA_difference	two_sided_paired_t	1854001745	4000	43	24	19	0	0.5581395348837209	0.0762252679191019	0.09237792233828035	1.573586128552757	42	-0.016901579398285953	0.16976376575294921	101.0	NOT_SUPPORTED_THIS_TEST
PRAD	CAMP_PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_patient_v1	RNA_PAIRED_CAPT	NA	NA	HPRT1	author_case	36	36	mean_paired_RNA_difference_author_scale	0.08340782779703725	-0.01725653699020807	0.18407219258428256	0.10145329870992435	0.24717596450441784	RNA_PAIRED_CAPT	101.0	DONE	NA	CAMP_v0.3.4_PRAD	True	HGNC:5157	author_RMA_BatchAdj_continuous	RNA_T-RNA_N ~ intercept	paired_t_analytic95	mean_paired_RNA_difference	two_sided_paired_t	848167950	4000	36	20	16	0	0.5555555555555556	0.08340782779703725	0.07955875959014014	1.6820936867458303	35	-0.011469967519989124	0.1825554736377628	101.0	NOT_SUPPORTED_THIS_TEST
PRAD	CAMP_PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_patient_v1	RNA_PAIRED_CURRENT	NA	NA	PNP	author_case	43	43	mean_paired_RNA_difference_author_scale	0.033398431902089555	-0.1447798175330873	0.2115766813372664	0.7071299994717096	0.8502396422219366	RNA_PAIRED_CURRENT	101.0	DONE	NA	CAMP_v0.3.4_PRAD	True	HGNC:7892	author_RMA_BatchAdj_continuous	RNA_T-RNA_N ~ intercept	paired_t_analytic95	mean_paired_RNA_difference	two_sided_paired_t	4108574260	4000	43	25	18	0	0.5813953488372093	0.033398431902089555	0.06060756952961022	0.37827717101817876	42	-0.14729301061210015	0.19551127721304787	101.0	NOT_SUPPORTED_THIS_TEST
PRAD	CAMP_PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_patient_v1	RNA_PAIRED_CAPT	NA	NA	PNP	author_case	36	36	mean_paired_RNA_difference_author_scale	0.042010403879565034	-0.16266597607996533	0.2466867838390954	0.6794530751263981	0.8137485477251405	RNA_PAIRED_CAPT	101.0	DONE	NA	CAMP_v0.3.4_PRAD	True	HGNC:7892	author_RMA_BatchAdj_continuous	RNA_T-RNA_N ~ intercept	paired_t_analytic95	mean_paired_RNA_difference	two_sided_paired_t	520514236	4000	36	23	13	0	0.6388888888888888	0.042010403879565034	0.095493193835825	0.4166853742565069	35	-0.163687850442038	0.22728570201660103	101.0	NOT_SUPPORTED_THIS_TEST
PRAD	CAMP_PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_patient_v1	RNA_PAIRED_CURRENT	NA	NA	SLC29A2	author_case	43	43	mean_paired_RNA_difference_author_scale	0.12360256760244114	0.01950784458778765	0.22769729061709462	0.021092968361750817	0.08193806940526278	RNA_PAIRED_CURRENT	101.0	DONE	NA	CAMP_v0.3.4_PRAD	True	HGNC:11004	author_RMA_BatchAdj_continuous	RNA_T-RNA_N ~ intercept	paired_t_analytic95	mean_paired_RNA_difference	two_sided_paired_t	2222232439	4000	43	29	14	0	0.6744186046511628	0.12360256760244114	0.0876220998306394	2.396279774503352	42	0.021184574669344158	0.22399287285588743	101.0	NOMINAL_EXPLORATORY
PRAD	CAMP_PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_patient_v1	RNA_PAIRED_CAPT	NA	NA	SLC29A2	author_case	36	36	mean_paired_RNA_difference_author_scale	0.13495055824588825	0.023678532023799978	0.2462225844679765	0.01888107574788591	0.07627954602145907	RNA_PAIRED_CAPT	101.0	DONE	NA	CAMP_v0.3.4_PRAD	True	HGNC:11004	author_RMA_BatchAdj_continuous	RNA_T-RNA_N ~ intercept	paired_t_analytic95	mean_paired_RNA_difference	two_sided_paired_t	21172314	4000	36	26	10	0	0.7222222222222222	0.13495055824588825	0.11189150969851003	2.462112064626029	35	0.02811325704942359	0.2414573231349915	101.0	NOMINAL_EXPLORATORY
PRAD	CAMP_PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_patient_v1	RNA_PAIRED_CURRENT	NA	NA	XDH	author_case	43	43	mean_paired_RNA_difference_author_scale	-0.06431690538858885	-0.29039180919706975	0.16175799841989202	0.5689409593593872	0.7367056012217705	RNA_PAIRED_CURRENT	101.0	DONE	NA	CAMP_v0.3.4_PRAD	True	HGNC:12805	author_RMA_BatchAdj_continuous	RNA_T-RNA_N ~ intercept	paired_t_analytic95	mean_paired_RNA_difference	two_sided_paired_t	79989247	4000	43	20	23	0	0.46511627906976744	-0.06431690538858885	-0.12608458667150035	-0.5741317032186632	42	-0.2849222657051735	0.1407124998912506	101.0	NOT_SUPPORTED_THIS_TEST
PRAD	CAMP_PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_patient_v1	RNA_PAIRED_CAPT	NA	NA	XDH	author_case	36	36	mean_paired_RNA_difference_author_scale	-0.016083436602002225	-0.2751303292906317	0.24296345608662723	0.9004189658367643	0.9279828117297265	RNA_PAIRED_CAPT	101.0	DONE	NA	CAMP_v0.3.4_PRAD	True	HGNC:12805	author_RMA_BatchAdj_continuous	RNA_T-RNA_N ~ intercept	paired_t_analytic95	mean_paired_RNA_difference	two_sided_paired_t	717038579	4000	36	18	18	0	0.5	-0.016083436602002225	-0.0037072119321903685	-0.12604324962308128	35	-0.27186779417379364	0.2253184461289601	101.0	NOT_SUPPORTED_THIS_TEST
PRAD	CAMP_PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_patient_v1	RNA_PAIRED_CURRENT	NA	NA	DPYD	author_case	43	43	mean_paired_RNA_difference_author_scale	-0.336574493422707	-0.5333709275169307	-0.13977805932848336	0.0012838176529158427	0.009261827353178579	RNA_PAIRED_CURRENT	101.0	DONE	NA	CAMP_v0.3.4_PRAD	True	HGNC:3012	author_RMA_BatchAdj_continuous	RNA_T-RNA_N ~ intercept	paired_t_analytic95	mean_paired_RNA_difference	two_sided_paired_t	2932618862	4000	43	11	32	0	0.2558139534883721	-0.336574493422707	-0.3320075866471095	-3.4514590064191606	42	-0.5170093537334951	-0.14781916247318796	101.0	FDR_SUPPORTED
PRAD	CAMP_PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_patient_v1	RNA_PAIRED_CAPT	NA	NA	DPYD	author_case	36	36	mean_paired_RNA_difference_author_scale	-0.3299090787913981	-0.518083254829383	-0.1417349027534131	0.0010932756394333566	0.008493910737136078	RNA_PAIRED_CAPT	101.0	DONE	NA	CAMP_v0.3.4_PRAD	True	HGNC:3012	author_RMA_BatchAdj_continuous	RNA_T-RNA_N ~ intercept	paired_t_analytic95	mean_paired_RNA_difference	two_sided_paired_t	978708393	4000	36	9	27	0	0.25	-0.3299090787913981	-0.32077770210948	-3.559208019707166	35	-0.5045898708331785	-0.1417913861984653	101.0	FDR_SUPPORTED
PRAD	CAMP_PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_patient_v1	RNA_PAIRED_CURRENT	NA	NA	UPP1	author_case	43	43	mean_paired_RNA_difference_author_scale	-0.13123129625175173	-0.2722442194878117	0.009781626984308234	0.06732270292862871	0.17893665778398685	RNA_PAIRED_CURRENT	101.0	DONE	NA	CAMP_v0.3.4_PRAD	True	HGNC:12576	author_RMA_BatchAdj_continuous	RNA_T-RNA_N ~ intercept	paired_t_analytic95	mean_paired_RNA_difference	two_sided_paired_t	1573509322	4000	43	17	26	0	0.3953488372093023	-0.13123129625175173	-0.04810349701427974	-1.8780936596036997	42	-0.2679242825526924	-7.912272661581835e-06	101.0	NOT_SUPPORTED_THIS_TEST
PRAD	CAMP_PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_patient_v1	RNA_PAIRED_CAPT	NA	NA	UPP1	author_case	36	36	mean_paired_RNA_difference_author_scale	-0.15721326966981486	-0.3069640750455893	-0.007462464294040405	0.040165598609395385	0.1377818295118814	RNA_PAIRED_CAPT	101.0	DONE	NA	CAMP_v0.3.4_PRAD	True	HGNC:12576	author_RMA_BatchAdj_continuous	RNA_T-RNA_N ~ intercept	paired_t_analytic95	mean_paired_RNA_difference	two_sided_paired_t	1528814929	4000	36	11	25	0	0.3055555555555556	-0.15721326966981486	-0.0929638481271855	-2.131273380346584	35	-0.3001942512512176	-0.01809011583025222	101.0	NOMINAL_EXPLORATORY
PRAD	CAMP_PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_patient_v1	RNA_PAIRED_CURRENT	NA	NA	UPP2	author_case	43	43	mean_paired_RNA_difference_author_scale	0.004581027260689507	-0.08299842243609497	0.092160476957474	0.9164340093743419	0.9846790951788141	RNA_PAIRED_CURRENT	101.0	DONE	NA	CAMP_v0.3.4_PRAD	True	HGNC:23061	author_RMA_BatchAdj_continuous	RNA_T-RNA_N ~ intercept	paired_t_analytic95	mean_paired_RNA_difference	two_sided_paired_t	534649270	4000	43	22	21	0	0.5116279069767442	0.004581027260689507	0.0005931812443398243	0.1055600063793756	42	-0.08206759505831626	0.08581054553158934	101.0	NOT_SUPPORTED_THIS_TEST
PRAD	CAMP_PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_patient_v1	RNA_PAIRED_CAPT	NA	NA	UPP2	author_case	36	36	mean_paired_RNA_difference_author_scale	0.010143310487299705	-0.0716676217327026	0.091954242707302	0.8027431404891122	0.8717963138645197	RNA_PAIRED_CAPT	101.0	DONE	NA	CAMP_v0.3.4_PRAD	True	HGNC:23061	author_RMA_BatchAdj_continuous	RNA_T-RNA_N ~ intercept	paired_t_analytic95	mean_paired_RNA_difference	two_sided_paired_t	598256389	4000	36	18	18	0	0.5	0.010143310487299705	-0.003651118031350098	0.2517024862104841	35	-0.06612226707473055	0.08607956028091047	101.0	NOT_SUPPORTED_THIS_TEST
