gene	stable_gene_id	status	reason	n_feature_hits	ensembl_id
AADAT	HGNC:17929	DONE	exact_unique_gene_symbol	1	ENSG00000109576
ABHD12	HGNC:15868	DONE	exact_unique_gene_symbol	1	ENSG00000100997
ABHD6	HGNC:21398	DONE	exact_unique_gene_symbol	1	ENSG00000163686
ACSL1	HGNC:3569	DONE	exact_unique_gene_symbol	1	ENSG00000151726
ACSL3	HGNC:3570	DONE	exact_unique_gene_symbol	1	ENSG00000123983
ACSL5	HGNC:16526	DONE	exact_unique_gene_symbol	1	ENSG00000197142
ADA	HGNC:186	DONE	exact_unique_gene_symbol	1	ENSG00000196839
ADA2	HGNC:1839	DONE	exact_unique_gene_symbol	1	ENSG00000093072
ADHFE1	HGNC:16354	DONE	exact_unique_gene_symbol	1	ENSG00000147576
ADPRH	HGNC:269	DONE	exact_unique_gene_symbol	1	ENSG00000144843
AHCY	HGNC:343	DONE	exact_unique_gene_symbol	1	ENSG00000101444
AKR7A2	HGNC:389	DONE	exact_unique_gene_symbol	1	ENSG00000053371
APRT	HGNC:626	DONE	exact_unique_gene_symbol	1	ENSG00000198931
ARG1	HGNC:663	DONE	exact_unique_gene_symbol	1	ENSG00000118520
ARG2	HGNC:664	DONE	exact_unique_gene_symbol	1	ENSG00000081181
ASNS	HGNC:753	DONE	exact_unique_gene_symbol	1	ENSG00000070669
BCAT1	HGNC:976	DONE	exact_unique_gene_symbol	1	ENSG00000060982
BCAT2	HGNC:977	DONE	exact_unique_gene_symbol	1	ENSG00000105552
CDO1	HGNC:1795	DONE	exact_unique_gene_symbol	1	ENSG00000129596
CKB	HGNC:1991	DONE	exact_unique_gene_symbol	1	ENSG00000166165
CKM	HGNC:1994	DONE	exact_unique_gene_symbol	1	ENSG00000104879
CNDP2	HGNC:24437	DONE	exact_unique_gene_symbol	1	ENSG00000133313
CPT1A	HGNC:2328	DONE	exact_unique_gene_symbol	1	ENSG00000110090
CPT1B	HGNC:2329	DONE	exact_unique_gene_symbol	1	ENSG00000205560
CPT2	HGNC:2330	DONE	exact_unique_gene_symbol	1	ENSG00000157184
CRAT	HGNC:2342	DONE	exact_unique_gene_symbol	1	ENSG00000095321
CTBS	HGNC:2496	DONE	exact_unique_gene_symbol	1	ENSG00000117151
CTNS	HGNC:2518	DONE	exact_unique_gene_symbol	1	ENSG00000040531
CYP27A1	HGNC:2605	DONE	exact_unique_gene_symbol	1	ENSG00000135929
DPEP1	HGNC:3002	DONE	exact_unique_gene_symbol	1	ENSG00000015413
DPYD	HGNC:3012	DONE	exact_unique_gene_symbol	1	ENSG00000188641
ENO1	HGNC:3350	DONE	exact_unique_gene_symbol	1	ENSG00000074800
ENO2	HGNC:3353	DONE	exact_unique_gene_symbol	1	ENSG00000111674
ENO3	HGNC:3354	DONE	exact_unique_gene_symbol	1	ENSG00000108515
FOLH1	HGNC:3788	DONE	exact_unique_gene_symbol	1	ENSG00000086205
GALK2	HGNC:4119	DONE	exact_unique_gene_symbol	1	ENSG00000156958
GAMT	HGNC:4136	DONE	exact_unique_gene_symbol	1	ENSG00000130005
GCAT	HGNC:4188	DONE	exact_unique_gene_symbol	1	ENSG00000100116
GCK	HGNC:4195	DONE	exact_unique_gene_symbol	1	ENSG00000106633
GCLC	HGNC:4311	DONE	exact_unique_gene_symbol	1	ENSG00000001084
GGT1	HGNC:4250	DONE	exact_unique_gene_symbol	1	ENSG00000100031
GGT5	HGNC:4260	DONE	exact_unique_gene_symbol	1	ENSG00000099998
GLS	HGNC:4331	DONE	exact_unique_gene_symbol	1	ENSG00000115419
GLS2	HGNC:29570	DONE	exact_unique_gene_symbol	1	ENSG00000135423
GLUL	HGNC:4341	DONE	exact_unique_gene_symbol	1	ENSG00000135821
GLYCTK	HGNC:24247	DONE	exact_unique_gene_symbol	1	ENSG00000168237
GPX1	HGNC:4553	NOT_EVALUABLE	gene_not_present	0	NA
GPX4	HGNC:4556	DONE	exact_unique_gene_symbol	1	ENSG00000167468
GSR	HGNC:4623	DONE	exact_unique_gene_symbol	1	ENSG00000104687
GSS	HGNC:4624	DONE	exact_unique_gene_symbol	1	ENSG00000100983
HK1	HGNC:4922	DONE	exact_unique_gene_symbol	1	ENSG00000156515
HK2	HGNC:4923	DONE	exact_unique_gene_symbol	1	ENSG00000159399
HK3	HGNC:4925	DONE	exact_unique_gene_symbol	1	ENSG00000160883
HPRT1	HGNC:5157	DONE	exact_unique_gene_symbol	1	ENSG00000165704
IMPA1	HGNC:6050	DONE	exact_unique_gene_symbol	1	ENSG00000133731
IMPA2	HGNC:6051	DONE	exact_unique_gene_symbol	1	ENSG00000141401
LYPLA1	HGNC:6737	DONE	exact_unique_gene_symbol	1	ENSG00000120992
MGAM	HGNC:7043	DONE	exact_unique_gene_symbol	1	ENSG00000257335
MGLL	HGNC:17038	DONE	exact_unique_gene_symbol	1	ENSG00000074416
NAGK	HGNC:17174	DONE	exact_unique_gene_symbol	1	ENSG00000124357
NAGS	HGNC:17996	DONE	exact_unique_gene_symbol	1	ENSG00000161653
NT5C1A	HGNC:17819	DONE	exact_unique_gene_symbol	1	ENSG00000116981
NT5C2	HGNC:8022	DONE	exact_unique_gene_symbol	1	ENSG00000076685
