cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	stable_gene_id	partition	celltype	n_source_labels_total	n_source_labels_eligible	n_cells_total	n_cells_eligible	annotation_origin	normalization	mean_detection_fraction	median_donor_mean	q25	q75
PRAD	PRAD24_CELLxGENE	06_EXTERNAL	20260923T080000Z_nnmt_sc_v1	prad_sc_source_v1	donor_equal_expression_source	NA	NA	NNMT	source_donor_label	5	15	donor_equal_mean_log1p_CP10K	0.026401575282216073	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	NA	PRAD24_Apostolov_CELLxGENE	ENSG00000166741	adj_benign	B-cells	15	5	249	183	depositor_author_v2	log1p(10000*raw_count/sum_all_raw_genes_per_cell)	0.025183512140033882	0.020150810480117798	0.0	0.030597837641835213
PRAD	PRAD24_CELLxGENE	06_EXTERNAL	20260923T080000Z_nnmt_sc_v1	prad_sc_source_v1	donor_equal_expression_source	NA	NA	NNMT	source_donor_label	13	15	donor_equal_mean_log1p_CP10K	1.0112149566411972	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	NA	PRAD24_Apostolov_CELLxGENE	ENSG00000166741	adj_benign	CAFs	15	13	1069	1046	depositor_author_v2	log1p(10000*raw_count/sum_all_raw_genes_per_cell)	0.5392747455238367	0.8925670981407166	0.6484661102294922	1.4483386278152466
PRAD	PRAD24_CELLxGENE	06_EXTERNAL	20260923T080000Z_nnmt_sc_v1	prad_sc_source_v1	donor_equal_expression_source	NA	NA	NNMT	source_donor_label	2	15	donor_equal_mean_log1p_CP10K	NA	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	NOT_EVALUABLE	fewer_than3_donors_with20cells	PRAD24_Apostolov_CELLxGENE	ENSG00000166741	adj_benign	Cycling	15	2	134	56	depositor_author_v2	log1p(10000*raw_count/sum_all_raw_genes_per_cell)	NA	NA	NA	NA
PRAD	PRAD24_CELLxGENE	06_EXTERNAL	20260923T080000Z_nnmt_sc_v1	prad_sc_source_v1	donor_equal_expression_source	NA	NA	NNMT	source_donor_label	15	15	donor_equal_mean_log1p_CP10K	1.2586850245793662	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	NA	PRAD24_Apostolov_CELLxGENE	ENSG00000166741	adj_benign	Endothelial	15	15	5372	5372	depositor_author_v2	log1p(10000*raw_count/sum_all_raw_genes_per_cell)	0.6804151523123418	1.2462948560714722	1.1096903085708618	1.382947325706482
PRAD	PRAD24_CELLxGENE	06_EXTERNAL	20260923T080000Z_nnmt_sc_v1	prad_sc_source_v1	donor_equal_expression_source	NA	NA	NNMT	source_donor_label	15	15	donor_equal_mean_log1p_CP10K	0.22717447755858303	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	NA	PRAD24_Apostolov_CELLxGENE	ENSG00000166741	adj_benign	Epithelial_altered_benign	15	15	5380	5380	depositor_author_v2	log1p(10000*raw_count/sum_all_raw_genes_per_cell)	0.17970535114551994	0.15209712088108063	0.07764564827084541	0.2924018055200577
PRAD	PRAD24_CELLxGENE	06_EXTERNAL	20260923T080000Z_nnmt_sc_v1	prad_sc_source_v1	donor_equal_expression_source	NA	NA	NNMT	source_donor_label	7	15	donor_equal_mean_log1p_CP10K	0.29169976711273193	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	NA	PRAD24_Apostolov_CELLxGENE	ENSG00000166741	adj_benign	Epithelial_malignant	15	7	645	611	depositor_author_v2	log1p(10000*raw_count/sum_all_raw_genes_per_cell)	0.26952555653837434	0.23637895286083221	0.11636996641755104	0.39834535121917725
PRAD	PRAD24_CELLxGENE	06_EXTERNAL	20260923T080000Z_nnmt_sc_v1	prad_sc_source_v1	donor_equal_expression_source	NA	NA	NNMT	source_donor_label	7	15	donor_equal_mean_log1p_CP10K	0.21810471851910865	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	NA	PRAD24_Apostolov_CELLxGENE	ENSG00000166741	adj_benign	Epithelial_normal	15	7	3936	3921	depositor_author_v2	log1p(10000*raw_count/sum_all_raw_genes_per_cell)	0.1759777761207745	0.12908793985843658	0.07480034232139587	0.3185659199953079
PRAD	PRAD24_CELLxGENE	06_EXTERNAL	20260923T080000Z_nnmt_sc_v1	prad_sc_source_v1	donor_equal_expression_source	NA	NA	NNMT	source_donor_label	12	15	donor_equal_mean_log1p_CP10K	0.049357255920767784	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	NA	PRAD24_Apostolov_CELLxGENE	ENSG00000166741	adj_benign	Myeloid	15	12	1172	1138	depositor_author_v2	log1p(10000*raw_count/sum_all_raw_genes_per_cell)	0.061788735424697185	0.040568696334958076	0.034901232458651066	0.05230191629379988
PRAD	PRAD24_CELLxGENE	06_EXTERNAL	20260923T080000Z_nnmt_sc_v1	prad_sc_source_v1	donor_equal_expression_source	NA	NA	NNMT	source_donor_label	6	15	donor_equal_mean_log1p_CP10K	0.6143376529216766	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	NA	PRAD24_Apostolov_CELLxGENE	ENSG00000166741	adj_benign	PNS_glial	15	6	328	246	depositor_author_v2	log1p(10000*raw_count/sum_all_raw_genes_per_cell)	0.27653350553886585	0.5307927131652832	0.2511385791003704	0.7713740020990372
PRAD	PRAD24_CELLxGENE	06_EXTERNAL	20260923T080000Z_nnmt_sc_v1	prad_sc_source_v1	donor_equal_expression_source	NA	NA	NNMT	source_donor_label	1	15	donor_equal_mean_log1p_CP10K	NA	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	NOT_EVALUABLE	fewer_than3_donors_with20cells	PRAD24_Apostolov_CELLxGENE	ENSG00000166741	adj_benign	Plasma_cells	15	1	47	23	depositor_author_v2	log1p(10000*raw_count/sum_all_raw_genes_per_cell)	NA	NA	NA	NA
