mode	group	n_donors	n_cells	donor_mean_abs_median	donor_mean_abs_q25	donor_mean_abs_q75	donor_rms_median
primary	B_control	22	622	0.014438113785366939	0.013902179159508598	0.016868240023508476	0.036884803977535865
primary	Epithelial_control	22	1095	0.023165303846872994	0.02275592821057288	0.027143881780088173	0.04742686220304679
primary	Myeloid | ALL_MYELOID | adj_benign	15	1172	0.015719068151625232	0.015200445927859433	0.016847732626531636	0.041061359375351804
primary	Myeloid | ALL_MYELOID | cancer	22	1548	0.016336473636165486	0.0156438625172067	0.01776908691024889	0.04180637919446402
primary	Myeloid | Macrophages | adj_benign	14	436	0.01709133434918394	0.015768484604480854	0.0182116599930804	0.04391830593431898
primary	Myeloid | Macrophages | cancer	22	571	0.018094804118707036	0.01698666800401829	0.019699117648577666	0.044223422118564774
primary	Myeloid | Mast_cells | adj_benign	7	51	0.019063415202049145	0.016960057209720342	0.023784453830291676	0.04173090022755537
primary	Myeloid | Mast_cells | cancer	12	64	0.017417967747448266	0.014909903071621735	0.02055363507020444	0.038097108418141776
primary	Myeloid | Monocytes | adj_benign	14	340	0.015729971689838654	0.014901467758567278	0.0167978023241077	0.03887454251136864
primary	Myeloid | Monocytes | cancer	21	520	0.015932303129315758	0.014680648939249388	0.01778445271990805	0.038560663461304816
primary	Myeloid | cDC1 | adj_benign	10	35	0.0136234812661329	0.011262688965346351	0.014962414264904666	0.04171787140874096
primary	Myeloid | cDC1 | cancer	14	22	0.014370291996502301	0.012938448673350974	0.016533286418342775	0.0432850138074172
primary	Myeloid | cDC2 | adj_benign	15	285	0.013846488397107724	0.013204470459197138	0.015611841243286476	0.03911940867376672
primary	Myeloid | cDC2 | cancer	22	344	0.013655860853560013	0.011776073508819242	0.014917914605737301	0.03942700139153839
primary	Myeloid | mDC_regs | adj_benign	6	8	0.01570166080575835	0.013651435465234976	0.016829861681941675	0.039111989587794646
primary	Myeloid | mDC_regs | cancer	8	13	0.016220488980489	0.014269487611563375	0.017696716654239303	0.04154274458089845
primary	Myeloid | pDC | adj_benign	4	17	0.014215937569976253	0.012721473430831604	0.01531205173989205	0.03717540600588523
primary	Myeloid | pDC | cancer	7	14	0.0151861474991734	0.012088660094619282	0.01543604178237485	0.0352454221933167
primary	T_holdout	22	3368	0.011851794168754648	0.01138081299780824	0.012877501511953502	0.030510314436789466
primary	T_reference	22	3362	0.011753935951889517	0.011058642287543323	0.012251198358104485	0.030709465379231735
reference_split	B_control	22	622	0.014659121074252573	0.01393540757325738	0.016674742627287117	0.03703541530459371
reference_split	Epithelial_control	22	1095	0.023339276342450768	0.02280841000540075	0.02676569382154716	0.04760892216208025
reference_split	Myeloid | ALL_MYELOID | adj_benign	15	1172	0.016149471260795006	0.0153436500904307	0.017018926460392412	0.040945083853255175
reference_split	Myeloid | ALL_MYELOID | cancer	22	1548	0.01631114801386733	0.015307295595803188	0.01795172415318502	0.041418561090346265
reference_split	Myeloid | Macrophages | adj_benign	14	436	0.01697369075979601	0.01588324855850785	0.018061088318901963	0.043370481762818505
reference_split	Myeloid | Macrophages | cancer	22	571	0.018105657220276676	0.016899938790383044	0.019545430769682466	0.04505127536872736
reference_split	Myeloid | Mast_cells | adj_benign	7	51	0.019351802864335858	0.016981579007029533	0.02403661508338653	0.04220256431700227
reference_split	Myeloid | Mast_cells | cancer	12	64	0.017370433276681932	0.015080598366533022	0.0206630585666097	0.03800788688463662
reference_split	Myeloid | Monocytes | adj_benign	14	340	0.016026907910975625	0.014851478068273784	0.017003545338547105	0.03890301518322156
reference_split	Myeloid | Monocytes | cancer	21	520	0.016336595401007556	0.014940284726043243	0.0174770511885831	0.03976472664215043
reference_split	Myeloid | cDC1 | adj_benign	10	35	0.013642664071629802	0.01151754409512315	0.014577661206681976	0.04241889140128078
reference_split	Myeloid | cDC1 | cancer	14	22	0.01490328286723965	0.012987279838670325	0.016238564553831714	0.04235262732264145
reference_split	Myeloid | cDC2 | adj_benign	15	285	0.014216912730233311	0.013201385496503328	0.015722180445933348	0.039483297664461375
reference_split	Myeloid | cDC2 | cancer	22	344	0.0136163351254571	0.012377957582451369	0.014880696846306489	0.039639170533393234
reference_split	Myeloid | mDC_regs | adj_benign	6	8	0.01582019292694975	0.01361859441671435	0.0163254575396154	0.039131457838049
reference_split	Myeloid | mDC_regs | cancer	8	13	0.016485143614368952	0.014282467279675862	0.017944259094635876	0.04258690343234885
reference_split	Myeloid | pDC | adj_benign	4	17	0.014460178262340131	0.01284553991460292	0.015700897684889907	0.0375323272285327
reference_split	Myeloid | pDC | cancer	7	14	0.0144900256533163	0.0112522838845976	0.01522409386283825	0.0345292746588772
reference_split	T_holdout	22	3362	0.011923870798579117	0.011183293932265286	0.012559032147257773	0.03086295951281618
reference_split	T_reference	22	3368	0.011780212759999548	0.011114829176392971	0.01225010357882935	0.03055588597179913
