subtype	tissue	n_cells	n_evaluable_rho	median_cell_profile_rho	q10_cell_profile_rho	median_absolute_log2_difference
Macrophages	adj_benign	436	436	0.9494674575933564	0.9097859226206548	0.0026700991898627683
Macrophages	cancer	571	571	0.9457601766956945	0.8973990159538814	0.00329376994476339
Mast_cells	adj_benign	51	51	0.9596025620102221	0.9181488197591852	0.002807377014337987
Mast_cells	cancer	64	64	0.9501069107521618	0.8885296461123456	0.0029808184695027983
Monocytes	adj_benign	340	340	0.9512557385073205	0.9132790887146479	0.0027806655511896134
Monocytes	cancer	520	520	0.9427300447188549	0.8838016062847166	0.003185460608197709
cDC1	adj_benign	35	35	0.9349094489314845	0.896252180126265	0.0023434010821995464
cDC1	cancer	22	22	0.9220338294932398	0.8675875961635428	0.002559702046968295
cDC2	adj_benign	285	285	0.9455859397376409	0.9026351810561002	0.0022737130724647336
cDC2	cancer	344	344	0.9245899749421551	0.8709348934292893	0.003009692697879144
mDC_regs	adj_benign	8	8	0.9575877982075385	0.9069436144755141	0.002837801396985655
mDC_regs	cancer	13	13	0.9446598778858512	0.8739312012263597	0.0029091468011160273
pDC	adj_benign	17	17	0.9561152458955943	0.9109589277131809	0.0024306340193557823
pDC	cancer	14	14	0.9339789334380532	0.8918401787973	0.003471574988568257
