dataset	cancer	feature_name	metabolite_standard_name	kegg_id	hmdb_id	metabolite_key	identity_confidence	super_pathway	sub_pathway	hedges_g	hedges_g_variance	hedges_g_se	effect_fdr	max_input_raw_missing_rate	source_type	source_effects
ccRCC_meta	ccRCC	3,4-dihydroxybutyrate	3,4-dihydroxybutyrate	NA	HMDB0000337	HMDB:HMDB0000337	HIGH_ID	Lipid	Fatty Acid, Dihydroxy	-1.10260498627976	0.0441715938059407	0.210170392315237	7.78704708530885e-07	0.153846153846154	ccRCC_random_effects_meta	ccRCC3;ccRCC4
ccRCC_meta	ccRCC	5,6-dihydrouridine	5,6-dihydrouridine	NA	HMDB0000497	HMDB:HMDB0000497	HIGH_ID	Nucleotide	Pyrimidine Metabolism, Uracil containing	-2.1054789591654	0.0816286822207778	0.285707336658998	1.61431264137807e-12	0.0895522388059701	ccRCC_random_effects_meta	ccRCC3;ccRCC4
ccRCC_meta	ccRCC	sphingomyelin (d18:2/18:1)	sphingomyelin (d18:2/18:1)	NA	HMDB0001348	HMDB:HMDB0001348	HIGH_ID	Lipid	Sphingomyelins (SM)	-0.370532730251308	0.0436475170739785	0.208919881949944	0.128113834971992	0.417910447761194	ccRCC_random_effects_meta	ccRCC3;ccRCC4
ccRCC_meta	ccRCC	cis-4-decenoate (10:1n6)	cis-4-decenoate (10:1n6)	NA	HMDB0004980	HMDB:HMDB0004980	HIGH_ID	Lipid	Medium Chain Fatty Acid	0.730340881239261	0.0241481142500405	0.155396635259714	1.09886757524197e-05	0.595744680851064	ccRCC_random_effects_meta	ccRCC3;ccRCC4
ccRCC_meta	ccRCC	arachidonoylcarnitine (C20:4)	arachidonoylcarnitine (C20:4)	NA	HMDB0006455	HMDB:HMDB0006455	HIGH_ID	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)	0.234603999719497	1.14476277598448	1.06993587470674	0.875054478692474	0.0192307692307692	ccRCC_random_effects_meta	ccRCC3;ccRCC4
ccRCC_meta	ccRCC	stearoyl-arachidonoyl-glycerol (18:0/20:4) [2]	stearoyl-arachidonoyl-glycerol (18:0/20:4) [2]	NA	HMDB0007170	HMDB:HMDB0007170	HIGH_ID	Lipid	Diacylglycerol (DG)	-0.771085285439281	0.454038148934138	0.673823529519516	0.338115119983532	0.0384615384615385	ccRCC_random_effects_meta	ccRCC3;ccRCC4
ccRCC_meta	ccRCC	1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)	1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)	NA	HMDB0007996	HMDB:HMDB0007996	HIGH_ID	Lipid	Plasmalogen (PE-P)	0.79618727030171	0.0244291850302709	0.156298384605443	1.66306356737046e-06	0.0	ccRCC_random_effects_meta	ccRCC3;ccRCC4
ccRCC_meta	ccRCC	1-stearoyl-2-oleoyl-GPS (18:0/18:1)	1-stearoyl-2-oleoyl-GPS (18:0/18:1)	NA	HMDB0010163	HMDB:HMDB0010163	HIGH_ID	Lipid	Phosphatidylserine (PS)	0.365279970540379	0.112481790480692	0.335383050377762	0.363371384009336	0.0149253731343284	ccRCC_random_effects_meta	ccRCC3;ccRCC4
ccRCC_meta	ccRCC	palmitoyl dihydrosphingomyelin (d18:0/16:0)	palmitoyl dihydrosphingomyelin (d18:0/16:0)	NA	HMDB0010168	HMDB:HMDB0010168	HIGH_ID	Lipid	Dihydrosphingomyelins	-0.303741137534869	0.0463271735994157	0.215237481864604	0.232161370798077	0.0	ccRCC_random_effects_meta	ccRCC3;ccRCC4
ccRCC_meta	ccRCC	palmitoyl sphingomyelin (d18:1/16:0)	palmitoyl sphingomyelin (d18:1/16:0)	NA	HMDB0010169	HMDB:HMDB0010169	HIGH_ID	Lipid	Sphingomyelins (SM)	-0.0685812307854408	0.0227675305095491	0.150889133172502	0.725308095467462	0.0	ccRCC_random_effects_meta	ccRCC3;ccRCC4
