gene	stable_gene_id	current_pool	history_only
AADAT	HGNC:17929	True	False
ABHD12	ENSG00000100997	True	False
ABHD6	ENSG00000163686	True	False
ACSL1	ENSG00000151726	True	False
ACSL3	ENSG00000123983	True	False
ACSL4	ENSG00000068366	True	False
ACSL5	ENSG00000197142	True	False
ACSL6	ENSG00000164398	True	False
ACSM1	ENSG00000166743	True	False
ADA	ENSG00000196839	True	False
ADA2	ENSG00000093072	True	False
AFMID	ENSG00000183077	True	False
AHCY	ENSG00000101444	True	False
ALOX15	ENSG00000161905	True	False
ALOX5	ENSG00000012779	True	False
AMDHD2	ENSG00000162066	True	False
AOX1	ENSG00000138356	True	False
APRT	HGNC:626	True	False
ARG1	ENSG00000118520	True	False
ARG2	ENSG00000081181	True	False
ASNS	ENSG00000070669	True	False
ASS1	ENSG00000130707	True	False
BCAT1	ENSG00000060982	True	False
BCAT2	ENSG00000105552	True	False
CDO1	ENSG00000129596	True	False
CEPT1	ENSG00000134255	True	False
CHKA	ENSG00000110721	True	False
CHKB	ENSG00000100288	True	False
CHPT1	ENSG00000111666	True	False
CKB	ENSG00000166165	True	False
CKM	ENSG00000104879	True	False
CMAS	ENSG00000111726	True	False
CMPK1	ENSG00000162368	True	False
CMPK2	ENSG00000134326	True	False
CNDP2	HGNC:24437	True	False
CPT1A	ENSG00000110090	True	False
CPT1B	ENSG00000205560	True	False
CPT2	ENSG00000157184	True	False
CRAT	ENSG00000095321	True	False
CTNS	ENSG00000040531	True	False
CYP4F2	ENSG00000186115	True	False
DPEP1	HGNC:3002	True	False
DPYD	ENSG00000188641	True	False
ENPP2	ENSG00000136960	True	False
ETNK1	ENSG00000139163	True	False
ETNK2	ENSG00000143845	True	False
FH	ENSG00000091483	True	False
FOLH1	ENSG00000086205	True	False
GAMT	ENSG00000130005	True	False
GCK	HGNC:4195	True	False
GCLC	ENSG00000001084	True	False
GDA	ENSG00000119125	True	False
GDPD5	ENSG00000158555	True	False
GLS	ENSG00000115419	True	False
GLS2	ENSG00000135423	True	False
GLUL	ENSG00000135821	True	False
GNPNAT1	ENSG00000100522	True	False
GOT1	ENSG00000120053	True	False
GOT2	ENSG00000125166	True	False
GPCPD1	ENSG00000125772	True	False
GPI	ENSG00000105220	True	False
HK1	HGNC:4922	True	False
HK2	HGNC:4923	True	False
HK3	HGNC:4925	True	False
HPD	ENSG00000158104	True	False
HPRT1	ENSG00000165704	True	False
IDNK	ENSG00000148057	True	False
IMPA1	ENSG00000133731	True	False
IMPA2	ENSG00000141401	True	False
KHK	ENSG00000138030	True	False
KMO	ENSG00000117009	True	False
KYNU	ENSG00000115919	True	False
LDHA	ENSG00000134333	True	False
LDHB	ENSG00000111716	True	False
LPCAT1	ENSG00000153395	True	False
LPCAT2	ENSG00000087253	True	False
LPCAT3	ENSG00000111684	True	False
LPCAT4	ENSG00000176454	True	False
LYPLA1	ENSG00000120992	True	False
LYPLA2	ENSG00000011009	True	False
MDH1	ENSG00000014641	True	False
MDH2	ENSG00000146701	True	False
MGAM	ENSG00000257335	True	False
MGLL	ENSG00000074416	True	False
MPI	ENSG00000178802	True	False
NAGK	ENSG00000124357	True	False
NAGS	HGNC:17996	True	False
NNMT	ENSG00000166741	True	False
NPL	ENSG00000135838	True	False
NT5C1A	HGNC:17819	True	False
NT5C2	ENSG00000076685	True	False
OAT	ENSG00000065154	True	False
ODC1	ENSG00000115758	True	False
OTC	ENSG00000036473	True	False
PANK1	ENSG00000152782	True	False
PANK2	ENSG00000125779	True	False
PANK3	ENSG00000120137	True	False
PEPD	ENSG00000124299	True	False
PGM3	ENSG00000013375	True	False
PLA2G4A	HGNC:9035	True	False
PMM1	ENSG00000100417	True	False
PMM2	ENSG00000140650	True	False
PNP	ENSG00000198805	True	False
PRODH	ENSG00000100033	True	False
PRODH2	ENSG00000250799	True	False
PTGS1	ENSG00000095303	True	False
PTGS2	ENSG00000073756	True	False
PUDP	ENSG00000130021	True	False
PYCR1	ENSG00000183010	True	False
PYCR2	ENSG00000143811	True	False
PYCR3	ENSG00000104524	True	False
RFK	ENSG00000135002	True	False
SDHA	ENSG00000073578	True	False
SDHB	ENSG00000117118	True	False
SDHC	ENSG00000143252	True	False
SDHD	ENSG00000204370	True	False
SDS	HGNC:10691	True	False
SDSL	HGNC:30404	True	False
SHMT1	ENSG00000176974	True	False
SHMT2	ENSG00000182199	True	False
SLC13A3	ENSG00000158296	True	False
SLC22A2	ENSG00000112499	True	False
SLC22A4	ENSG00000197208	True	False
SLC25A10	ENSG00000183048	True	False
SLC25A20	ENSG00000178537	True	False
SLC29A2	ENSG00000174669	True	False
SLC2A1	HGNC:11005	True	False
SLC2A3	HGNC:11007	True	False
SLC47A1	ENSG00000142494	True	False
SLC47A2	ENSG00000180638	True	False
SLC6A8	ENSG00000130821	True	False
SLC7A11	ENSG00000151012	True	False
SORD	ENSG00000140263	True	False
SPHK1	ENSG00000176170	True	False
SPHK2	ENSG00000063176	True	False
STS	HGNC:11425	True	False
SUCLA2	ENSG00000136143	True	False
SUCLG1	ENSG00000163541	True	False
SUCLG2	ENSG00000172340	True	False
SULT2A1	HGNC:11458	True	False
TAT	ENSG00000198650	True	False
UPB1	ENSG00000100024	True	False
UPP1	ENSG00000183696	True	False
UPP2	ENSG00000007001	True	False
