feature_id	metabolite_key	metabolite_name	p_value	q_value	n_direct_relations	status	reason
ccRCC4_FEATURE:0528800c3d0fe7a8	KEGG:C01717	kynurenate	0.00048828125	0.0044586489898989	0	NEEDS_REVIEW	NO_EXACT_REVIEWED_RELATION_IN_BOUNDED_LIBRARY
ccRCC4_FEATURE:0667222c7d80dd92	NAME:heptadecasphingosine (d17:1)	heptadecasphingosine (d17:1)	0.00048828125	0.0044586489898989	0	NEEDS_REVIEW	NO_EXACT_REVIEWED_RELATION_IN_BOUNDED_LIBRARY
ccRCC4_FEATURE:06f61ab4b71687df	HMDB:HMDB0240592	palmitoylcholine	0.00048828125	0.0044586489898989	0	NEEDS_REVIEW	NO_EXACT_REVIEWED_RELATION_IN_BOUNDED_LIBRARY
ccRCC4_FEATURE:07d4bacf81c1f2da	HMDB:HMDB02721	N1-methylinosine	0.00048828125	0.0044586489898989	0	NEEDS_REVIEW	NO_EXACT_REVIEWED_RELATION_IN_BOUNDED_LIBRARY
ccRCC4_FEATURE:09571ef0a800d7fe	KEGG:C06425	arachidate (20:0)	0.00048828125	0.0044586489898989	0	NEEDS_REVIEW	NO_EXACT_REVIEWED_RELATION_IN_BOUNDED_LIBRARY
ccRCC4_FEATURE:0a1429cbd4ae21ce	KEGG:C00954	indoleacetate	0.00048828125	0.0044586489898989	0	NEEDS_REVIEW	NO_EXACT_REVIEWED_RELATION_IN_BOUNDED_LIBRARY
ccRCC4_FEATURE:0a588f4846640948	HMDB:HMDB0240215	2-methoxyacetaminophen glucuronide	0.00048828125	0.0044586489898989	0	NEEDS_REVIEW	NO_EXACT_REVIEWED_RELATION_IN_BOUNDED_LIBRARY
ccRCC4_FEATURE:0d8e991bb222eb9a	HMDB:HMDB0062547	2-hydroxyacetaminophen sulfate	0.00048828125	0.0044586489898989	0	NEEDS_REVIEW	NO_EXACT_REVIEWED_RELATION_IN_BOUNDED_LIBRARY
ccRCC4_FEATURE:106ba8f375f49380	HMDB:HMDB11506	1-oleoyl-GPE (18:1)	0.00048828125	0.0044586489898989	0	NEEDS_REVIEW	NO_EXACT_REVIEWED_RELATION_IN_BOUNDED_LIBRARY
ccRCC4_FEATURE:1545889a03153b0d	NAME:glutamine conjugate of C6H10O2 (2)	glutamine conjugate of C6H10O2 (2)	0.00048828125	0.0044586489898989	0	NEEDS_REVIEW	NO_EXACT_REVIEWED_RELATION_IN_BOUNDED_LIBRARY
