cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	stable_gene_id	current_pool	history_only	n_pairs_total	expression_scale	n_up	n_down	n_equal	mean_delta	median_delta	up_fraction	seed	p_method	ci_method	bootstrap_mean_lower	bootstrap_mean_upper	family_n_planned	evidence_label
ccRCC	ccRCC4	03_PATIENT	20260925T155000Z_ccrcc4_histology_v2	ccrcc4_patient_v2	RNA_PAIRED_CURRENT	NA	NA	AADAT	author_patient	12	12	mean_paired_difference_log2_1plus_TPM	-0.2540793766813368	-0.636298450842146	0.1281396974794724	0.17141928980766874	0.2261782296073407	RNA_PAIRED_CURRENT	95.0	DONE	NA	CAMP_ccRCC4_SUBJECT_ID	HGNC:17929	True	False	12	patient_mean_log2_1plus_author_TPM	2	10	0	-0.2540793766813368	-0.4270793306172094	0.16666666666666666	312782688	paired_t_on_patient_means	t_df_nminus1_pointwise	-0.5589761376512972	0.08590522127897346	95.0	NOT_SUPPORTED_THIS_TEST
ccRCC	ccRCC4	03_PATIENT	20260925T155000Z_ccrcc4_histology_v2	ccrcc4_patient_v2	RNA_PAIRED_CURRENT	NA	NA	AASS	author_patient	12	12	mean_paired_difference_log2_1plus_TPM	-1.52446778021599	-1.9737739097891365	-1.0751616506428436	1.2491579923132891e-05	9.128462251520189e-05	RNA_PAIRED_CURRENT	95.0	DONE	NA	CAMP_ccRCC4_SUBJECT_ID	ENSG00000008311	True	False	12	patient_mean_log2_1plus_author_TPM	0	12	0	-1.52446778021599	-1.4192614352547492	0.0	859247888	paired_t_on_patient_means	t_df_nminus1_pointwise	-1.9231062722134398	-1.1498209228528502	95.0	FDR_SUPPORTED
ccRCC	ccRCC4	03_PATIENT	20260925T155000Z_ccrcc4_histology_v2	ccrcc4_patient_v2	RNA_PAIRED_CURRENT	NA	NA	ABHD12	author_patient	12	12	mean_paired_difference_log2_1plus_TPM	0.12609851984923282	-0.05593691143396759	0.30813395113243325	0.15556723322391483	0.2081533402291818	RNA_PAIRED_CURRENT	95.0	DONE	NA	CAMP_ccRCC4_SUBJECT_ID	ENSG00000100997	True	False	12	patient_mean_log2_1plus_author_TPM	10	2	0	0.12609851984923282	0.07540188808560622	0.8333333333333334	4141207237	paired_t_on_patient_means	t_df_nminus1_pointwise	-0.03158296497052656	0.28667623913948803	95.0	NOT_SUPPORTED_THIS_TEST
ccRCC	ccRCC4	03_PATIENT	20260925T155000Z_ccrcc4_histology_v2	ccrcc4_patient_v2	RNA_PAIRED_CURRENT	NA	NA	ABHD6	author_patient	12	12	mean_paired_difference_log2_1plus_TPM	-0.5993816216585839	-1.0804842358295288	-0.11827900748763903	0.019159477301265375	0.037919798825421056	RNA_PAIRED_CURRENT	95.0	DONE	NA	CAMP_ccRCC4_SUBJECT_ID	ENSG00000163686	True	False	12	patient_mean_log2_1plus_author_TPM	3	9	0	-0.5993816216585839	-0.46257638545167845	0.25	4042370955	paired_t_on_patient_means	t_df_nminus1_pointwise	-1.022582534658677	-0.18334079172342438	95.0	FDR_SUPPORTED
ccRCC	ccRCC4	03_PATIENT	20260925T155000Z_ccrcc4_histology_v2	ccrcc4_patient_v2	RNA_PAIRED_CURRENT	NA	NA	ACSL1	author_patient	12	12	mean_paired_difference_log2_1plus_TPM	-0.30444590373408476	-0.8761515115082806	0.2672597040401111	0.2659274063738489	0.323885943660457	RNA_PAIRED_CURRENT	95.0	DONE	NA	CAMP_ccRCC4_SUBJECT_ID	ENSG00000151726	True	False	12	patient_mean_log2_1plus_author_TPM	6	6	0	-0.30444590373408476	-0.08356041212560683	0.5	3456055894	paired_t_on_patient_means	t_df_nminus1_pointwise	-0.8120021674297129	0.145584845875777	95.0	NOT_SUPPORTED_THIS_TEST
ccRCC	ccRCC4	03_PATIENT	20260925T155000Z_ccrcc4_histology_v2	ccrcc4_patient_v2	RNA_PAIRED_CURRENT	NA	NA	ACSL3	author_patient	12	12	mean_paired_difference_log2_1plus_TPM	-0.5296551455760174	-0.8589646381743803	-0.2003456529776546	0.004632531105398141	0.010478344166971987	RNA_PAIRED_CURRENT	95.0	DONE	NA	CAMP_ccRCC4_SUBJECT_ID	ENSG00000123983	True	False	12	patient_mean_log2_1plus_author_TPM	2	10	0	-0.5296551455760174	-0.5807464617607132	0.16666666666666666	1320426651	paired_t_on_patient_means	t_df_nminus1_pointwise	-0.8081073649754191	-0.24362536420156825	95.0	FDR_SUPPORTED
ccRCC	ccRCC4	03_PATIENT	20260925T155000Z_ccrcc4_histology_v2	ccrcc4_patient_v2	RNA_PAIRED_CURRENT	NA	NA	ACSL4	author_patient	12	12	mean_paired_difference_log2_1plus_TPM	-1.2550610234254607	-1.5308258755093291	-0.9792961713415922	7.267652182743364e-07	1.1507115956010326e-05	RNA_PAIRED_CURRENT	95.0	DONE	NA	CAMP_ccRCC4_SUBJECT_ID	ENSG00000068366	True	False	12	patient_mean_log2_1plus_author_TPM	0	12	0	-1.2550610234254607	-1.3425093989528838	0.0	236440590	paired_t_on_patient_means	t_df_nminus1_pointwise	-1.477233996815704	-1.0091347130232589	95.0	FDR_SUPPORTED
ccRCC	ccRCC4	03_PATIENT	20260925T155000Z_ccrcc4_histology_v2	ccrcc4_patient_v2	RNA_PAIRED_CURRENT	NA	NA	ACSL5	author_patient	12	12	mean_paired_difference_log2_1plus_TPM	0.6281781537082262	0.1921730376942961	1.0641832697221563	0.008901339226651046	0.019218800602996577	RNA_PAIRED_CURRENT	95.0	DONE	NA	CAMP_ccRCC4_SUBJECT_ID	ENSG00000197142	True	False	12	patient_mean_log2_1plus_author_TPM	10	2	0	0.6281781537082262	0.7693449572642646	0.8333333333333334	314732784	paired_t_on_patient_means	t_df_nminus1_pointwise	0.23175700182913098	0.9663605265587657	95.0	FDR_SUPPORTED
ccRCC	ccRCC4	03_PATIENT	20260925T155000Z_ccrcc4_histology_v2	ccrcc4_patient_v2	RNA_PAIRED_CURRENT	NA	NA	ACSL6	author_patient	12	12	mean_paired_difference_log2_1plus_TPM	-1.5027824883215681	-2.2872270432162924	-0.7183379334268437	0.0014448919920745935	0.004037198213149599	RNA_PAIRED_CURRENT	95.0	DONE	NA	CAMP_ccRCC4_SUBJECT_ID	ENSG00000164398	True	False	12	patient_mean_log2_1plus_author_TPM	1	11	0	-1.5027824883215681	-1.7559799770243192	0.08333333333333333	1483382770	paired_t_on_patient_means	t_df_nminus1_pointwise	-2.0392906543112996	-0.7424719821039898	95.0	FDR_SUPPORTED
ccRCC	ccRCC4	03_PATIENT	20260925T155000Z_ccrcc4_histology_v2	ccrcc4_patient_v2	RNA_PAIRED_CURRENT	NA	NA	ACSM1	author_patient	12	12	mean_paired_difference_log2_1plus_TPM	-0.8773958384669575	-1.715767904432893	-0.039023772501021736	0.04177869088907732	0.07087456490111331	RNA_PAIRED_CURRENT	95.0	DONE	NA	CAMP_ccRCC4_SUBJECT_ID	ENSG00000166743	True	False	12	patient_mean_log2_1plus_author_TPM	3	9	0	-0.8773958384669575	-0.9983435036473011	0.25	3656659103	paired_t_on_patient_means	t_df_nminus1_pointwise	-1.6607117976049004	-0.2124669929670379	95.0	NOMINAL_EXPLORATORY
