gene	stable_gene_id	current_pool	source_runs	history_only
AADAT	HGNC:17929	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
AASS	ENSG00000008311	True	20260925T143000Z_discovery_v1	False
ABHD12	ENSG00000100997	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
ABHD6	ENSG00000163686	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
ACSL1	ENSG00000151726	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
ACSL3	ENSG00000123983	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
ACSL4	ENSG00000068366	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
ACSL5	ENSG00000197142	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
ACSL6	ENSG00000164398	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
ACSM1	ENSG00000166743	True	20260925T151000Z_ccrcc3_v1	False
ADA	ENSG00000196839	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
ADA2	ENSG00000093072	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
AFMID	ENSG00000183077	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
AHCY	ENSG00000101444	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
ALOX15	ENSG00000161905	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
ALOX5	ENSG00000012779	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
AMDHD2	ENSG00000162066	True	20260925T151000Z_ccrcc3_v1	False
AOX1	ENSG00000138356	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
APRT	HGNC:626	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
ARG1	ENSG00000118520	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
ARG2	ENSG00000081181	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
ASNS	ENSG00000070669	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
ASS1	ENSG00000130707	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
BCAT1	ENSG00000060982	True	20260925T151000Z_ccrcc3_v1	False
BCAT2	ENSG00000105552	True	20260925T151000Z_ccrcc3_v1	False
CDO1	ENSG00000129596	True	20260925T151000Z_ccrcc3_v1	False
CEPT1	ENSG00000134255	True	20260925T151000Z_ccrcc3_v1	False
CHKA	ENSG00000110721	True	20260925T151000Z_ccrcc3_v1	False
CHKB	ENSG00000100288	True	20260925T151000Z_ccrcc3_v1	False
CHPT1	ENSG00000111666	True	20260925T151000Z_ccrcc3_v1	False
CKB	ENSG00000166165	True	20260925T151000Z_ccrcc3_v1	False
CKM	ENSG00000104879	True	20260925T151000Z_ccrcc3_v1	False
CMAS	ENSG00000111726	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
CMPK1	ENSG00000162368	True	20260925T151000Z_ccrcc3_v1	False
CMPK2	ENSG00000134326	True	20260925T151000Z_ccrcc3_v1	False
CNDP2	HGNC:24437	True	20260925T151000Z_ccrcc3_v1	False
CPT1A	ENSG00000110090	True	20260925T151000Z_ccrcc3_v1	False
CPT1B	ENSG00000205560	True	20260925T151000Z_ccrcc3_v1	False
CPT2	ENSG00000157184	True	20260925T151000Z_ccrcc3_v1	False
CRAT	ENSG00000095321	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
CTNS	ENSG00000040531	True	20260925T151000Z_ccrcc3_v1	False
CYP27A1	HGNC:2605	True	20260925T143000Z_discovery_v1	False
CYP4F2	ENSG00000186115	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
DPEP1	HGNC:3002	True	20260925T151000Z_ccrcc3_v1	False
DPYD	ENSG00000188641	True	20260925T151000Z_ccrcc3_v1	False
ENPP2	ENSG00000136960	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
ETNK1	ENSG00000139163	True	20260925T151000Z_ccrcc3_v1	False
ETNK2	ENSG00000143845	True	20260925T151000Z_ccrcc3_v1	False
FH	ENSG00000091483	True	20260925T151000Z_ccrcc3_v1	False
FOLH1	ENSG00000086205	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
GAMT	ENSG00000130005	True	20260925T151000Z_ccrcc3_v1	False
GCK	HGNC:4195	True	20260925T151000Z_ccrcc3_v1	False
GCLC	ENSG00000001084	True	20260925T151000Z_ccrcc3_v1	False
GDA	ENSG00000119125	True	20260925T151000Z_ccrcc3_v1	False
GDPD5	ENSG00000158555	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
GGT1	HGNC:4250	True	20260925T143000Z_discovery_v1	False
GGT5	HGNC:4260	True	20260925T143000Z_discovery_v1	False
GLS	ENSG00000115419	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
GLS2	ENSG00000135423	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
GLUL	ENSG00000135821	True	20260925T143000Z_discovery_v1;20260925T151000Z_ccrcc3_v1	False
GNPNAT1	ENSG00000100522	True	20260925T151000Z_ccrcc3_v1	False
