source_file	gene	stable_gene_id	n_hits	status	reason
GSM4819725_SI_18854_filtered_gene_bc_matrices_h5.h5	AADAT	HGNC:17929	1	DONE	exact_unique_match
GSM4819725_SI_18854_filtered_gene_bc_matrices_h5.h5	AASS	ENSG00000008311	1	DONE	exact_unique_match
GSM4819725_SI_18854_filtered_gene_bc_matrices_h5.h5	ABHD12	ENSG00000100997	1	DONE	exact_unique_match
GSM4819725_SI_18854_filtered_gene_bc_matrices_h5.h5	ABHD6	ENSG00000163686	1	DONE	exact_unique_match
GSM4819725_SI_18854_filtered_gene_bc_matrices_h5.h5	ACSL1	ENSG00000151726	1	DONE	exact_unique_match
GSM4819725_SI_18854_filtered_gene_bc_matrices_h5.h5	ACSL3	ENSG00000123983	1	DONE	exact_unique_match
GSM4819725_SI_18854_filtered_gene_bc_matrices_h5.h5	ACSL4	ENSG00000068366	1	DONE	exact_unique_match
GSM4819725_SI_18854_filtered_gene_bc_matrices_h5.h5	ACSL5	ENSG00000197142	1	DONE	exact_unique_match
GSM4819725_SI_18854_filtered_gene_bc_matrices_h5.h5	ACSL6	ENSG00000164398	1	DONE	exact_unique_match
GSM4819725_SI_18854_filtered_gene_bc_matrices_h5.h5	ACSM1	ENSG00000166743	1	DONE	exact_unique_match
GSM4819725_SI_18854_filtered_gene_bc_matrices_h5.h5	ADA	ENSG00000196839	1	DONE	exact_unique_match
GSM4819725_SI_18854_filtered_gene_bc_matrices_h5.h5	ADA2	ENSG00000093072	1	DONE	exact_unique_match
GSM4819725_SI_18854_filtered_gene_bc_matrices_h5.h5	AFMID	ENSG00000183077	1	DONE	exact_unique_match
GSM4819725_SI_18854_filtered_gene_bc_matrices_h5.h5	AHCY	ENSG00000101444	1	DONE	exact_unique_match
GSM4819725_SI_18854_filtered_gene_bc_matrices_h5.h5	ALOX15	ENSG00000161905	1	DONE	exact_unique_match
GSM4819725_SI_18854_filtered_gene_bc_matrices_h5.h5	ALOX5	ENSG00000012779	1	DONE	exact_unique_match
GSM4819725_SI_18854_filtered_gene_bc_matrices_h5.h5	AMDHD2	ENSG00000162066	1	DONE	exact_unique_match
GSM4819725_SI_18854_filtered_gene_bc_matrices_h5.h5	AOX1	ENSG00000138356	1	DONE	exact_unique_match
GSM4819725_SI_18854_filtered_gene_bc_matrices_h5.h5	APRT	HGNC:626	1	DONE	exact_unique_match
GSM4819725_SI_18854_filtered_gene_bc_matrices_h5.h5	ARG1	ENSG00000118520	1	DONE	exact_unique_match
GSM4819725_SI_18854_filtered_gene_bc_matrices_h5.h5	ARG2	ENSG00000081181	1	DONE	exact_unique_match
