gene	stable_gene_id	current_in_ccRCC3	n_relations_ccRCC3	ccRCC3_RNA_effect	ccRCC3_RNA_n	ccRCC3_RNA_p_value	ccRCC3_RNA_q_value	ccRCC3_RNA_status	ccRCC3_RNA_reason	current_in_ccRCC4	n_relations_ccRCC4	ccRCC4_RNA_effect	ccRCC4_RNA_n	ccRCC4_RNA_p_value	ccRCC4_RNA_q_value	ccRCC4_RNA_status	ccRCC4_RNA_reason	current_pool	history_only	top_celltype	runner_celltype	top_gap	bootstrap_top_frequency	bootstrap_valid	n_eligible_celltypes	status	reason	study	cell_background	interpretation
AADAT	HGNC:17929	True	3	-0.3816478632494011	17.0	0.0005982601398825	0.0010635735820133	DONE	NA	True	1	-0.2540793766813368	12.0	0.1714192898076687	0.2261782296073407	DONE	NA	True	False	Tumor	Peri	0.0024943004348899	0.9071428571428573	980	8	DONE	descriptive_only	GSE159115	Tumor	描述性细胞来源；不是酶活、代谢通量或功能验证
AASS	ENSG00000008311	False	0	NA	NA	NA	NA	NOT_RUN	not_in_this_cohort_current_or_legacy_RNA_family	True	1	-1.52446778021599	12.0	1.2491579923132893e-05	9.128462251520188e-05	DONE	NA	True	False	Endo_ACKR1	Tumor	0.0056579288975776	0.2278225806451612	992	8	DONE	descriptive_only	GSE159115	Endo_ACKR1	描述性细胞来源；不是酶活、代谢通量或功能验证
ABHD12	ENSG00000100997	True	8	0.2197766540943816	17.0	0.0260742708507914	0.03444674314233	DONE	NA	True	3	0.1260985198492328	12.0	0.1555672332239148	0.2081533402291818	DONE	NA	True	False	Macro	Peri	0.2349052431774572	1.0	992	8	DONE	descriptive_only	GSE159115	Macro	描述性细胞来源；不是酶活、代谢通量或功能验证
ABHD6	ENSG00000163686	True	4	-0.4650334937183685	17.0	0.0479730291070876	0.0600705755775706	DONE	NA	True	2	-0.5993816216585839	12.0	0.0191594773012653	0.037919798825421	DONE	NA	True	False	Peri	Tumor	0.0028501540275427	0.0715725806451613	992	8	DONE	descriptive_only	GSE159115	Peri	描述性细胞来源；不是酶活、代谢通量或功能验证
ACSL1	ENSG00000151726	True	1	-0.4287826741326133	17.0	0.018901160455086	0.0254370757526391	DONE	NA	True	1	-0.3044459037340847	12.0	0.2659274063738489	0.323885943660457	DONE	NA	True	False	Macro	Tumor	0.3669732598153439	1.0	992	8	DONE	descriptive_only	GSE159115	Macro	描述性细胞来源；不是酶活、代谢通量或功能验证
ACSL3	ENSG00000123983	True	6	-0.4028945496240859	17.0	7.650793973986568e-06	2.503896209668331e-05	DONE	NA	True	5	-0.5296551455760174	12.0	0.0046325311053981	0.0104783441669719	DONE	NA	True	False	Peri	Macro	0.0474316041116511	0.2268145161290322	992	8	DONE	descriptive_only	GSE159115	Peri	描述性细胞来源；不是酶活、代谢通量或功能验证
ACSL4	ENSG00000068366	True	3	-0.9112233112195118	17.0	1.1636097047182847e-07	7.616354430883316e-07	DONE	NA	True	3	-1.2550610234254609	12.0	7.267652182743364e-07	1.1507115956010326e-05	DONE	NA	True	False	Macro	Peri	0.0059286420595645	0.9133064516129032	992	8	DONE	descriptive_only	GSE159115	Macro	描述性细胞来源；不是酶活、代谢通量或功能验证
ACSL5	ENSG00000197142	True	1	0.4928167481018427	17.0	0.0005214676315421	0.0009505232777477	DONE	NA	True	1	0.6281781537082262	12.0	0.008901339226651	0.0192188006029965	DONE	NA	True	False	Endo_ACKR1	Endo_PLVAP	0.0453023676285733	0.46875	992	8	DONE	descriptive_only	GSE159115	Endo_ACKR1	描述性细胞来源；不是酶活、代谢通量或功能验证
ACSL6	ENSG00000164398	True	1	-0.9923250717098268	17.0	0.0002029306884579	0.0004058613769159	DONE	NA	True	1	-1.502782488321568	12.0	0.0014448919920745	0.0040371982131495	DONE	NA	True	False	Tcell	Tcell_CD8	0.0333412227481838	0.2360248447204969	966	8	DONE	descriptive_only	GSE159115	Tcell	描述性细胞来源；不是酶活、代谢通量或功能验证
ACSM1	ENSG00000166743	True	2	-1.0651955033817126	17.0	5.292238612317297e-06	1.85873746383827e-05	DONE	NA	True	1	-0.8773958384669575	12.0	0.0417786908890773	0.0708745649011133	DONE	NA	True	False	Tumor	vSMC	0.0096022551697624	0.9403765690376568	956	8	DONE	descriptive_only	GSE159115	Tumor	描述性细胞来源；不是酶活、代谢通量或功能验证
