cancer	cohort	stage_id	run_id	analysis_version	feature_id	relation_id	metabolite_key	metabolite_name	gene	stable_gene_id	uniprot_accession	source_urls	status	reason	metabolite_effect	metabolite_n	metabolite_ci_lower	metabolite_ci_upper	metabolite_p_value	metabolite_q_value	metabolite_status	metabolite_reason	metabolite_available_effect	metabolite_available_n	metabolite_available_ci_lower	metabolite_available_ci_upper	metabolite_available_p_value	metabolite_available_q_value	metabolite_available_status	metabolite_available_reason	RNA_effect	RNA_n	RNA_ci_lower	RNA_ci_upper	RNA_p_value	RNA_q_value	RNA_status	RNA_reason	association_effect	association_n	association_ci_lower	association_ci_upper	association_p_value	association_q_value	association_status	association_reason	association_available_effect	association_available_n	association_available_ci_lower	association_available_ci_upper	association_available_p_value	association_available_q_value	association_available_status	association_available_reason	association_treatment_effect	association_treatment_n	association_treatment_ci_lower	association_treatment_ci_upper	association_treatment_p_value	association_treatment_q_value	association_treatment_status	association_treatment_reason	sc_top_celltype	sc_runner_celltype	sc_top_gap	sc_bootstrap_top_frequency	sc_bootstrap_valid	sc_n_eligible_celltypes	sc_status	sc_reason	sc_study	patient_association_evidence	interpretation_boundary
ccRCC	ccRCC3	02_MAPPING	20260925T151000Z_ccrcc3_v1	ccrcc_mapping_v1	ccRCC3_FEATURE:018036c623a9c65d	ccRCC3_FEATURE:018036c623a9c65d|PANK1	KEGG:C00864	pantothenate	PANK1	ENSG00000152782	Q8TE04	https://enzyme.expasy.org/EC/2.7.1.33 ; https://www.uniprot.org/uniprotkb/Q8TE04/entry	DONE	exact_name_and_chemical_key_reused_biochemistry_not_exhaustive	-1.6963759645323662	17	-1.9369916516020549	-1.451335011608225	4e-05	0.0002138345864661	DONE	NA	-1.6963759645323662	17	-1.94396386919439	-1.446307509086761	2e-05	0.000350627493351	DONE	NA	-1.1058476287329333	17	-1.6000144156758929	-0.6116808417899737	0.0002201389608873	0.000433298137584	DONE	NA	-0.1838235294117647	17	-0.653919149492641	0.3910891089108911	0.4813	0.883505223880597	DONE	NA	-0.1838235294117647	17	-0.6595863470777678	0.3950221722365039	0.4799	0.8883918367346939	DONE	NA	-0.1838235294117647	17	-0.6386250290665655	0.3539603960396039	0.4824	0.8699214814814814	DONE	NA	Tumor	vSMC	0.0202376562889291	0.84375	992	8	DONE	descriptive_only	GSE159115	NOT_SUPPORTED_THIS_TEST	same_cohort_postselection;RNA_not_activity;rho_not_flux;treated_context;no_independent_validation
ccRCC	ccRCC3	02_MAPPING	20260925T151000Z_ccrcc3_v1	ccrcc_mapping_v1	ccRCC3_FEATURE:018036c623a9c65d	ccRCC3_FEATURE:018036c623a9c65d|PANK2	KEGG:C00864	pantothenate	PANK2	ENSG00000125779	Q9BZ23	https://enzyme.expasy.org/EC/2.7.1.33 ; https://www.uniprot.org/uniprotkb/Q9BZ23/entry	DONE	exact_name_and_chemical_key_reused_biochemistry_not_exhaustive	-1.6963759645323662	17	-1.9369916516020549	-1.451335011608225	4e-05	0.0002138345864661	DONE	NA	-1.6963759645323662	17	-1.94396386919439	-1.446307509086761	2e-05	0.000350627493351	DONE	NA	0.0826627354946494	17	-0.0304898378054997	0.1958153087947986	0.1410096775434926	0.161153917192563	DONE	NA	0.0416666666666666	17	-0.5215809722877962	0.5995683011959289	0.8748	0.952368472906404	DONE	NA	0.0416666666666666	17	-0.5094444186262663	0.6049934193816529	0.8774	0.9631187817258884	DONE	NA	0.0416666666666666	17	-0.5137326427360884	0.5995302538184025	0.8716	0.95225960591133	DONE	NA	Tcell_CD8	Endo_PLVAP	0.0247871862310808	0.4526209677419355	992	8	DONE	descriptive_only	GSE159115	NOT_SUPPORTED_THIS_TEST	same_cohort_postselection;RNA_not_activity;rho_not_flux;treated_context;no_independent_validation
ccRCC	ccRCC3	02_MAPPING	20260925T151000Z_ccrcc3_v1	ccrcc_mapping_v1	ccRCC3_FEATURE:018036c623a9c65d	ccRCC3_FEATURE:018036c623a9c65d|PANK3	KEGG:C00864	pantothenate	PANK3	ENSG00000120137	Q9H999	https://enzyme.expasy.org/EC/2.7.1.33 ; https://www.uniprot.org/uniprotkb/Q9H999/entry	DONE	exact_name_and_chemical_key_reused_biochemistry_not_exhaustive	-1.6963759645323662	17	-1.9369916516020549	-1.451335011608225	4e-05	0.0002138345864661	DONE	NA	-1.6963759645323662	17	-1.94396386919439	-1.446307509086761	2e-05	0.000350627493351	DONE	NA	-0.0297103390211146	17	-0.1186599745193956	0.0592392964771663	0.4890857272074402	0.506678738977492	DONE	NA	0.4509803921568627	17	-0.1094781314513418	0.8294190358467244	0.0727	0.6032481481481482	DONE	NA	0.4509803921568627	17	-0.1012471280213215	0.8280730513047909	0.0711	0.52488	DONE	NA	0.4509803921568627	17	-0.014891129032258	0.8071871555834302	0.0801	0.6577999999999999	DONE	NA	Peri	Endo_PLVAP	0.0342765728237819	0.2530241935483871	992	8	DONE	descriptive_only	GSE159115	NOT_SUPPORTED_THIS_TEST	same_cohort_postselection;RNA_not_activity;rho_not_flux;treated_context;no_independent_validation
ccRCC	ccRCC3	02_MAPPING	20260925T151000Z_ccrcc3_v1	ccrcc_mapping_v1	ccRCC3_FEATURE:01f98a6d8796d4cb	ccRCC3_FEATURE:01f98a6d8796d4cb|PRODH2	KEGG:C01157	trans-4-hydroxyproline	PRODH2	ENSG00000250799	Q9UF12	https://enzyme.expasy.org/EC/1.5.5.3 ; https://www.uniprot.org/uniprotkb/Q9UF12/entry	DONE	exact_name_and_chemical_key_reused_biochemistry_not_exhaustive	0.8190617823544438	17	0.2739674497057453	1.4441226723407945	0.00756	0.0139252849740932	DONE	NA	0.8190617823544438	17	0.2771306284458147	1.4516825451763384	0.00789	0.0152164285714285	DONE	NA	-3.455972953131554	17	-4.692122555528445	-2.2198233507346634	2.128052167946759e-05	5.781877588383646e-05	DONE	NA	-0.2475490196078431	17	-0.7103807740324594	0.3001276231501596	0.3374	0.8313	DONE	NA	-0.2475490196078431	17	-0.7231920199501247	0.290405991309885	0.3394	0.8330727272727273	DONE	NA	-0.2475490196078431	17	-0.4833549134734239	0.1345947710893952	0.3834	0.8699214814814814	DONE	NA	Tumor	Endo_ACKR1	0.1054588269929252	1.0	992	8	DONE	descriptive_only	GSE159115	NOT_SUPPORTED_THIS_TEST	same_cohort_postselection;RNA_not_activity;rho_not_flux;treated_context;no_independent_validation
ccRCC	ccRCC3	02_MAPPING	20260925T151000Z_ccrcc3_v1	ccrcc_mapping_v1	ccRCC3_FEATURE:0a9b03b34a6b6ee3	ccRCC3_FEATURE:0a9b03b34a6b6ee3|ENPP2	HMDB:HMDB10384	1-stearoyl-GPC (18:0)	ENPP2	ENSG00000136960	Q13822	https://www.uniprot.org/uniprotkb/Q13822/entry	DONE	exact_name_and_chemical_key_reused_biochemistry_not_exhaustive	-1.4135255112784484	17	-1.753386934602716	-1.0677543557352718	4e-05	0.0002138345864661	DONE	NA	-1.4135255112784484	17	-1.7513356004310687	-1.0635006797930922	2e-05	0.000350627493351	DONE	NA	1.4098656095683424	17	0.7496494949005799	2.070081724236105	0.0003438289421366	0.0006514653640483	DONE	NA	0.2892156862745098	17	-0.2215269086357947	0.7399120219500319	0.2546	0.8211614457831325	DONE	NA	0.2892156862745098	17	-0.2315583920894907	0.7391845122215014	0.2584	0.7815272727272728	DONE	NA	0.2892156862745098	17	-0.1569870133072756	0.7357150195671871	0.2688	0.8366873239436619	DONE	NA	Peri	Endo_PLVAP	0.0073541336571432	0.0524193548387096	992	8	DONE	descriptive_only	GSE159115	NOT_SUPPORTED_THIS_TEST	same_cohort_postselection;RNA_not_activity;rho_not_flux;treated_context;no_independent_validation
ccRCC	ccRCC3	02_MAPPING	20260925T151000Z_ccrcc3_v1	ccrcc_mapping_v1	ccRCC3_FEATURE:0a9b03b34a6b6ee3	ccRCC3_FEATURE:0a9b03b34a6b6ee3|LPCAT1	HMDB:HMDB10384	1-stearoyl-GPC (18:0)	LPCAT1	ENSG00000153395	Q8NF37	https://www.uniprot.org/uniprotkb/Q8NF37/entry	DONE	exact_name_and_chemical_key_reused_biochemistry_not_exhaustive	-1.4135255112784484	17	-1.753386934602716	-1.0677543557352718	4e-05	0.0002138345864661	DONE	NA	-1.4135255112784484	17	-1.7513356004310687	-1.0635006797930922	2e-05	0.000350627493351	DONE	NA	1.9944650906865904	17	1.7100877711387297	2.278842410234452	8.72453198489973e-11	6.281663029127806e-09	DONE	NA	-0.1470588235294117	17	-0.6609015683706814	0.4431211997303137	0.5686	0.8838486301369863	DONE	NA	-0.1470588235294117	17	-0.6550341470951793	0.4218388515947968	0.5675	0.8883918367346939	DONE	NA	-0.1470588235294117	17	-0.6283749506792176	0.4177364018047375	0.5678	0.8899560283687944	DONE	NA	Tumor	Macro	0.2553999043963554	1.0	992	8	DONE	descriptive_only	GSE159115	NOT_SUPPORTED_THIS_TEST	same_cohort_postselection;RNA_not_activity;rho_not_flux;treated_context;no_independent_validation
ccRCC	ccRCC3	02_MAPPING	20260925T151000Z_ccrcc3_v1	ccrcc_mapping_v1	ccRCC3_FEATURE:0a9b03b34a6b6ee3	ccRCC3_FEATURE:0a9b03b34a6b6ee3|LPCAT2	HMDB:HMDB10384	1-stearoyl-GPC (18:0)	LPCAT2	ENSG00000087253	Q7L5N7	https://www.uniprot.org/uniprotkb/Q7L5N7/entry	DONE	exact_name_and_chemical_key_reused_biochemistry_not_exhaustive	-1.4135255112784484	17	-1.753386934602716	-1.0677543557352718	4e-05	0.0002138345864661	DONE	NA	-1.4135255112784484	17	-1.7513356004310687	-1.0635006797930922	2e-05	0.000350627493351	DONE	NA	-0.2744493804289106	17	-0.4734470378719098	-0.0754517229859114	0.0099398266546987	0.0135031607384586	DONE	NA	-0.5098039215686274	17	-0.7366622795877685	-0.0231413193072774	0.0389	0.5056999999999999	DONE	NA	-0.5098039215686274	17	-0.7369808530199464	-0.0499876237623762	0.0383	0.4596	DONE	NA	-0.5098039215686274	17	-0.7079375917043759	-0.0644143324560108	0.0313	0.4940928571428571	DONE	NA	Macro	Endo_PLVAP	0.1161347888188145	0.9838709677419356	992	8	DONE	descriptive_only	GSE159115	NOMINAL_EXPLORATORY	same_cohort_postselection;RNA_not_activity;rho_not_flux;treated_context;no_independent_validation
ccRCC	ccRCC3	02_MAPPING	20260925T151000Z_ccrcc3_v1	ccrcc_mapping_v1	ccRCC3_FEATURE:0a9b03b34a6b6ee3	ccRCC3_FEATURE:0a9b03b34a6b6ee3|LPCAT3	HMDB:HMDB10384	1-stearoyl-GPC (18:0)	LPCAT3	ENSG00000111684	Q6P1A2	https://www.uniprot.org/uniprotkb/Q6P1A2/entry	DONE	exact_name_and_chemical_key_reused_biochemistry_not_exhaustive	-1.4135255112784484	17	-1.753386934602716	-1.0677543557352718	4e-05	0.0002138345864661	DONE	NA	-1.4135255112784484	17	-1.7513356004310687	-1.0635006797930922	2e-05	0.000350627493351	DONE	NA	0.212178566664884	17	-0.0670379675082948	0.4913951008380629	0.1267436957579417	0.1471862273318032	DONE	NA	0.0759803921568627	17	-0.4339705291992349	0.6109062844746869	0.7749	0.9375722513089004	DONE	NA	0.0759803921568627	17	-0.4207920792079208	0.5955334987593052	0.7792	0.9554103092783504	DONE	NA	0.0759803921568627	17	-0.3920971734270201	0.5787585587504112	0.7723	0.927599456521739	DONE	NA	Tumor	Endo_PLVAP	0.1607819507234597	1.0	992	8	DONE	descriptive_only	GSE159115	NOT_SUPPORTED_THIS_TEST	same_cohort_postselection;RNA_not_activity;rho_not_flux;treated_context;no_independent_validation
ccRCC	ccRCC3	02_MAPPING	20260925T151000Z_ccrcc3_v1	ccrcc_mapping_v1	ccRCC3_FEATURE:0a9b03b34a6b6ee3	ccRCC3_FEATURE:0a9b03b34a6b6ee3|LYPLA2	HMDB:HMDB10384	1-stearoyl-GPC (18:0)	LYPLA2	ENSG00000011009	O95372	https://www.uniprot.org/uniprotkb/O95372/entry	DONE	exact_name_and_chemical_key_reused_biochemistry_not_exhaustive	-1.4135255112784484	17	-1.753386934602716	-1.0677543557352718	4e-05	0.0002138345864661	DONE	NA	-1.4135255112784484	17	-1.7513356004310687	-1.0635006797930922	2e-05	0.000350627493351	DONE	NA	-0.5884534967505952	17	-0.8061698560304076	-0.3707371374707828	3.1018828851890456e-05	7.570697211308858e-05	DONE	NA	0.3014705882352941	17	-0.1923125	0.7092310229209037	0.2444	0.8211614457831325	DONE	NA	0.3014705882352941	17	-0.1795542896167264	0.7217477613550546	0.2414	0.7815272727272728	DONE	NA	0.3014705882352941	17	-0.1200321782178217	0.6898263027295285	0.2468	0.8366873239436619	DONE	NA	Endo_PLVAP	Peri	0.0008690771868558	0.4637096774193548	992	8	DONE	descriptive_only	GSE159115	NOT_SUPPORTED_THIS_TEST	same_cohort_postselection;RNA_not_activity;rho_not_flux;treated_context;no_independent_validation
ccRCC	ccRCC3	02_MAPPING	20260925T151000Z_ccrcc3_v1	ccrcc_mapping_v1	ccRCC3_FEATURE:10511d2fb2642333	ccRCC3_FEATURE:10511d2fb2642333|ACSL3	KEGG:C06429	docosahexaenoate (DHA; 22:6n3)	ACSL3	ENSG00000123983	O95573	https://www.uniprot.org/uniprotkb/O95573/entry	DONE	exact_name_and_chemical_key_reused_biochemistry_not_exhaustive	-2.535245261601145	17	-3.276082664765196	-1.777209637034455	3e-05	0.0002127254710477	DONE	NA	-2.535245261601145	17	-3.2561448635713792	-1.7426650091417832	6e-05	0.0003923688616071	DONE	NA	-0.4028945496240859	17	-0.534781805583937	-0.2710072936642349	7.650793973986568e-06	2.503896209668331e-05	DONE	NA	-0.4583333333333333	17	-0.7945608041953763	0.0361168247038648	0.0623	0.5746	DONE	NA	-0.4583333333333333	17	-0.7997651269092012	0.0635659183884475	0.0672	0.52488	DONE	NA	-0.4583333333333333	17	-0.7833125778331258	0.0049831782302136	0.0664	0.6577999999999999	DONE	NA	Peri	Macro	0.0474316041116511	0.2268145161290322	992	8	DONE	descriptive_only	GSE159115	NOT_SUPPORTED_THIS_TEST	same_cohort_postselection;RNA_not_activity;rho_not_flux;treated_context;no_independent_validation
