metabolite_key	metabolite_name	gene	association_effect_ccRCC3	association_p_value_ccRCC3	association_q_value_ccRCC3	association_effect_ccRCC4	association_p_value_ccRCC4	association_q_value_ccRCC4	same_rho_direction	both_nominal_p005	independent_replication_claim
KEGG:C00864	pantothenate	PANK1	-0.1838235294117647	0.4813	0.883505223880597	-0.4895104895104895	0.1085	0.4566774193548387	True	False	False
KEGG:C00864	pantothenate	PANK2	0.0416666666666666	0.8748	0.952368472906404	0.2797202797202797	0.3779	0.8627068965517242	True	False	False
KEGG:C00864	pantothenate	PANK3	0.4509803921568627	0.0727	0.6032481481481482	0.2797202797202797	0.3787	0.8627068965517242	True	False	False
KEGG:C06429	docosahexaenoate (DHA; 22:6n3)	ACSL3	-0.4583333333333333	0.0623	0.5746	0.2797202797202797	0.3849	0.8627068965517242	False	False	False
KEGG:C06429	docosahexaenoate (DHA; 22:6n3)	ACSL4	-0.0784313725490196	0.7579	0.9375722513089004	0.2797202797202797	0.3821	0.8627068965517242	False	False	False
KEGG:C06429	docosahexaenoate (DHA; 22:6n3)	ALOX15	-0.3235294117647059	0.2121	0.8123655172413793	0.5594405594405595	0.0616	0.3542499999999999	False	False	False
KEGG:C06429	docosahexaenoate (DHA; 22:6n3)	CYP4F2	0.1348039215686274	0.5936	0.8924190476190477	0.1398601398601398	0.6737	0.914970588235294	True	False	False
KEGG:C02918	1-methylnicotinamide	AOX1	-0.0122549019607843	0.9682	0.990612037037037	0.5454545454545454	0.0654	0.3542499999999999	False	False	False
KEGG:C02918	1-methylnicotinamide	NNMT	0.3823529411764705	0.1306	0.6543521739130433	0.6433566433566433	0.0275	0.2478666666666666	True	False	False
KEGG:C02918	1-methylnicotinamide	SLC22A2	-0.4926470588235294	0.0489	0.5687842105263158	0.2237762237762237	0.492	0.884	False	False	False
KEGG:C12270	N-acetyl-aspartyl-glutamate (NAAG)	FOLH1	-0.2688090545156861	0.2952	0.8211614457831325	0.4685314685314685	0.1253	0.4855882352941176	False	False	False
KEGG:C04102	1-palmitoyl-GPC (16:0)	ENPP2	0.0465686274509803	0.861	0.951405	-0.2867132867132867	0.3672	0.8627068965517242	False	False	False
KEGG:C04102	1-palmitoyl-GPC (16:0)	LPCAT1	-0.3602941176470588	0.1548	0.6708	-0.1468531468531468	0.6449	0.914970588235294	True	False	False
KEGG:C04102	1-palmitoyl-GPC (16:0)	LPCAT2	-0.1740196078431372	0.5046	0.883505223880597	-0.2867132867132867	0.368	0.8627068965517242	True	False	False
KEGG:C04102	1-palmitoyl-GPC (16:0)	LPCAT3	-0.0686274509803921	0.7951	0.9375722513089004	-0.5594405594405595	0.0637	0.3542499999999999	True	False	False
KEGG:C04102	1-palmitoyl-GPC (16:0)	LPCAT4	-0.3872549019607843	0.1206	0.6543521739130433	0.2797202797202797	0.3802	0.8627068965517242	False	False	False
KEGG:C04102	1-palmitoyl-GPC (16:0)	LYPLA1	0.1446078431372549	0.5809	0.8838486301369863	-0.2307692307692307	0.4762	0.884	False	False	False
KEGG:C04102	1-palmitoyl-GPC (16:0)	LYPLA2	0.213235294117647	0.4077	0.8692666666666666	-0.0769230769230769	0.8197	0.9958971962616824	False	False	False
KEGG:C00624	N-acetylglutamate	NAGS	-0.2107843137254902	0.413	0.8692666666666666	-0.0349650349650349	0.9201	1.0	True	False	False
KEGG:C00275	mannose 6-phosphate	MPI	0.0465686274509803	0.8573	0.951405	0.3006993006993007	0.3357	0.8627068965517242	True	False	False
KEGG:C00275	mannose 6-phosphate	PMM1	0.2867647058823529	0.2598	0.8211614457831325	0.2517482517482518	0.4259	0.884	True	False	False
KEGG:C00275	mannose 6-phosphate	PMM2	-0.1004901960784313	0.7041	0.9225134502923976	-0.4265734265734265	0.1724	0.5896666666666667	True	False	False
KEGG:C00219	arachidonate (20:4n6)	ABHD12	-0.0196078431372549	0.9392	0.9883961904761904	0.4545454545454545	0.1381	0.5129428571428571	False	False	False
KEGG:C00219	arachidonate (20:4n6)	ABHD6	0.392156862745098	0.1166	0.6543521739130433	0.0139860139860139	0.9747	1.0	True	False	False
KEGG:C00219	arachidonate (20:4n6)	ACSL1	0.3700980392156863	0.1418	0.6551729166666667	0.1958041958041958	0.5355	0.884	True	False	False
KEGG:C00219	arachidonate (20:4n6)	ACSL3	-0.1691176470588235	0.5237	0.883505223880597	0.3216783216783216	0.3032	0.8627068965517242	False	False	False
KEGG:C00219	arachidonate (20:4n6)	ACSL4	-0.0049019607843137	0.9861	0.9908	0.1888111888111888	0.5437	0.884	False	False	False
KEGG:C00219	arachidonate (20:4n6)	ACSL5	0.0245098039215686	0.9255	0.9837143540669856	-0.3706293706293706	0.2353	0.7460731707317074	False	False	False
KEGG:C00219	arachidonate (20:4n6)	ACSL6	-0.4019607843137255	0.1126	0.6543521739130433	0.0139860139860139	0.9748	1.0	False	False	False
KEGG:C00219	arachidonate (20:4n6)	ALOX15	-0.0906862745098039	0.7343	0.9326454022988504	-0.2027972027972027	0.5368	0.884	True	False	False
KEGG:C00219	arachidonate (20:4n6)	ALOX5	-0.267156862745098	0.2997	0.8211614457831325	-0.2377622377622377	0.4553	0.884	True	False	False
KEGG:C00219	arachidonate (20:4n6)	CYP4F2	0.1544117647058823	0.555	0.8838486301369863	0.0349650349650349	0.9218	1.0	True	False	False
KEGG:C00219	arachidonate (20:4n6)	MGLL	0.1299019607843137	0.6113	0.893571974522293	-0.1468531468531468	0.6559	0.914970588235294	False	False	False
KEGG:C00219	arachidonate (20:4n6)	PTGS1	-0.409313725490196	0.1055	0.6543521739130433	0.6083916083916084	0.0419	0.3026111111111111	False	False	False
KEGG:C00219	arachidonate (20:4n6)	PTGS2	-0.5931372549019608	0.0153	0.4352	0.0559440559440559	0.8711	1.0	False	False	False
KEGG:C01762	xanthosine	NT5C2	0.5465686274509803	0.0256	0.4352	-0.7412587412587412	0.0078	0.1448571428571428	False	True	False
KEGG:C00148	proline	PEPD	-0.0245098039215686	0.9303	0.9837143540669856	-0.0629370629370629	0.8524	1.0	True	False	False
KEGG:C00148	proline	PRODH	-0.2279411764705882	0.3767	0.8692666666666666	0.0209790209790209	0.9577	1.0	False	False	False
KEGG:C00148	proline	PYCR1	0.6176470588235294	0.0078	0.4352	0.4965034965034965	0.1053	0.4566774193548387	True	False	False
KEGG:C00148	proline	PYCR2	-0.409313725490196	0.1043	0.6543521739130433	0.1608391608391608	0.6221	0.9069666666666668	False	False	False
KEGG:C00148	proline	PYCR3	-0.4485294117647059	0.0708	0.6032481481481482	-0.2587412587412587	0.4267	0.884	True	False	False
KEGG:C00212	adenosine	ADA	-0.2181372549019608	0.3971	0.8692666666666666	-0.5664335664335665	0.058	0.3542499999999999	True	False	False
KEGG:C00212	adenosine	ADA2	0.3039215686274509	0.236	0.8211614457831325	-0.0349650349650349	0.9211	1.0	False	False	False
KEGG:C00212	adenosine	AHCY	-0.4681372549019608	0.0567	0.5746	0.0979020979020979	0.7632	0.9433584905660376	False	False	False
KEGG:C00212	adenosine	IMPA1	0.1691176470588235	0.5156	0.883505223880597	0.3286713286713286	0.2963	0.8627068965517242	True	False	False
KEGG:C00212	adenosine	IMPA2	0.0857843137254902	0.7499	0.9375722513089004	0.6153846153846154	0.0361	0.2905882352941176	True	False	False
KEGG:C00212	adenosine	NT5C1A	0.0049019607843137	0.9908	0.9908	-0.6713286713286714	0.02	0.2363636363636363	False	False	False
KEGG:C00212	adenosine	NT5C2	0.5612745098039216	0.0211	0.4352	-0.2167832167832167	0.5066	0.884	False	False	False
KEGG:C00212	adenosine	SLC29A2	0.1985294117647058	0.4476	0.8832107142857143	-0.5174825174825175	0.0951	0.4566774193548387	False	False	False
KEGG:C00137	myo-inositol	IMPA1	0.3382352941176471	0.1807	0.7672452830188679	-0.4125874125874126	0.1849	0.600925	False	False	False
KEGG:C00137	myo-inositol	IMPA2	-0.6397058823529411	0.0082	0.4352	-0.7622377622377622	0.006	0.1448571428571428	True	True	False
KEGG:C00208	maltose	MGAM	0.159313725490196	0.532	0.883505223880597	0.1468531468531468	0.6562	0.914970588235294	True	False	False
KEGG:C00099	beta-alanine	UPB1	0.2769607843137255	0.2807	0.8211614457831325	0.5594405594405595	0.0589	0.3542499999999999	True	False	False
KEGG:C00328	kynurenine	AADAT	-0.2083333333333333	0.4106	0.8692666666666666	-0.2167832167832167	0.504	0.884	True	False	False
KEGG:C00328	kynurenine	AFMID	-0.2009803921568627	0.438	0.8799818181818182	0.0	1.0	1.0	False	False	False
KEGG:C00328	kynurenine	KMO	-0.5416666666666666	0.0247	0.4352	0.2167832167832167	0.4992	0.884	False	False	False
KEGG:C00328	kynurenine	KYNU	-0.5171568627450981	0.0377	0.5056999999999999	-0.0209790209790209	0.9577	1.0	True	False	False
KEGG:C04555	dehydroisoandrosterone sulfate (DHEA-S)	STS	0.0637254901960784	0.8041	0.9375722513089004	-0.2307692307692307	0.4673	0.884	False	False	False
KEGG:C04555	dehydroisoandrosterone sulfate (DHEA-S)	SULT2A1	0.2107843137254902	0.4101	0.8692666666666666	-0.1608391608391608	0.6144	0.9069666666666668	False	False	False
KEGG:C00031	glucose	GCK	0.0980392156862745	0.7109	0.9225134502923976	0.1258741258741259	0.7009	0.914970588235294	True	False	False
KEGG:C00031	glucose	HK1	-0.1740196078431372	0.5043	0.883505223880597	0.3006993006993007	0.3425	0.8627068965517242	False	False	False
KEGG:C00031	glucose	HK2	-0.0147058823529411	0.9599	0.990612037037037	-0.0629370629370629	0.8508	1.0	True	False	False
KEGG:C00031	glucose	HK3	0.0098039215686274	0.9746	0.9908	0.1678321678321678	0.6053	0.9069666666666668	True	False	False
KEGG:C00031	glucose	IMPA1	-0.2230392156862745	0.3914	0.8692666666666666	-0.2097902097902098	0.5175	0.884	True	False	False
KEGG:C00031	glucose	IMPA2	0.0490196078431372	0.8512	0.9500767676767676	-0.1958041958041958	0.5462	0.884	False	False	False
KEGG:C00031	glucose	MGAM	0.1004901960784313	0.6975	0.9225134502923976	-0.1188811188811188	0.7179	0.914970588235294	False	False	False
KEGG:C00031	glucose	SLC2A1	0.1151960784313725	0.6574	0.91190125	-0.0629370629370629	0.8556	1.0	False	False	False
KEGG:C00031	glucose	SLC2A3	0.1495098039215686	0.5601	0.8838486301369863	0.1888111888111888	0.5576	0.884	True	False	False
KEGG:C04006	inositol 1-phosphate (I1P)	IMPA1	0.4975490196078431	0.0462	0.5672333333333333	0.2867132867132867	0.3681	0.8627068965517242	True	False	False
KEGG:C04006	inositol 1-phosphate (I1P)	IMPA2	-0.0563725490196078	0.833	0.9489329896907216	0.2867132867132867	0.3654	0.8627068965517242	False	False	False
KEGG:C00257	gluconate	IDNK	0.0122549019607843	0.9667	0.990612037037037	0.2237762237762237	0.4806	0.884	True	False	False
KEGG:C10172	stachydrine	SLC22A4	-0.2696078431372549	0.2827	0.8211614457831325	-0.0559440559440559	0.8657	1.0	True	False	False
KEGG:C02067	pseudouridine	PUDP	-0.0441176470588235	0.8656	0.9517293532338308	-0.2517482517482518	0.4288	0.884	True	False	False
KEGG:C00242	guanine	GDA	-0.5490196078431373	0.0249	0.4352	-0.7132867132867133	0.0113	0.1733333333333333	True	True	False
KEGG:C00242	guanine	HPRT1	0.3872549019607843	0.1305	0.6543521739130433	0.7272727272727273	0.012	0.1733333333333333	True	False	False
KEGG:C00242	guanine	PNP	-0.1666666666666666	0.5235	0.883505223880597	-0.0209790209790209	0.9567	1.0	True	False	False
KEGG:C00242	guanine	SLC29A2	-0.0245098039215686	0.9296	0.9837143540669856	0.6573426573426573	0.0232	0.242	False	False	False
HMDB:HMDB00736	isobutyrylcarnitine	CRAT	-0.3995098039215686	0.1165	0.6543521739130433	0.0533892354235019	0.8733	1.0	False	False	False
KEGG:C00670	glycerophosphorylcholine (GPC)	GDPD5	-0.321078431372549	0.2037	0.8102017857142858	-0.6153846153846154	0.038	0.2905882352941176	True	False	False
KEGG:C00670	glycerophosphorylcholine (GPC)	GPCPD1	-0.2990196078431372	0.2472	0.8211614457831325	-0.3496503496503496	0.2599	0.8044523809523809	True	False	False
KEGG:C00670	glycerophosphorylcholine (GPC)	LYPLA1	0.1985294117647058	0.4443	0.8832107142857143	0.2587412587412587	0.4192	0.884	True	False	False
KEGG:C00670	glycerophosphorylcholine (GPC)	LYPLA2	0.2916666666666667	0.2595	0.8211614457831325	0.1538461538461538	0.6253	0.9069666666666668	True	False	False
KEGG:C06424	myristate (14:0)	ABHD12	0.0808823529411764	0.7576	0.9375722513089004	-0.1188811188811188	0.7177	0.914970588235294	False	False	False
KEGG:C06424	myristate (14:0)	ABHD6	0.25	0.3318	0.8313	0.1048951048951049	0.7514	0.93925	True	False	False
KEGG:C06424	myristate (14:0)	ACSL3	-0.0269607843137254	0.9253	0.9837143540669856	-0.0139860139860139	0.9774	1.0	True	False	False
KEGG:C06424	myristate (14:0)	ACSM1	-0.4485294117647059	0.0737	0.6032481481481482	-0.4335664335664335	0.1612	0.5821111111111111	True	False	False
KEGG:C06424	myristate (14:0)	MGLL	0.4656862745098039	0.0624	0.5746	-0.4895104895104895	0.1085	0.4566774193548387	False	False	False
KEGG:C01530	stearate (18:0)	ABHD12	0.125	0.6328	0.893571974522293	0.3216783216783216	0.3113	0.8627068965517242	True	False	False
KEGG:C01530	stearate (18:0)	ACSL3	-0.1642156862745098	0.5302	0.883505223880597	0.1818181818181818	0.5758	0.8911190476190476	False	False	False
KEGG:C01530	stearate (18:0)	LYPLA2	-0.0735294117647058	0.782	0.9375722513089004	0.1818181818181818	0.5687	0.8907349397590362	False	False	False
KEGG:C01530	stearate (18:0)	MGLL	0.5686274509803921	0.0215	0.4352	-0.7762237762237763	0.0044	0.1448571428571428	False	True	False
KEGG:C00319	sphingosine	SPHK1	-0.5269607843137255	0.0323	0.5056999999999999	0.1118881118881118	0.7304	0.921864077669903	False	False	False
KEGG:C00319	sphingosine	SPHK2	-0.1446078431372549	0.5712	0.8838486301369863	-0.0349650349650349	0.9193	1.0	True	False	False
KEGG:C00791	creatinine	SLC22A2	-0.4019607843137255	0.1109	0.6543521739130433	-0.7552447552447552	0.007	0.1448571428571428	True	False	False
KEGG:C00791	creatinine	SLC47A1	-0.6348039215686274	0.0061	0.4352	-0.7482517482517482	0.0056	0.1448571428571428	True	True	False
KEGG:C00791	creatinine	SLC47A2	-0.1617647058823529	0.5357	0.883505223880597	-0.4125874125874126	0.1769	0.5896666666666667	True	False	False
KEGG:C00255	riboflavin (Vitamin B2)	RFK	-0.0514705882352941	0.8479	0.9500767676767676	-0.1258741258741259	0.699	0.914970588235294	True	False	False
KEGG:C06428	eicosapentaenoate (EPA; 20:5n3)	ACSL3	-0.1446078431372549	0.5839	0.8838486301369863	-0.0069930069930069	0.9907	1.0	True	False	False
KEGG:C06428	eicosapentaenoate (EPA; 20:5n3)	ACSL4	-0.1225490196078431	0.6305	0.893571974522293	-0.2097902097902098	0.5155	0.884	True	False	False
KEGG:C06428	eicosapentaenoate (EPA; 20:5n3)	CYP4F2	-0.0514705882352941	0.8478	0.9500767676767676	0.0279720279720279	0.9361	1.0	False	False	False
KEGG:C00062	arginine	ARG1	0.1715686274509804	0.5067	0.883505223880597	0.2447552447552447	0.4487	0.884	True	False	False
KEGG:C00062	arginine	ARG2	-0.0661764705882353	0.7971	0.9375722513089004	-0.1188811188811188	0.7136	0.914970588235294	True	False	False
KEGG:C00095	fructose	KHK	-0.0514705882352941	0.8435	0.9500767676767676	-0.5454545454545454	0.0742	0.38584	True	False	False
KEGG:C00095	fructose	SORD	0.1470588235294117	0.5663	0.8838486301369863	-0.5174825174825175	0.0858	0.429	False	False	False
KEGG:C00147	adenine	APRT	-0.2034313725490196	0.4336	0.8791339449541283	0.5664335664335665	0.058	0.3542499999999999	False	False	False
KEGG:C00147	adenine	SLC29A2	0.3700980392156863	0.1423	0.6551729166666667	-0.2377622377622377	0.4558	0.884	False	False	False
KEGG:C00064	glutamine	ASNS	0.0294117647058823	0.9137	0.9837143540669856	-0.1188811188811188	0.7167	0.914970588235294	False	False	False
KEGG:C00064	glutamine	GLS	-0.1151960784313725	0.6602	0.91190125	-0.6363636363636364	0.0286	0.2478666666666666	True	False	False
KEGG:C00064	glutamine	GLS2	0.0294117647058823	0.9131	0.9837143540669856	-0.6783216783216783	0.0164	0.2132	False	False	False
KEGG:C00064	glutamine	GLUL	0.1495098039215686	0.5724	0.8838486301369863	0.4755244755244755	0.1188	0.4826249999999999	True	False	False
