gene	rule
AADAT	first16_current_genes_alphabetical_not_by_significance
AASS	first16_current_genes_alphabetical_not_by_significance
ABHD12	first16_current_genes_alphabetical_not_by_significance
ABHD6	first16_current_genes_alphabetical_not_by_significance
ACSL1	first16_current_genes_alphabetical_not_by_significance
ACSL3	first16_current_genes_alphabetical_not_by_significance
ACSL4	first16_current_genes_alphabetical_not_by_significance
ACSL5	first16_current_genes_alphabetical_not_by_significance
ACSL6	first16_current_genes_alphabetical_not_by_significance
ACSM1	first16_current_genes_alphabetical_not_by_significance
ADA	first16_current_genes_alphabetical_not_by_significance
ADA2	first16_current_genes_alphabetical_not_by_significance
AFMID	first16_current_genes_alphabetical_not_by_significance
AHCY	first16_current_genes_alphabetical_not_by_significance
ALOX15	first16_current_genes_alphabetical_not_by_significance
ALOX5	first16_current_genes_alphabetical_not_by_significance
