gene	stable_gene_id	top_celltype	runner_celltype	top_gap	bootstrap_top_frequency	bootstrap_valid	n_eligible_celltypes	status	reason	study
AADAT	HGNC:17929	Tumor	Peri	0.0024943004348899	0.9071428571428573	980	8	DONE	descriptive_only	GSE159115
AASS	ENSG00000008311	Endo_ACKR1	Tumor	0.0056579288975776	0.2278225806451612	992	8	DONE	descriptive_only	GSE159115
ABHD12	ENSG00000100997	Macro	Peri	0.2349052431774572	1.0	992	8	DONE	descriptive_only	GSE159115
ABHD6	ENSG00000163686	Peri	Tumor	0.0028501540275427	0.0715725806451613	992	8	DONE	descriptive_only	GSE159115
ACSL1	ENSG00000151726	Macro	Tumor	0.3669732598153439	1.0	992	8	DONE	descriptive_only	GSE159115
ACSL3	ENSG00000123983	Peri	Macro	0.0474316041116511	0.2268145161290322	992	8	DONE	descriptive_only	GSE159115
ACSL4	ENSG00000068366	Macro	Peri	0.0059286420595645	0.9133064516129032	992	8	DONE	descriptive_only	GSE159115
ACSL5	ENSG00000197142	Endo_ACKR1	Endo_PLVAP	0.0453023676285733	0.46875	992	8	DONE	descriptive_only	GSE159115
ACSL6	ENSG00000164398	Tcell	Tcell_CD8	0.0333412227481838	0.2360248447204969	966	8	DONE	descriptive_only	GSE159115
ACSM1	ENSG00000166743	Tumor	vSMC	0.0096022551697624	0.9403765690376568	956	8	DONE	descriptive_only	GSE159115
ADA	ENSG00000196839	Tcell_CD8	Endo_PLVAP	0.0951171329696708	0.5504032258064516	992	8	DONE	descriptive_only	GSE159115
ADA2	ENSG00000093072	Macro	Endo_ACKR1	0.5513704929669717	1.0	992	8	DONE	descriptive_only	GSE159115
AFMID	ENSG00000183077	Tumor	Peri	0.0135043693269038	0.9586693548387096	992	8	DONE	descriptive_only	GSE159115
AHCY	ENSG00000101444	Tumor	Peri	0.0593006227106853	0.9929435483870968	992	8	DONE	descriptive_only	GSE159115
