cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	feature_id	n_pairs_total	n_both_available	mask_semantics	n_pairs_used	n_nonzero	n_up	n_down	n_equal	up_fraction	down_fraction	mean_delta	median_delta	rank_biserial	seed	zero_method	tie_method	continuity_correction	B	bootstrap_valid	ci_estimand	ci_method	p_method	family_n_planned	evidence_label	relation_id	stable_gene_id	n_tumor_linked	same_cohort_postselection	bootstrap_total	rho	statistics_reused	reused_from	current_pool	history_only	expression_scale	bootstrap_mean_lower	bootstrap_mean_upper	celltype	partition	n_cells_total	n_cells_eligible	annotation_origin	normalization	mean_detection_fraction	median_donor_mean	q25	q75
ccRCC	ccRCC3	04_ROBUSTNESS	20260925T151000Z_ccrcc3_v1	ccrcc3_discovery_v1	patient_region_mean_paired	NAME:13-methylmyristic acid	13-methylmyristic acid	NA	author_patient	17	17	mean_paired_difference_author_processed_scale	0.7111808060212693	0.3352185245156151	1.0280604451506228	0.005157470703125	0.0100513972602739	METAB_PAIRED_PRIMARY	711.0	DONE	NA	CAMP_ccRCC3_original_SUBJECT_ID	ccRCC3_FEATURE:bcff1be32f777d48	17.0	9.0	patient retained for a feature only if ALL included regions in BOTH tissues have finite author data values; no changing regional mixture	17.0	16.0	14.0	2.0	1.0	0.8235294117647058	0.1176470588235294	0.7111808060212693	1.0160653432984823	0.7647058823529411	1371716718.0	wilcox	average_ranks	False	65536.0	4000.0	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	exhaustive_sign_flip	711.0	FDR_SUPPORTED	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ccRCC	ccRCC3	04_ROBUSTNESS	20260925T151000Z_ccrcc3_v1	ccrcc3_discovery_v1	patient_region_mean_paired	NAME:methyl palmitate (15 or 2)	methyl palmitate (15 or 2)	NA	author_patient	17	17	mean_paired_difference_author_processed_scale	1.0737498371249805	0.8088712186973283	1.325561944615283	2e-05	0.0002127254710477	METAB_PAIRED_PRIMARY	711.0	DONE	NA	CAMP_ccRCC3_original_SUBJECT_ID	ccRCC3_FEATURE:993cef8f173560af	17.0	14.0	patient retained for a feature only if ALL included regions in BOTH tissues have finite author data values; no changing regional mixture	17.0	17.0	17.0	0.0	0.0	1.0	0.0	1.0737498371249805	1.1534384999593534	1.0	4012967607.0	wilcox	average_ranks	False	99999.0	4000.0	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	Monte_Carlo_sign_flip_plus1	711.0	FDR_SUPPORTED	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ccRCC	ccRCC3	04_ROBUSTNESS	20260925T151000Z_ccrcc3_v1	ccrcc3_discovery_v1	patient_region_mean_paired	HMDB:HMDB0037397	(16 or 17)-methylstearate (a19:0 or i19:0)	NA	author_patient	17	17	mean_paired_difference_author_processed_scale	1.235873069383349	1.0089476512398243	1.4659311326252291	1e-05	0.0002127254710477	METAB_PAIRED_PRIMARY	711.0	DONE	NA	CAMP_ccRCC3_original_SUBJECT_ID	ccRCC3_FEATURE:86b0c442b0150027	17.0	14.0	patient retained for a feature only if ALL included regions in BOTH tissues have finite author data values; no changing regional mixture	17.0	17.0	17.0	0.0	0.0	1.0	0.0	1.235873069383349	1.211960640342081	1.0	579342260.0	wilcox	average_ranks	False	99999.0	4000.0	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	Monte_Carlo_sign_flip_plus1	711.0	FDR_SUPPORTED	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ccRCC	ccRCC3	04_ROBUSTNESS	20260925T151000Z_ccrcc3_v1	ccrcc3_discovery_v1	patient_region_mean_paired	NAME:(3'-5')-adenylyladenosine	(3'-5')-adenylyladenosine	NA	author_patient	17	17	mean_paired_difference_author_processed_scale	-2.727816955753544	-3.5232652314698427	-1.9352046916363423	4e-05	0.0002138345864661	METAB_PAIRED_PRIMARY	711.0	DONE	NA	CAMP_ccRCC3_original_SUBJECT_ID	ccRCC3_FEATURE:97b9488904dd4c74	17.0	2.0	patient retained for a feature only if ALL included regions in BOTH tissues have finite author data values; no changing regional mixture	17.0	17.0	1.0	16.0	0.0	0.0588235294117647	0.9411764705882352	-2.727816955753544	-2.350898863924449	-0.9869281045751634	159650500.0	wilcox	average_ranks	False	99999.0	4000.0	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	Monte_Carlo_sign_flip_plus1	711.0	FDR_SUPPORTED	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ccRCC	ccRCC3	04_ROBUSTNESS	20260925T151000Z_ccrcc3_v1	ccrcc3_discovery_v1	patient_region_mean_paired	NAME:(3'-5')-cytidylyluridine	(3'-5')-cytidylyluridine	NA	author_patient	17	17	mean_paired_difference_author_processed_scale	-2.8243873860461832	-3.363082120094204	-2.247904946479971	2e-05	0.0002127254710477	METAB_PAIRED_PRIMARY	711.0	DONE	NA	CAMP_ccRCC3_original_SUBJECT_ID	ccRCC3_FEATURE:3cd1e4e36502dee2	17.0	2.0	patient retained for a feature only if ALL included regions in BOTH tissues have finite author data values; no changing regional mixture	17.0	17.0	1.0	16.0	0.0	0.0588235294117647	0.9411764705882352	-2.8243873860461832	-2.782424539694801	-0.9869281045751634	1734249310.0	wilcox	average_ranks	False	99999.0	4000.0	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	Monte_Carlo_sign_flip_plus1	711.0	FDR_SUPPORTED	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ccRCC	ccRCC3	04_ROBUSTNESS	20260925T151000Z_ccrcc3_v1	ccrcc3_discovery_v1	patient_region_mean_paired	HMDB:HMDB13127	hydroxybutyrylcarnitine	NA	author_patient	17	17	mean_paired_difference_author_processed_scale	0.5577158814035348	-0.025762615917594	1.094549290151036	0.03503	0.0543806331877729	METAB_PAIRED_PRIMARY	711.0	DONE	NA	CAMP_ccRCC3_original_SUBJECT_ID	ccRCC3_FEATURE:8702e9a95957305d	17.0	17.0	patient retained for a feature only if ALL included regions in BOTH tissues have finite author data values; no changing regional mixture	17.0	17.0	12.0	5.0	0.0	0.7058823529411765	0.2941176470588235	0.5577158814035348	0.689276902240465	0.5816993464052288	3428759865.0	wilcox	average_ranks	False	99999.0	4000.0	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	Monte_Carlo_sign_flip_plus1	711.0	NOMINAL_EXPLORATORY	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ccRCC	ccRCC3	04_ROBUSTNESS	20260925T151000Z_ccrcc3_v1	ccrcc3_discovery_v1	patient_region_mean_paired	HMDB:HMDB13127	(S)-3-hydroxybutyrylcarnitine	NA	author_patient	17	17	mean_paired_difference_author_processed_scale	1.1448053555868816	0.2763217003129721	1.9494595566044624	0.00295	0.0064338957055214	METAB_PAIRED_PRIMARY	711.0	DONE	NA	CAMP_ccRCC3_original_SUBJECT_ID	ccRCC3_FEATURE:001d252a77e76500	17.0	17.0	patient retained for a feature only if ALL included regions in BOTH tissues have finite author data values; no changing regional mixture	17.0	17.0	15.0	2.0	0.0	0.8823529411764706	0.1176470588235294	1.1448053555868816	1.0681596966505111	0.7777777777777778	365639698.0	wilcox	average_ranks	False	99999.0	4000.0	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	Monte_Carlo_sign_flip_plus1	711.0	FDR_SUPPORTED	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ccRCC	ccRCC3	04_ROBUSTNESS	20260925T151000Z_ccrcc3_v1	ccrcc3_discovery_v1	patient_region_mean_paired	NAME:1,2,3-benzenetriol sulfate (2)	1,2,3-benzenetriol sulfate (2)	NA	author_patient	17	17	mean_paired_difference_author_processed_scale	-0.6558540859062763	-1.0643901445710844	-0.2901103709131902	0.031494140625	0.0493223215514867	METAB_PAIRED_PRIMARY	711.0	DONE	NA	CAMP_ccRCC3_original_SUBJECT_ID	ccRCC3_FEATURE:1bcff7a3237eed88	17.0	5.0	patient retained for a feature only if ALL included regions in BOTH tissues have finite author data values; no changing regional mixture	17.0	13.0	5.0	8.0	4.0	0.2941176470588235	0.4705882352941176	-0.6558540859062763	0.0	-0.6703296703296703	3175230931.0	wilcox	average_ranks	False	8192.0	4000.0	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	exhaustive_sign_flip	711.0	FDR_SUPPORTED	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ccRCC	ccRCC3	04_ROBUSTNESS	20260925T151000Z_ccrcc3_v1	ccrcc3_discovery_v1	patient_region_mean_paired	HMDB:HMDB08138	1,2-dilinoleoyl-GPC (18:2/18:2)	NA	author_patient	17	17	mean_paired_difference_author_processed_scale	0.0582679958338719	-0.4348272185619833	0.442204938381625	0.32878	0.3915621105527638	METAB_PAIRED_PRIMARY	711.0	DONE	NA	CAMP_ccRCC3_original_SUBJECT_ID	ccRCC3_FEATURE:2d5ac1eeee4dc203	17.0	17.0	patient retained for a feature only if ALL included regions in BOTH tissues have finite author data values; no changing regional mixture	17.0	17.0	9.0	8.0	0.0	0.5294117647058824	0.4705882352941176	0.0582679958338719	0.2961026760185312	0.2810457516339869	173795284.0	wilcox	average_ranks	False	99999.0	4000.0	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	Monte_Carlo_sign_flip_plus1	711.0	NOT_SUPPORTED_THIS_TEST	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ccRCC	ccRCC3	04_ROBUSTNESS	20260925T151000Z_ccrcc3_v1	ccrcc3_discovery_v1	patient_region_mean_paired	KEGG:C00350	1,2-dilinoleoyl-GPE (18:2/18:2)	NA	author_patient	17	17	mean_paired_difference_author_processed_scale	-1.36121885873058	-1.834303018330592	-0.9537234570127412	4e-05	0.0002138345864661	METAB_PAIRED_PRIMARY	711.0	DONE	NA	CAMP_ccRCC3_original_SUBJECT_ID	ccRCC3_FEATURE:4c2fabcb61dd50e8	17.0	14.0	patient retained for a feature only if ALL included regions in BOTH tissues have finite author data values; no changing regional mixture	17.0	17.0	1.0	16.0	0.0	0.0588235294117647	0.9411764705882352	-1.36121885873058	-1.1184730937698006	-0.9869281045751634	2607063839.0	wilcox	average_ranks	False	99999.0	4000.0	mean_paired_tumor_minus_normal	4000_whole_case_percentile_bootstrap_pointwise	Monte_Carlo_sign_flip_plus1	711.0	FDR_SUPPORTED	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
