cancer	cohort	feature_id	metabolite_key	metabolite_name	gene	stable_gene_id	uniprot_accession	mapping_status	relationship_type	reaction	role	source_url	source_evidence	reason	reused_library	original_evidence_id
ccRCC	ccRCC3	ccRCC3_FEATURE:21705b2bca753164	KEGG:C12270	N-acetyl-aspartyl-glutamate (NAAG)	FOLH1	ENSG00000086205	Q04609	DIRECT_ACCEPTED	酶	NAAG或γ-Glu-Glu等底物的水解释放末端谷氨酸。	水解底物	https://enzyme.expasy.org/EC/3.4.17.21 ; https://www.uniprot.org/uniprotkb/Q04609/entry	Legacy curated tier A	人源直接反应候选；乳腺组织是否有相应活性尚未测定。 旧关系按既有审定复用，本轮未逐篇重审。	BRCA_mapping190_v2	M190E0162
ccRCC	ccRCC3	ccRCC3_FEATURE:68613d5bad3e3099	KEGG:C00212	adenosine	ADA	ENSG00000196839	P00813	DIRECT_ACCEPTED	酶	腺苷脱氨生成肌苷。	转化底物	https://enzyme.expasy.org/EC/3.5.4.4 ; https://www.uniprot.org/uniprotkb/P00813/entry	Legacy curated tier A	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。	BRCA_mapping190_v2	M190E0084
ccRCC	ccRCC3	ccRCC3_FEATURE:68613d5bad3e3099	KEGG:C00212	adenosine	ADA2	ENSG00000093072	Q9NZK5	DIRECT_ACCEPTED	酶	腺苷脱氨生成肌苷。	转化底物	https://enzyme.expasy.org/EC/3.5.4.4 ; https://www.uniprot.org/uniprotkb/Q9NZK5/entry	Legacy curated tier A	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。	BRCA_mapping190_v2	M190E0085
ccRCC	ccRCC3	ccRCC3_FEATURE:68613d5bad3e3099	KEGG:C00212	adenosine	AHCY	ENSG00000101444	P23526	DIRECT_ACCEPTED	酶	SAH水解反应连接同型半胱氨酸与腺苷。	可逆反应参与物	https://enzyme.expasy.org/EC/3.13.2.1 ; https://www.uniprot.org/uniprotkb/P23526/entry	Legacy curated tier A	现行EC 3.13.2.1；旧EC 3.3.1.1已转移。 旧关系按既有审定复用，本轮未逐篇重审。	BRCA_mapping190_v2	M190E0086
ccRCC	ccRCC3	ccRCC3_FEATURE:68613d5bad3e3099	KEGG:C00212	adenosine	SLC29A2	ENSG00000174669	Q14542	DIRECT_ACCEPTED	transporter	adenosine(in) = adenosine(out)	direct_transport	https://www.uniprot.org/uniprotkb/Q14542/entry	PubMed:10722669;12527552	Inherited CAMP identity; not reidentified by standards; not breast-specific function or proven flux.	BRCA_mapping190_v2	M190E0174
ccRCC	ccRCC3	ccRCC3_FEATURE:68613d5bad3e3099	KEGG:C00212	adenosine	ADA	ENSG00000196839	P00813	DIRECT_ACCEPTED	enzyme	adenosine + H2O + H(+) = inosine + NH4(+)	substrate_as_written	https://www.uniprot.org/uniprotkb/P00813/entry	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""16670267""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""23193172""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""26166670""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""8452534""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""9361033""}]"	Inherited CAMP chemical identity; not new stereochemical identification or flux evidence	PRAD_mapping_v1	RHEA:24408
ccRCC	ccRCC3	ccRCC3_FEATURE:68613d5bad3e3099	KEGG:C00212	adenosine	ADA2	ENSG00000093072	Q9NZK5	DIRECT_ACCEPTED	enzyme	adenosine + H2O + H(+) = inosine + NH4(+)	substrate_as_written	https://www.uniprot.org/uniprotkb/Q9NZK5/entry	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""15926889""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""20453107""}]"	Inherited CAMP chemical identity; not new stereochemical identification or flux evidence	PRAD_mapping_v1	RHEA:24408
ccRCC	ccRCC3	ccRCC3_FEATURE:68613d5bad3e3099	KEGG:C00212	adenosine	AHCY	ENSG00000101444	P23526	DIRECT_ACCEPTED	enzyme	S-adenosyl-L-homocysteine + H2O = L-homocysteine + adenosine	product_as_written	https://www.uniprot.org/uniprotkb/P23526/entry	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""10933798""}]"	Inherited CAMP chemical identity; not new stereochemical identification or flux evidence	PRAD_mapping_v1	RHEA:21708
ccRCC	ccRCC3	ccRCC3_FEATURE:68613d5bad3e3099	KEGG:C00212	adenosine	IMPA1	ENSG00000133731	P29218	DIRECT_ACCEPTED	enzyme	adenosine 2'-phosphate + H2O = adenosine + phosphate	product_as_written	https://www.uniprot.org/uniprotkb/P29218/entry	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""17068342""}]"	Inherited CAMP chemical identity; not new stereochemical identification or flux evidence	PRAD_mapping_v1	RHEA:37343
ccRCC	ccRCC3	ccRCC3_FEATURE:68613d5bad3e3099	KEGG:C00212	adenosine	IMPA2	ENSG00000141401	O14732	DIRECT_ACCEPTED	enzyme	adenosine 2'-phosphate + H2O = adenosine + phosphate	product_as_written	https://www.uniprot.org/uniprotkb/O14732/entry	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""17068342""}]"	Inherited CAMP chemical identity; not new stereochemical identification or flux evidence	PRAD_mapping_v1	RHEA:37343
ccRCC	ccRCC3	ccRCC3_FEATURE:68613d5bad3e3099	KEGG:C00212	adenosine	NT5C1A	HGNC:17819	Q9BXI3	DIRECT_ACCEPTED	enzyme	AMP + H2O = adenosine + phosphate	product_as_written	https://www.uniprot.org/uniprotkb/Q9BXI3/entry	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""11133996""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""34814800""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""7599155""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""8967393""}]"	Inherited CAMP chemical identity; not new stereochemical identification or flux evidence	PRAD_mapping_v1	RHEA:29375
ccRCC	ccRCC3	ccRCC3_FEATURE:68613d5bad3e3099	KEGG:C00212	adenosine	NT5C2	ENSG00000076685	P49902	DIRECT_ACCEPTED	enzyme	inosine + AMP = IMP + adenosine	product_as_written	https://www.uniprot.org/uniprotkb/P49902/entry	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""1659319""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""9371705""}]"	Inherited CAMP chemical identity; not new stereochemical identification or flux evidence	PRAD_mapping_v1	RHEA:69596
