cancer	stage_id	run_id	analysis_version	status	scope	result_path	code_path	git_branch	reason	next_action
PRAD	01_CAMP	20260922T142000Z_discovery_v1	prad_discovery_v1	DONE	137 specimens;43 author-case pairs;361 retained features;351 frozen effects preserved	results/PRAD/01_CAMP/20260922T142000Z_discovery_v1	code/prad_discovery_v1.py	analysis/prad-discovery-20260922	7 CAPT-discordant pairs require sensitivity;genotype verification unavailable	Paired discovery on all361 retained features
PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_discovery_v1	PARTIAL	All69 features retained;48 mapped;161 direct relations;101 HGNC genes;21 need identity/evidence review	results/PRAD/02_MAPPING/20260922T142000Z_discovery_v1	code/prad_mapping_v1.py	analysis/prad-discovery-20260922	Bounded sourced library;not exhaustive;unmapped features retained	Run all161 relations and101 genes
PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_discovery_v1	DONE	161 relations all evaluable;primary nominal18 FDR0;101 RNA genes all evaluable FDR21	results/PRAD/03_PATIENT/20260922T142000Z_discovery_v1	code/prad_patient_v1.py	analysis/prad-discovery-20260922	Same-cohort postselection;no relation survives BH;RNA is expression background	All101 genes enter cell expression source
PRAD	04_ROBUSTNESS	20260922T142000Z_discovery_v1	prad_discovery_v1	DONE	361 features;43 pairs;primary P00569 q0059;available344 q0059;CAPT36pairs q0052	results/PRAD/04_ROBUSTNESS/20260922T142000Z_discovery_v1	code/prad_discovery_v1.py	analysis/prad-discovery-20260922	Author case and available mask limitations retained	All69 feature mapping and candidate followup
PRAD	05_FUNCTION	20260922T142000Z_discovery_v1	prad_discovery_v1	NOT_RUN	Existing functional evidence only;not mandatory source-workflow stage	NA	NA	analysis/prad-discovery-20260922	No new mechanism extension planned	Preserve any applicable prior evidence
PRAD	06_EXTERNAL	20260922T142000Z_discovery_v1	prad_discovery_v1	PARTIAL	All101 genes;100 measured;91 primary source ranks;24 donors39755 cancer cells;one study	results/PRAD/06_EXTERNAL/20260922T142000Z_discovery_v1	code/prad_sc_source_v1.py	analysis/prad-discovery-20260922	Second study annotation pending;GPX1 missing;metadata GEO link conflict recorded	Integrate current source;seek second study annotations
PRAD	07_INTEGRATION	20260922T142000Z_discovery_v1	prad_discovery_v1	PARTIAL	All361 metabolites;all69 workpool;161 relations;101 genes;historical3genes preserved	results/PRAD/07_INTEGRATION/20260922T142000Z_discovery_v1	code/prad_integrate_v1.py	analysis/prad-discovery-20260922	21 mapping items and second sc study pending;no relation FDR support or functional validation	Review full evidence;resolve mapping identities and independent sources
PRAD	06_EXTERNAL	20260923T080000Z_nnmt_sc_v1	prad_nnmt_sc_v1	DONE	Targeted NNMT;24 cancer donors;Endothelial and CAFs highest;top stability0.637	results/PRAD/06_EXTERNAL/20260923T080000Z_nnmt_sc_v1	code/prad_nnmt_sc_v1.py	analysis/prad-discovery-20260922	One study;descriptive expression only;no tumor-adjacent differential test	Independent study and functional evidence pending
PRAD	03_PATIENT	20260925T091851Z_slc6a6_delta_v1	prad_slc6a6_paired_delta_v1	DONE	Targeted43 paired deltas;rho=-0.040320;P=0.8026;26joint decreases;tissue batch and CAPT sensitivities	results/PRAD/03_PATIENT/20260925T091851Z_slc6a6_delta_v1	code/prad_slc6a6_paired_delta_v1.py	analysis/prad-discovery-20260922	Posthoc single relationship;no independent validation;no paired-change association support	Independent evidence pending
PRAD	06_EXTERNAL	20260925T133653Z_slc6a6_sc_paired_v1	prad_slc6a6_sc_paired_v1	DONE	SLC6A6 paired donor cellclass comparison;6evaluable;none P<0.05;Myeloid11pairs P0.637695	results/PRAD/06_EXTERNAL/20260925T133653Z_slc6a6_sc_paired_v1	code/prad_slc6a6_sc_paired_v1.py	analysis/prad-discovery-20260922	Same-study exploratory;epithelial contrast5pairs below8pair threshold	Independent and within-class composition checks pending
PRAD	06_EXTERNAL	20260925T134150Z_slc6a6_myeloid_v1	prad_slc6a6_myeloid_cells_v1	DONE	Author7myeloid types and13subsets verified;2743cells;pooled comparison per user;none P<0.05	results/PRAD/06_EXTERNAL/20260925T134150Z_slc6a6_myeloid_v1	code/prad_slc6a6_myeloid_cells_v1.py	analysis/prad-discovery-20260922	Cell-level exploratory only;no donor adjustment;rare DC small counts	Independent patient-level validation pending
PRAD	06_EXTERNAL	20260925T141451Z_myeloid_infercnv_v1	prad_myeloid_infercnv_v1	DONE	22donors;2720myeloid;44runs;paired overall8of15higher;Macrophages10of14higher;cDC2 5of15higher	results/PRAD/06_EXTERNAL/20260925T141451Z_myeloid_infercnv_v1	code/prad_run_myeloid_infercnv_v1.R	analysis/prad-discovery-20260922	RNA-inferred only;HMM disabled;no malignancy labels;same-study reference sensitivity	Review macrophage signal with doublet and orthogonal evidence before interpretation
