human_gene	human_ensembl	mouse_ensembl	mouse_gene	homology_type	status	reason	source_release	n_mouse_homologies
AASS	ENSG00000008311	ENSMUSG00000029695	Aass	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
ACLY	ENSG00000131473	ENSMUSG00000020917	Acly	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
ADA	ENSG00000196839	ENSMUSG00000017697	Ada	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
ADA2	ENSG00000093072	NA	NA	NA	NEEDS_REVIEW	not_unique_one2one	110	0
AFMID	ENSG00000183077	ENSMUSG00000017718	Afmid	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
AHCY	ENSG00000101444	ENSMUSG00000027597;ENSMUSG00000048087	NA	NA	NEEDS_REVIEW	not_unique_one2one	110	2
AMDHD2	ENSG00000162066	ENSMUSG00000036820	Amdhd2	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
AOX1	ENSG00000138356	ENSMUSG00000063558	Aox1	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
ARG1	ENSG00000118520	ENSMUSG00000019987	Arg1	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
ARG2	ENSG00000081181	ENSMUSG00000021125	Arg2	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
ASNS	ENSG00000070669	ENSMUSG00000029752	Asns	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
ASS1	ENSG00000130707	ENSMUSG00000076441	Ass1	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
BBOX1	ENSG00000129151	ENSMUSG00000041660	Bbox1	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
BCAT1	ENSG00000060982	ENSMUSG00000030268	Bcat1	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
BCAT2	ENSG00000105552	ENSMUSG00000030826	Bcat2	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
CDO1	ENSG00000129596	ENSMUSG00000033022	Cdo1	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
CEPT1	ENSG00000134255	ENSMUSG00000040774	Cept1	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
CHKA	ENSG00000110721	ENSMUSG00000024843	Chka	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
CHKB	ENSG00000100288	ENSMUSG00000022617	Chkb	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
CHPT1	ENSG00000111666	ENSMUSG00000060002	Chpt1	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
CKB	ENSG00000166165	ENSMUSG00000001270	Ckb	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
CKM	ENSG00000104879	ENSMUSG00000030399	Ckm	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
CMAS	ENSG00000111726	ENSMUSG00000030282	Cmas	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
CMPK1	ENSG00000162368	ENSMUSG00000028719	Cmpk1	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
CMPK2	ENSG00000134326	ENSMUSG00000020638	Cmpk2	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
CPT1A	ENSG00000110090	ENSMUSG00000024900	Cpt1a	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
CPT1B	ENSG00000205560	ENSMUSG00000078937	Cpt1b	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
CPT2	ENSG00000157184	ENSMUSG00000028607	Cpt2	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
CRAT	ENSG00000095321	ENSMUSG00000026853	Crat	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
CROT	ENSG00000005469	ENSMUSG00000003623	Crot	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
CS	ENSG00000062485	ENSMUSG00000046934;ENSMUSG00000005683	NA	NA	NEEDS_REVIEW	not_unique_one2one	110	2
CTNS	ENSG00000040531	ENSMUSG00000005949	Ctns	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
DPYD	ENSG00000188641	ENSMUSG00000033308	Dpyd	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
DPYS	ENSG00000147647	ENSMUSG00000022304	Dpys	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
ETNK1	ENSG00000139163	ENSMUSG00000030275	Etnk1	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
ETNK2	ENSG00000143845	ENSMUSG00000070644	Etnk2	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
