mode	subtype	bin_id	n_pairs	mean_tumor_minus_adjacent_log2
primary	ALL_MYELOID	chr10:0	14	0.006339076178268553
primary	ALL_MYELOID	chr10:1	15	-0.0009239598948244503
primary	ALL_MYELOID	chr10:10	15	0.0014643489709434108
primary	ALL_MYELOID	chr10:11	15	0.0020384059081885917
primary	ALL_MYELOID	chr10:12	14	0.0013304245527046084
primary	ALL_MYELOID	chr10:13	4	0.006432638781717723
primary	ALL_MYELOID	chr10:2	14	-0.0007392252245588389
primary	ALL_MYELOID	chr10:3	9	0.0036086410409719685
primary	ALL_MYELOID	chr10:4	10	0.0030111586313239123
primary	ALL_MYELOID	chr10:5	1	0.008642773852244993
primary	ALL_MYELOID	chr10:6	15	-0.00021375192310559647
primary	ALL_MYELOID	chr10:7	15	0.0024370481958728226
primary	ALL_MYELOID	chr10:8	15	0.0032517785529990293
primary	ALL_MYELOID	chr10:9	13	0.0014084274903164522
primary	ALL_MYELOID	chr11:0	15	0.005378804049084822
primary	ALL_MYELOID	chr11:1	15	0.002192550831925127
primary	ALL_MYELOID	chr11:10	15	-0.0012941817636221153
primary	ALL_MYELOID	chr11:11	15	-0.005099072367139956
primary	ALL_MYELOID	chr11:12	14	-0.006341119422564878
primary	ALL_MYELOID	chr11:13	1	-0.010810825034328536
primary	ALL_MYELOID	chr11:3	14	-0.0009884818717915346
primary	ALL_MYELOID	chr11:4	14	-0.0018213537020867043
primary	ALL_MYELOID	chr11:5	13	-0.005616858471428721
primary	ALL_MYELOID	chr11:6	15	-0.00018506167077884315
primary	ALL_MYELOID	chr11:7	15	-0.0021929410483271816
primary	ALL_MYELOID	chr11:8	14	-0.0013792590684084305
primary	ALL_MYELOID	chr11:9	14	-0.0013366357543451416
primary	ALL_MYELOID	chr12:0	15	-0.001243095267533478
primary	ALL_MYELOID	chr12:1	15	-0.0028226402122833146
primary	ALL_MYELOID	chr12:10	15	0.0008175669063341211
primary	ALL_MYELOID	chr12:11	15	-0.0030031620318756768
primary	ALL_MYELOID	chr12:12	15	-0.0039309139173216495
primary	ALL_MYELOID	chr12:13	6	-0.0027406641834498446
primary	ALL_MYELOID	chr12:2	15	-0.0019357832983007072
primary	ALL_MYELOID	chr12:3	4	0.0027181087767320857
