cancer	gene	stable_gene_id	study_A	study_B	top_A	top_B	n_common_categories	same_top_all_categories	top_A_shared	top_B_shared	same_top_shared_categories	bootstrap_top_A	bootstrap_top_B	same_top_both_bootstrap_ge080	status	reason
PDAC	AADAT	UniProtKB:Q8N5Z0	GSE263733	GSE278688	Fibroblast/CAF	Fibroblast/CAF	6	True	Fibroblast/CAF	Fibroblast/CAF	True	0.72	0.791	False	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	AADAT	UniProtKB:Q8N5Z0	GSE263733	GSE242230	Fibroblast/CAF	Fibroblast/CAF	6	True	Fibroblast/CAF	Fibroblast/CAF	True	0.72	0.962	False	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	AADAT	UniProtKB:Q8N5Z0	GSE278688	GSE242230	Fibroblast/CAF	Fibroblast/CAF	6	True	Fibroblast/CAF	Fibroblast/CAF	True	0.791	0.962	False	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	AASS	UniProtKB:Q9UDR5	GSE263733	GSE278688	Endothelial	Fibroblast/CAF	6	False	Endothelial	Fibroblast/CAF	False	0.586	0.982	False	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	AASS	UniProtKB:Q9UDR5	GSE263733	GSE242230	Endothelial	Fibroblast/CAF	6	False	Endothelial	Fibroblast/CAF	False	0.586	0.801	False	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	AASS	UniProtKB:Q9UDR5	GSE278688	GSE242230	Fibroblast/CAF	Fibroblast/CAF	6	True	Fibroblast/CAF	Fibroblast/CAF	True	0.982	0.801	True	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	ABAT	UniProtKB:P80404	GSE263733	GSE278688	Acinar	T/NK	6	False	Myeloid	T/NK	False	0.788	0.625	False	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	ABAT	UniProtKB:P80404	GSE263733	GSE242230	Acinar	Myeloid	6	False	Myeloid	Myeloid	True	0.788	0.516	False	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	ABAT	UniProtKB:P80404	GSE278688	GSE242230	T/NK	Myeloid	6	False	T/NK	Myeloid	False	0.625	0.516	False	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	ABHD11	UniProtKB:Q8NFV4	GSE263733	GSE278688	Epithelial/Ductal	Epithelial/Ductal	6	True	Epithelial/Ductal	Epithelial/Ductal	True	1.0	1.0	True	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	ABHD11	UniProtKB:Q8NFV4	GSE263733	GSE242230	Epithelial/Ductal	Epithelial/Ductal	6	True	Epithelial/Ductal	Epithelial/Ductal	True	1.0	1.0	True	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	ABHD11	UniProtKB:Q8NFV4	GSE278688	GSE242230	Epithelial/Ductal	Epithelial/Ductal	6	True	Epithelial/Ductal	Epithelial/Ductal	True	1.0	1.0	True	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	ABHD12	UniProtKB:Q8N2K0	GSE263733	GSE278688	Myeloid	Myeloid	6	True	Myeloid	Myeloid	True	0.751	0.93	False	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	ABHD12	UniProtKB:Q8N2K0	GSE263733	GSE242230	Myeloid	Myeloid	6	True	Myeloid	Myeloid	True	0.751	0.749	False	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	ABHD12	UniProtKB:Q8N2K0	GSE278688	GSE242230	Myeloid	Myeloid	6	True	Myeloid	Myeloid	True	0.93	0.749	False	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	ABHD16A	UniProtKB:O95870	GSE263733	GSE278688	Fibroblast/CAF	Myeloid	6	False	Fibroblast/CAF	Myeloid	False	0.366	0.933	False	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	ABHD16A	UniProtKB:O95870	GSE263733	GSE242230	Fibroblast/CAF	Fibroblast/CAF	6	True	Fibroblast/CAF	Fibroblast/CAF	True	0.366	0.454	False	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	ABHD16A	UniProtKB:O95870	GSE278688	GSE242230	Myeloid	Fibroblast/CAF	6	False	Myeloid	Fibroblast/CAF	False	0.933	0.454	False	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	ABHD16B	UniProtKB:Q9H3Z7	GSE263733	GSE278688	NOT_EVALUABLE	NOT_EVALUABLE	6	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	NA	NA	NOT_EVALUABLE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	ABHD16B	UniProtKB:Q9H3Z7	GSE263733	GSE242230	NOT_EVALUABLE	NOT_EVALUABLE	6	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	NA	NA	NOT_EVALUABLE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	ABHD16B	UniProtKB:Q9H3Z7	GSE278688	GSE242230	NOT_EVALUABLE	NOT_EVALUABLE	6	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	NA	NA	NOT_EVALUABLE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	ABHD2	UniProtKB:P08910	GSE263733	GSE278688	Epithelial/Ductal	Epithelial/Ductal	6	True	Epithelial/Ductal	Epithelial/Ductal	True	1.0	0.998	True	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	ABHD2	UniProtKB:P08910	GSE263733	GSE242230	Epithelial/Ductal	Epithelial/Ductal	6	True	Epithelial/Ductal	Epithelial/Ductal	True	1.0	1.0	True	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	ABHD2	UniProtKB:P08910	GSE278688	GSE242230	Epithelial/Ductal	Epithelial/Ductal	6	True	Epithelial/Ductal	Epithelial/Ductal	True	0.998	1.0	True	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	ABHD6	UniProtKB:Q9BV23	GSE263733	GSE278688	Endothelial	Myeloid	6	False	Endothelial	Myeloid	False	0.393	0.841	False	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	ABHD6	UniProtKB:Q9BV23	GSE263733	GSE242230	Endothelial	Myeloid	6	False	Endothelial	Myeloid	False	0.393	0.948	False	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	ABHD6	UniProtKB:Q9BV23	GSE278688	GSE242230	Myeloid	Myeloid	6	True	Myeloid	Myeloid	True	0.841	0.948	True	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	ACAA2	UniProtKB:P42765	GSE263733	GSE278688	Fibroblast/CAF	Epithelial/Ductal	6	False	Fibroblast/CAF	Epithelial/Ductal	False	0.905	0.828	False	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	ACAA2	UniProtKB:P42765	GSE263733	GSE242230	Fibroblast/CAF	Fibroblast/CAF	6	True	Fibroblast/CAF	Fibroblast/CAF	True	0.905	0.722	False	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	ACAA2	UniProtKB:P42765	GSE278688	GSE242230	Epithelial/Ductal	Fibroblast/CAF	6	False	Epithelial/Ductal	Fibroblast/CAF	False	0.828	0.722	False	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	ACE2	UniProtKB:Q9BYF1	GSE263733	GSE278688	Epithelial/Ductal	Epithelial/Ductal	6	True	Epithelial/Ductal	Epithelial/Ductal	True	1.0	0.59	False	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	ACE2	UniProtKB:Q9BYF1	GSE263733	GSE242230	Epithelial/Ductal	Epithelial/Ductal	6	True	Epithelial/Ductal	Epithelial/Ductal	True	1.0	0.98	True	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	ACE2	UniProtKB:Q9BYF1	GSE278688	GSE242230	Epithelial/Ductal	Epithelial/Ductal	6	True	Epithelial/Ductal	Epithelial/Ductal	True	0.59	0.98	False	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	ACER2	UniProtKB:Q5QJU3	GSE263733	GSE278688	Endothelial	Epithelial/Ductal	6	False	Endothelial	Epithelial/Ductal	False	0.578	0.502	False	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	ACER2	UniProtKB:Q5QJU3	GSE263733	GSE242230	Endothelial	Epithelial/Ductal	6	False	Endothelial	Epithelial/Ductal	False	0.578	0.99	False	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	ACER2	UniProtKB:Q5QJU3	GSE278688	GSE242230	Epithelial/Ductal	Epithelial/Ductal	6	True	Epithelial/Ductal	Epithelial/Ductal	True	0.502	0.99	False	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	ACLY	UniProtKB:P53396	GSE263733	GSE278688	Epithelial/Ductal	Epithelial/Ductal	6	True	Epithelial/Ductal	Epithelial/Ductal	True	0.689	0.624	False	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
PDAC	ACLY	UniProtKB:P53396	GSE263733	GSE242230	Epithelial/Ductal	Endothelial	6	False	Epithelial/Ductal	Endothelial	False	0.689	0.328	False	DONE	Descriptive label;clinical cross-study identity de-duplication remains unverified
