feature_name	metabolite_key	gene	uniprot_accession	matched_chebi	matched_participant_names	reaction	relation_type	rhea_ids	compartment	annotation_evidence	human_experimental_annotation	subunit_notes	source_url	status	reason
1,3-dihydroxyacetone	KEGG:C00184	TKFC	Q3LXA3	16016	dihydroxyacetone	dihydroxyacetone + ATP = dihydroxyacetone phosphate + ADP + H(+)	DIRECT_REACTION	RHEA:15773	NOT_SPECIFIED	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""32004446""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""4688871""}]"	True	"[{""texts"": [{""evidences"": [{""evidenceCode"": ""ECO:0000250"", ""source"": ""UniProtKB"", ""id"": ""F1RKQ4""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""17600090""}], ""value"": ""Homodimer (By similarity). Interacts with IFIH1 (via the CARD domains), the interaction is inhibited by viral infection (PubMed:17600090)""}], ""commentType"": ""SUBUNIT""}]"	https://www.uniprot.org/uniprotkb/Q3LXA3/entry	DIRECT_ANNOTATION	Exact small-molecule ID in reviewed human catalytic annotation; not PDAC function or new chemical identification
1,3-dihydroxyacetone	KEGG:C00184	DCPH1	Q9H993	16016	dihydroxyacetone	beta-D-fructose 6-phosphate = dihydroxyacetone + D-glyceraldehyde 3-phosphate	DIRECT_REACTION	RHEA:28002	NOT_SPECIFIED	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""32682077""}]"	True	[]	https://www.uniprot.org/uniprotkb/Q9H993/entry	DIRECT_ANNOTATION	Exact small-molecule ID in reviewed human catalytic annotation; not PDAC function or new chemical identification
1-myristoylglycerol (14:0)	NAME:1-myristoylglycerol (14:0)	ABHD16A	O95870	75562	1-tetradecanoylglycerol	1-tetradecanoylglycerol + H2O = tetradecanoate + glycerol + H(+)	DIRECT_REACTION	RHEA:44312	Membrane	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""25290914""}]"	True	[]	https://www.uniprot.org/uniprotkb/O95870/entry	DIRECT_ANNOTATION	Exact small-molecule ID in reviewed human catalytic annotation; not PDAC function or new chemical identification
1-myristoylglycerol (14:0)	NAME:1-myristoylglycerol (14:0)	MOGAT2	Q3SYC2	75562	1-tetradecanoylglycerol	1-tetradecanoylglycerol + (9Z)-octadecenoyl-CoA = 1-tetradecanoyl-2-(9Z-octadecenoyl)-glycerol + CoA	DIRECT_REACTION	RHEA:38119	Endoplasmic reticulum membrane; Cytoplasm, perinuclear region	"[{""evidenceCode"": ""ECO:0000305"", ""source"": ""PubMed"", ""id"": ""12621063""}]"	False	[]	https://www.uniprot.org/uniprotkb/Q3SYC2/entry	CONDITIONAL	Exact annotation lacks reaction-specific experimental evidence tag; inference-only candidate retained pending specificity review
1-myristoylglycerol (14:0)	NAME:1-myristoylglycerol (14:0)	MOGAT2	Q3SYC2	75562	1-tetradecanoylglycerol	1-tetradecanoylglycerol + (9Z)-octadecenoyl-CoA = 1-tetradecanoyl-3-(9Z-octadecenoyl)-glycerol + CoA	DIRECT_REACTION	RHEA:77631	Endoplasmic reticulum membrane; Cytoplasm, perinuclear region	"[{""evidenceCode"": ""ECO:0000305"", ""source"": ""PubMed"", ""id"": ""12621063""}]"	False	[]	https://www.uniprot.org/uniprotkb/Q3SYC2/entry	CONDITIONAL	Exact annotation lacks reaction-specific experimental evidence tag; inference-only candidate retained pending specificity review
1-myristoylglycerol (14:0)	NAME:1-myristoylglycerol (14:0)	ABHD12	Q8N2K0	75562	1-tetradecanoylglycerol	1-tetradecanoylglycerol + H2O = tetradecanoate + glycerol + H(+)	DIRECT_REACTION	RHEA:44312	Endoplasmic reticulum membrane	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""22969151""}]"	True	[]	https://www.uniprot.org/uniprotkb/Q8N2K0/entry	DIRECT_ANNOTATION	Exact small-molecule ID in reviewed human catalytic annotation; not PDAC function or new chemical identification
1-myristoylglycerol (14:0)	NAME:1-myristoylglycerol (14:0)	MOGAT1	Q96PD6	75562	1-tetradecanoylglycerol	1-tetradecanoylglycerol + (9Z)-octadecenoyl-CoA = 1-tetradecanoyl-2-(9Z-octadecenoyl)-glycerol + CoA	DIRECT_REACTION	RHEA:38119	Endoplasmic reticulum membrane	"[{""evidenceCode"": ""ECO:0000250"", ""source"": ""UniProtKB"", ""id"": ""Q91ZV4""}]"	False	[]	https://www.uniprot.org/uniprotkb/Q96PD6/entry	CONDITIONAL	Exact annotation lacks reaction-specific experimental evidence tag; inference-only candidate retained pending specificity review
1-myristoylglycerol (14:0)	NAME:1-myristoylglycerol (14:0)	MGLL	Q99685	75562	1-tetradecanoylglycerol	1-tetradecanoylglycerol + H2O = tetradecanoate + glycerol + H(+)	DIRECT_REACTION	RHEA:44312	Cytoplasm, cytosol; Membrane	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""22969151""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""24368842""}]"	True	"[{""texts"": [{""evidences"": [{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""19957260""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""19962385""}], ""value"": ""Homodimer""}], ""commentType"": ""SUBUNIT""}]"	https://www.uniprot.org/uniprotkb/Q99685/entry	DIRECT_ANNOTATION	Exact small-molecule ID in reviewed human catalytic annotation; not PDAC function or new chemical identification
1-myristoylglycerol (14:0)	NAME:1-myristoylglycerol (14:0)	ABHD6	Q9BV23	75562	1-tetradecanoylglycerol	1-tetradecanoylglycerol + H2O = tetradecanoate + glycerol + H(+)	DIRECT_REACTION	RHEA:44312	Late endosome membrane; Lysosome membrane; Mitochondrion membrane	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""22969151""}]"	True	[]	https://www.uniprot.org/uniprotkb/Q9BV23/entry	DIRECT_ANNOTATION	Exact small-molecule ID in reviewed human catalytic annotation; not PDAC function or new chemical identification
1-oleoylglycerol (1-monoolein)	NAME:1-oleoylglycerol (1-monoolein)	DGAT1	O75907	75342	1-(9Z-octadecenoyl)-glycerol	1-(9Z-octadecenoyl)-glycerol + (9Z)-octadecenoyl-CoA = 1,2-di-(9Z-octadecenoyl)-glycerol + CoA	DIRECT_REACTION	RHEA:37915	Endoplasmic reticulum membrane	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""28420705""}]"	True	"[{""texts"": [{""evidences"": [{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""32433610""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""32433611""}], ""value"": ""Homodimer or homotetramer; both forms have similar enzymatic activities""}], ""commentType"": ""SUBUNIT""}]"	https://www.uniprot.org/uniprotkb/O75907/entry	DIRECT_ANNOTATION	Exact small-molecule ID in reviewed human catalytic annotation; not PDAC function or new chemical identification
