gene	stable_gene_id	RNA_n	RNA_n_reference	RNA_effect	RNA_ci_lower	RNA_ci_upper	RNA_p_value	RNA_q_value	RNA_status	RNA_reason	RNA_age_sex_n	RNA_age_sex_n_reference	RNA_age_sex_effect	RNA_age_sex_ci_lower	RNA_age_sex_ci_upper	RNA_age_sex_p_value	RNA_age_sex_q_value	RNA_age_sex_status	RNA_age_sex_reason	relation_ids	n_relations	n_nominal_patient_relations	RNA_background	functional_evidence	external_metabolite_validation	data_limitations	current_pool	next_action	SC_primary_status	SC_primary_reason	SC_primary_top_celltype	SC_primary_runner_celltype	SC_primary_top_gap	SC_primary_bootstrap_top_frequency	SC_primary_bootstrap_valid	SC_primary_rank_tie	SC_recurrent_status	SC_recurrent_reason	SC_recurrent_top_celltype	SC_recurrent_runner_celltype	SC_recurrent_top_gap	SC_recurrent_bootstrap_top_frequency	SC_recurrent_bootstrap_valid	SC_recurrent_rank_tie	SC_dataset	SC_independent_replication	SC_scope
GPI	UniProt:P06744	74.0	6.0	-1.1159310084487934	-1.4931918003565705	-0.7386702165410165	0.0001612626307822	0.0007453876473489	DONE	NA	74.0	6.0	-1.122324792265675	-1.5018964063231324	-0.7427531782082175	9.927649020896557e-08	4.312322543451941e-07	DONE	NA	GBM_FEATURE:0e666297b1d455c9|UniProt:P06744	1	0	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Neuron	Neoplastic	0.0462292024675251	0.824	1000	False	DONE	expression_source_only;not_function	Neuron	Neoplastic	0.020037659004905	0.704	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
MPI	UniProt:P34949	74.0	6.0	-0.1994366342817968	-0.4502170949810004	0.0513438264174068	0.1010112239687151	0.1462558347047021	DONE	NA	74.0	6.0	-0.196047231078294	-0.4138560979926448	0.0217616358360568	0.0770030361454322	0.1150905594001621	DONE	NA	GBM_FEATURE:0e666297b1d455c9|UniProt:P34949	1	0	NOT_SUPPORTED_THIS_TEST	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Myeloid	Neoplastic	0.0037284293623179	0.747	1000	False	DONE	expression_source_only;not_function	Myeloid	Neoplastic	0.0138219518086948	0.972	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
PFKL	UniProt:P17858	74.0	6.0	0.1864126286260683	0.0631048942545334	0.3097203629976032	0.0046547959963117	0.0111554593704712	DONE	NA	74.0	6.0	0.1937739523936228	0.0819112362135117	0.305636668573734	0.0009178259116803	0.0020250444718027	DONE	NA	GBM_FEATURE:0e666297b1d455c9|UniProt:P17858	1	0	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Vascular	Astrocyte	0.0336820016101533	0.881	1000	False	DONE	expression_source_only;not_function	Vascular	Astrocyte	0.03124492940503	0.908	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
PFKM	UniProt:P08237	74.0	6.0	-1.1027340683570563	-1.5224988355386495	-0.682969301175463	0.0006733940625932	0.0023400443675115	DONE	NA	74.0	6.0	-1.1010453878747204	-1.4844884686729238	-0.717602307076517	2.003949315850365e-07	7.958541568662877e-07	DONE	NA	GBM_FEATURE:0e666297b1d455c9|UniProt:P08237	1	0	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Astrocyte	Neuron	0.0034839482458339	0.525	1000	False	DONE	expression_source_only;not_function	Astrocyte	Neuron	0.011981006978885	0.873	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
PFKP	UniProt:Q01813	74.0	6.0	-1.0983399550365784	-1.5013915987008	-0.695288311372357	0.0002990607362428	0.0012596800708408	DONE	NA	74.0	6.0	-1.097404248163483	-1.470456778868025	-0.7243517174589409	1.124973392367458e-07	4.738524289062929e-07	DONE	NA	GBM_FEATURE:0e666297b1d455c9|UniProt:Q01813	1	0	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Astrocyte	Neuron	0.2224447211265613	1.0	1000	False	DONE	expression_source_only;not_function	Astrocyte	Neuron	0.2509295622981923	1.0	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
ACSL3	UniProt:O95573	74.0	6.0	-0.8973268617691215	-1.3866580814176217	-0.4079956421206214	0.0037228341867567	0.0095828509622072	DONE	NA	74.0	6.0	-0.8951340716197358	-1.35565419369397	-0.4346139495455016	0.0002273463487811	0.0005847360956214	DONE	NA	GBM_FEATURE:10511d2fb2642333|UniProt:O95573;GBM_FEATURE:bd5a75b37eeffcbb|UniProt:O95573;GBM_FEATURE:c95d3fd4b0685964|UniProt:O95573	3	0	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	OPC	Astrocyte	0.0374778832072015	0.648	1000	False	DONE	expression_source_only;not_function	Astrocyte	Neoplastic	0.010567486777526	0.426	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
ACSL4	UniProt:O60488	74.0	6.0	-0.7704533108618237	-1.2934491730440296	-0.2474574486796176	0.0118087803073288	0.0231185980664606	DONE	NA	74.0	6.0	-0.7893351772347299	-1.3032045843089468	-0.275465770160513	0.003063570615663	0.0063557659041367	DONE	NA	GBM_FEATURE:10511d2fb2642333|UniProt:O60488	1	0	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Myeloid	Lymphoid	0.2967376167305293	1.0	1000	False	DONE	expression_source_only;not_function	Myeloid	Vascular	0.2667010530156701	1.0	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
ALOX15	UniProt:P16050	74.0	6.0	-0.3086365756041174	-0.5793353008784043	-0.0379378503298305	0.0324547284049944	0.0586163268449567	DONE	NA	74.0	6.0	-0.310040888814571	-0.5497492441982015	-0.0703325334309406	0.0119335950411224	0.0218259172462634	DONE	NA	GBM_FEATURE:10511d2fb2642333|UniProt:P16050	1	0	NOMINAL_EXPLORATORY	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Neuron	Neoplastic	0.0021197830100063	0.778	1000	False	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
CYP4F2	UniProt:P78329	74.0	6.0	-0.0023529177266522	-0.0548580454442181	0.0501522099909137	0.9276757449007792	0.9422375725300192	DONE	NA	74.0	6.0	-0.0087358611784092	-0.0482316940785867	0.0307599717217682	0.6608060353974141	0.7065896012757478	DONE	NA	GBM_FEATURE:10511d2fb2642333|UniProt:P78329	1	0	NOT_SUPPORTED_THIS_TEST	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	1000	False	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
BCAT1	hsa:586	74.0	6.0	0.7428094952679318	0.2449801641406531	1.2406388263952106	0.0083226058685897	0.0172663017273728	DONE	NA	74.0	6.0	0.6909691848725119	0.0599086282663364	1.3220297414786877	0.0322961233043818	0.0547458675525496	DONE	NA	GBM_FEATURE:1432b9e82c3172bb|hsa:586;GBM_FEATURE:8dcedd5e178723a5|hsa:586;GBM_FEATURE:b754e6401a70856c|hsa:586;GBM_FEATURE:c4f5ae886a6f2e1e|hsa:586	4	1	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Myeloid	OPC	0.1576466637778771	0.998	1000	False	DONE	expression_source_only;not_function	Myeloid	OPC	0.2854736558443284	0.999	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
BCAT2	hsa:587	74.0	6.0	0.0699769363081901	-0.5001201979497047	0.640074070566085	0.7713979868124158	0.8185062608162275	DONE	NA	74.0	6.0	0.0484836695465408	-0.4418457107078926	0.5388130498009743	0.8444031913162557	0.8759107730817877	DONE	NA	GBM_FEATURE:1432b9e82c3172bb|hsa:587;GBM_FEATURE:8dcedd5e178723a5|hsa:587;GBM_FEATURE:b754e6401a70856c|hsa:587;GBM_FEATURE:c4f5ae886a6f2e1e|hsa:587	4	0	NOT_SUPPORTED_THIS_TEST	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Astrocyte	Neoplastic	0.0688222787686818	0.983	1000	False	DONE	expression_source_only;not_function	Astrocyte	Neoplastic	0.0916905496661927	1.0	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
IARS1	hsa:3376	74.0	6.0	0.1866922169888769	-0.3582955269395039	0.7316799609172578	0.4263707282488134	0.4741242498126805	DONE	NA	74.0	6.0	0.1854551179576476	-0.3107357939764966	0.681646029891792	0.4589284285099844	0.5062781870070463	DONE	NA	GBM_FEATURE:1432b9e82c3172bb|hsa:3376	1	0	NOT_SUPPORTED_THIS_TEST	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	0	False	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	0	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
IARS2	hsa:55699	74.0	6.0	-0.1794695641590724	-0.4681248303225779	0.109185702004433	0.1784761366219515	0.2385402210620314	DONE	NA	74.0	6.0	-0.1844205749253458	-0.4609215316683888	0.0920803818176971	0.1880194237474524	0.2489019038180561	DONE	NA	GBM_FEATURE:1432b9e82c3172bb|hsa:55699	1	0	NOT_SUPPORTED_THIS_TEST	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Neoplastic	Oligodendrocyte	0.0224971532542001	0.908	1000	False	DONE	expression_source_only;not_function	Neoplastic	Oligodendrocyte	0.0046120076745847	0.7	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
SLC43A1	hsa:8501	74.0	6.0	-0.0187527082100426	-0.2543753828213658	0.2168699664012806	0.8521907903772091	0.8774408878698672	DONE	NA	74.0	6.0	-0.0180646660934771	-0.2367559248454796	0.2006265926585253	0.8697592515278904	0.8955298960176057	DONE	NA	GBM_FEATURE:1432b9e82c3172bb|hsa:8501;GBM_FEATURE:b754e6401a70856c|hsa:8501	2	0	NOT_SUPPORTED_THIS_TEST	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Neuron	Vascular	0.0047168409644715	0.661	1000	False	DONE	expression_source_only;not_function	Neuron	Lymphoid	0.005324659062175	0.693	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
SLC43A2	hsa:124935	74.0	6.0	-0.4959311080667703	-0.7585229537561529	-0.2333392623773877	0.0010648046957793	0.0035239964931745	DONE	NA	74.0	6.0	-0.5172028283771846	-0.7308692869150946	-0.3035363698392745	7.162326456378003e-06	2.428203359601323e-05	DONE	NA	GBM_FEATURE:1432b9e82c3172bb|hsa:124935;GBM_FEATURE:b754e6401a70856c|hsa:124935	2	0	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Myeloid	Astrocyte	0.2542886523178658	1.0	1000	False	DONE	expression_source_only;not_function	Myeloid	Astrocyte	0.2757372435042277	1.0	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
SLC6A14	hsa:11254	74.0	6.0	0.0255735549827455	0.0144063584861511	0.0367407514793398	1.985607343095298e-05	0.0001314282955667	DONE	NA	74.0	6.0	0.0260609635305431	0.0134934582341694	0.0386284688269169	9.221758057390497e-05	0.0002670467437452	DONE	NA	GBM_FEATURE:1432b9e82c3172bb|hsa:11254;GBM_FEATURE:b754e6401a70856c|hsa:11254	2	0	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	1000	False	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
SLC6A15	hsa:55117	74.0	6.0	-2.5242640380862493	-3.2199394874699023	-1.8285885887025963	0.0001662375328619	0.0007453876473489	DONE	NA	74.0	6.0	-2.54049940466464	-3.2087914211800954	-1.8722073881491847	7.254491228484323e-11	5.041871403796606e-10	DONE	NA	GBM_FEATURE:1432b9e82c3172bb|hsa:55117;GBM_FEATURE:b754e6401a70856c|hsa:55117	2	0	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Neuron	Oligodendrocyte	0.1129283651121549	0.984	1000	False	DONE	expression_source_only;not_function	Neuron	Oligodendrocyte	0.0235899780474648	0.744	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
