cancer	stable_gene_id	gene	in_current_pool	history_only	relation_ids	n_relations	RNA_background	RNA_source_run	cell_background	sc_source_run	functional_source_ref	external_source_ref	data_limitations	next_action	status	reason	n_current_direct_relations	n_conditional_relations	historical_relation_ids	n_historical_original42_relations	historical_relation_index	RNA_effect	RNA_p	RNA_q	RNA_n	RNA_test_family	RNA_status	RNA_up_pairs	RNA_down_pairs	RNA_equal_pairs	all3_same_unique_top	all3_top_bootstrap_ge080	source_type	GSE263733_top_celltype	GSE263733_runner_celltype	GSE263733_top_gap	GSE263733_bootstrap_top_frequency	GSE263733_bootstrap_valid	GSE263733_max_detection	GSE263733_n_evaluable_celltypes	GSE263733_status	GSE263733_matrix_coverage_status	GSE263733_top_detection_fraction	GSE263733_top_source_labels	GSE278688_top_celltype	GSE278688_runner_celltype	GSE278688_top_gap	GSE278688_bootstrap_top_frequency	GSE278688_bootstrap_valid	GSE278688_max_detection	GSE278688_n_evaluable_celltypes	GSE278688_status	GSE278688_matrix_coverage_status	GSE278688_top_detection_fraction	GSE278688_top_source_labels	GSE242230_top_celltype	GSE242230_runner_celltype	GSE242230_top_gap	GSE242230_bootstrap_top_frequency	GSE242230_bootstrap_valid	GSE242230_max_detection	GSE242230_n_evaluable_celltypes	GSE242230_status	GSE242230_matrix_coverage_status	GSE242230_top_detection_fraction	GSE242230_top_source_labels
PDAC	UniProtKB:Q8N5Z0	AADAT	True	False	31fddc1286047370;3f418d5378ea239e;f72a2f6ff7d3130e	3	NOT_SUPPORTED_THIS_TEST	20260922T120300Z_sop_v3_internal	ALL3_SAME_TOP	20260922T120400Z_sop_v3_source	NOT_RUN;outside source-only SOP scope	NO_LINKED_LEGACY_EXTERNAL_GENE_RESULT	Separate currentDIRECT and supplementalRNA families;no best-relation selection;clinical overlap remains unverified	Discuss complete evidence;no mechanism claim from highest expression	DONE	All current and historical genes retained;measurement status recorded separately	3	0	31fddc1286047370;3f418d5378ea239e	2	historical_relation_index.tsv	0.13386831099118	0.3477570247335529	0.4473749224436853	11	RNA_PAIRED_CURRENT	DONE	8	3	0	True	False	Expression-source descriptive only;not unique action cell	Fibroblast/CAF	Acinar	0.004923824364294	0.72	1000	0.0839968606068198	7	DONE	DONE	0.0839968606068198	11.0	Fibroblast/CAF	Epithelial/Ductal	0.0050221854414103	0.791	1000	0.0243375030640475	6	DONE	DONE	0.0243375030640475	13.0	Fibroblast/CAF	Epithelial/Ductal	0.0070674388035156	0.962	1000	0.0284616796839034	7	DONE	DONE	0.0284616796839034	7.0
PDAC	UniProtKB:Q9UDR5	AASS	True	False	3b65c5b363143034	1	NOT_SUPPORTED_THIS_TEST	20260922T120300Z_sop_v3_internal	STUDY_DEPENDENT_OR_NOT_EVALUABLE	20260922T120400Z_sop_v3_source	NOT_RUN;outside source-only SOP scope	NO_LINKED_LEGACY_EXTERNAL_GENE_RESULT	Separate currentDIRECT and supplementalRNA families;no best-relation selection;clinical overlap remains unverified	Discuss complete evidence;no mechanism claim from highest expression	DONE	All current and historical genes retained;measurement status recorded separately	1	0	48ffbdf66a17922b;a6bd479833641204	2	historical_relation_index.tsv	-0.5993745209815109	0.0526687366979074	0.1369387154145594	11	RNA_PAIRED_CURRENT	DONE	3	8	0	False	False	Expression-source descriptive only;not unique action cell	Endothelial	Fibroblast/CAF	0.0161252823467054	0.586	1000	0.1568438067439438	7	DONE	DONE	0.1368913224804418	4.0	Fibroblast/CAF	Endothelial	0.0481280941267291	0.982	1000	0.1864344173694916	6	DONE	DONE	0.1864344173694916	13.0	Fibroblast/CAF	Endothelial	0.0134054431077308	0.801	1000	0.0971067185029379	7	DONE	DONE	0.0971067185029379	7.0
PDAC	UniProtKB:P80404	ABAT	True	False	3d4d43494780d265;3fc531a39ec1bfa2	2	FDR_SUPPORTED	20260922T120300Z_sop_v3_internal	STUDY_DEPENDENT_OR_NOT_EVALUABLE	20260922T120400Z_sop_v3_source	NOT_RUN;outside source-only SOP scope	NO_LINKED_LEGACY_EXTERNAL_GENE_RESULT	Separate currentDIRECT and supplementalRNA families;no best-relation selection;clinical overlap remains unverified	Discuss complete evidence;no mechanism claim from highest expression	DONE	All current and historical genes retained;measurement status recorded separately	2	0		0	historical_relation_index.tsv	-1.0301994819100253	0.0021131479659176	0.0319639403272975	11	RNA_PAIRED_CURRENT	DONE	1	10	0	False	False	Expression-source descriptive only;not unique action cell	Acinar	Myeloid	0.0937622215669324	0.788	1000	0.274145028931136	7	DONE	DONE	0.274145028931136	4.0	T/NK	B/Plasma	0.0038059452389513	0.625	1000	0.0412300696617895	6	DONE	DONE	0.0344253215758986	13.0	Myeloid	T/NK	0.0028846272139582	0.516	1000	0.0521791649096192	7	DONE	DONE	0.037558655679353	20.0
PDAC	UniProtKB:Q8NFV4	ABHD11	False	True	14aa4183cdd0aeb4;bd9a4de034b0ca7d	2	NOT_SUPPORTED_THIS_TEST	20260922T120300Z_sop_v3_internal	ALL3_SAME_TOP_AND_BOOTSTRAP_GE080	20260922T120400Z_sop_v3_source	NOT_RUN;outside source-only SOP scope	NO_LINKED_LEGACY_EXTERNAL_GENE_RESULT	Separate currentDIRECT and supplementalRNA families;no best-relation selection;clinical overlap remains unverified	Discuss complete evidence;no mechanism claim from highest expression	DONE	All current and historical genes retained;measurement status recorded separately	0	2		0	historical_relation_index.tsv	-0.1004790672809507	0.2936580902031547	0.4207673725768321	11	RNA_PAIRED_HISTORY_SUPPLEMENT	DONE	5	6	0	True	True	Expression-source descriptive only;not unique action cell	Epithelial/Ductal	Endothelial	0.3655765282988281	1.0	1000	0.6575772718692808	7	DONE	DONE	0.6575772718692808	18.0	Epithelial/Ductal	Myeloid	0.2459203578008691	1.0	1000	0.2594312133650035	6	DONE	DONE	0.2594312133650035	12.0	Epithelial/Ductal	Myeloid	0.2679446919944045	1.0	1000	0.3717011811768729	7	DONE	DONE	0.3717011811768729	24.0
PDAC	UniProtKB:Q8N2K0	ABHD12	True	False	08aa7e3a9b4d226b;3a21ef7f5e98a9d1;6ecea1daf4dde8e6;77e1aaeee27e7a9c;933849e4a7e53a7f;b7d9054e83e731f5;bb1f9b8dbed33ba8;c1258da749a37235;d31efd0799c1be1a	9	FDR_SUPPORTED	20260922T120300Z_sop_v3_internal	ALL3_SAME_TOP	20260922T120400Z_sop_v3_source	NOT_RUN;outside source-only SOP scope	NO_LINKED_LEGACY_EXTERNAL_GENE_RESULT	Separate currentDIRECT and supplementalRNA families;no best-relation selection;clinical overlap remains unverified	Discuss complete evidence;no mechanism claim from highest expression	DONE	All current and historical genes retained;measurement status recorded separately	8	1	08aa7e3a9b4d226b;3a21ef7f5e98a9d1;6ecea1daf4dde8e6;b7d9054e83e731f5	4	historical_relation_index.tsv	-0.2688849895141618	0.0076121038876326	0.0490225946823629	11	RNA_PAIRED_CURRENT	DONE	1	10	0	True	False	Expression-source descriptive only;not unique action cell	Myeloid	Epithelial/Ductal	0.0247290283128182	0.751	1000	0.5362879222673302	7	DONE	DONE	0.3410732747778219	20.0	Myeloid	Epithelial/Ductal	0.042213104663477	0.93	1000	0.3027764253526437	6	DONE	DONE	0.3027764253526437	13.0	Myeloid	Epithelial/Ductal	0.0191761222805132	0.749	1000	0.292156305339185	7	DONE	DONE	0.2233442447155069	20.0
PDAC	UniProtKB:O95870	ABHD16A	True	False	1f8efd07d56da2aa;2b5e4216eab26af1;a62402e78c0edd9c;afbb37e6d5bbd77a;c188ffcf1441db5f;d9433a9629b44f38	6	NOT_SUPPORTED_THIS_TEST	20260922T120300Z_sop_v3_internal	STUDY_DEPENDENT_OR_NOT_EVALUABLE	20260922T120400Z_sop_v3_source	NOT_RUN;outside source-only SOP scope	NO_LINKED_LEGACY_EXTERNAL_GENE_RESULT	Separate currentDIRECT and supplementalRNA families;no best-relation selection;clinical overlap remains unverified	Discuss complete evidence;no mechanism claim from highest expression	DONE	All current and historical genes retained;measurement status recorded separately	6	0	2b5e4216eab26af1;afbb37e6d5bbd77a;c188ffcf1441db5f;d9433a9629b44f38	4	historical_relation_index.tsv	-0.015628304209419	0.858225512329917	0.8869527261317552	11	RNA_PAIRED_CURRENT	DONE	4	7	0	False	False	Expression-source descriptive only;not unique action cell	Fibroblast/CAF	Myeloid	0.0008088257338102	0.366	1000	0.0384373912355447	7	DONE	DONE	0.0325087983726789	11.0	Myeloid	Endothelial	0.0251323102832184	0.933	1000	0.214094651760736	6	DONE	DONE	0.214094651760736	13.0	Fibroblast/CAF	T/NK	0.0025534586484535	0.454	1000	0.1764685444839343	7	DONE	DONE	0.1735659771452125	7.0
PDAC	UniProtKB:Q9H3Z7	ABHD16B	True	False	009d21b779269adb;8844e24ed7c15221	2	NOMINAL_EXPLORATORY	20260922T120300Z_sop_v3_internal	STUDY_DEPENDENT_OR_NOT_EVALUABLE	20260922T120400Z_sop_v3_source	NOT_RUN;outside source-only SOP scope	NO_LINKED_LEGACY_EXTERNAL_GENE_RESULT	Separate currentDIRECT and supplementalRNA families;no best-relation selection;clinical overlap remains unverified	Discuss complete evidence;no mechanism claim from highest expression	DONE	All current and historical genes retained;measurement status recorded separately	2	0	009d21b779269adb	1	historical_relation_index.tsv	-0.4533424643690726	0.0166660434044348	0.0722195214192178	11	RNA_PAIRED_CURRENT	DONE	2	9	0	False	False	Expression-source descriptive only;not unique action cell	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	0	0.0011058129300892	7	NOT_EVALUABLE	DONE	NA	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	0	0.0001373334185483	6	NOT_EVALUABLE	DONE	NA	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	0	0.0010063319764812	7	NOT_EVALUABLE	DONE	NA	NA
PDAC	UniProtKB:P08910	ABHD2	True	False	900da5b8973a5789	1	NOT_SUPPORTED_THIS_TEST	20260922T120300Z_sop_v3_internal	ALL3_SAME_TOP_AND_BOOTSTRAP_GE080	20260922T120400Z_sop_v3_source	NOT_RUN;outside source-only SOP scope	NO_LINKED_LEGACY_EXTERNAL_GENE_RESULT	Separate currentDIRECT and supplementalRNA families;no best-relation selection;clinical overlap remains unverified	Discuss complete evidence;no mechanism claim from highest expression	DONE	All current and historical genes retained;measurement status recorded separately	1	0	900da5b8973a5789	1	historical_relation_index.tsv	0.1605965623752218	0.5542255254346605	0.6396902092633698	11	RNA_PAIRED_CURRENT	DONE	8	3	0	True	True	Expression-source descriptive only;not unique action cell	Epithelial/Ductal	Myeloid	0.4112166391837806	1.0	1000	0.7930099025223155	7	DONE	DONE	0.7930099025223155	18.0	Epithelial/Ductal	Fibroblast/CAF	0.2215304064994642	0.998	1000	0.3610023004088956	6	DONE	DONE	0.3610023004088956	12.0	Epithelial/Ductal	Myeloid	0.3388640405509586	1.0	1000	0.4863602670790101	7	DONE	DONE	0.4863602670790101	24.0
PDAC	UniProtKB:Q9BV23	ABHD6	True	False	0715831efa52ca20;24606deba9b17759;24d5c8dda033bada;4bd5f1d686d9465f;7ad491a39cfd2e47;7af03f2671528aaa;7c6464d839b541c3;d2116ff211c71054;e1781224dd349fcc;edca165ae2cf8fdd	10	NOT_SUPPORTED_THIS_TEST	20260922T120300Z_sop_v3_internal	STUDY_DEPENDENT_OR_NOT_EVALUABLE	20260922T120400Z_sop_v3_source	NOT_RUN;outside source-only SOP scope	results/PDAC/06_EXTERNAL/20260921T030642Z_historical_review_v1/historical_cell_source_label_review.tsv	Separate currentDIRECT and supplementalRNA families;no best-relation selection;clinical overlap remains unverified	Discuss complete evidence;no mechanism claim from highest expression	DONE	All current and historical genes retained;measurement status recorded separately	8	2	24606deba9b17759;4bd5f1d686d9465f;7ad491a39cfd2e47;7c6464d839b541c3	4	historical_relation_index.tsv	0.07227496456974	0.472768714912714	0.5668634591429144	11	RNA_PAIRED_CURRENT	DONE	8	3	0	False	False	Expression-source descriptive only;not unique action cell	Endothelial	Myeloid	0.0027263548605701	0.393	1000	0.12694923013499	7	DONE	DONE	0.12694923013499	4.0	Myeloid	B/Plasma	0.0143936182931173	0.841	1000	0.1135545514583028	6	DONE	DONE	0.1135545514583028	13.0	Myeloid	B/Plasma	0.0162023280327176	0.948	1000	0.0710139977132921	7	DONE	DONE	0.0710139977132921	20.0
PDAC	UniProtKB:P42765	ACAA2	True	False	5c4b6f66d7f506dc;e0129ec7efab7a9b	2	NOT_SUPPORTED_THIS_TEST	20260922T120300Z_sop_v3_internal	STUDY_DEPENDENT_OR_NOT_EVALUABLE	20260922T120400Z_sop_v3_source	NOT_RUN;outside source-only SOP scope	NO_LINKED_LEGACY_EXTERNAL_GENE_RESULT	Separate currentDIRECT and supplementalRNA families;no best-relation selection;clinical overlap remains unverified	Discuss complete evidence;no mechanism claim from highest expression	DONE	All current and historical genes retained;measurement status recorded separately	2	0		0	historical_relation_index.tsv	0.2651578435160655	0.1765112709547757	0.2794761790117282	11	RNA_PAIRED_CURRENT	DONE	6	5	0	False	False	Expression-source descriptive only;not unique action cell	Fibroblast/CAF	Myeloid	0.0726578022451435	0.905	1000	0.5052272100513082	7	DONE	DONE	0.5052272100513082	11.0	Epithelial/Ductal	Myeloid	0.0406742616843378	0.828	1000	0.2509400658012936	6	DONE	DONE	0.2509400658012936	12.0	Fibroblast/CAF	T/NK	0.0358373605338649	0.722	1000	0.3081040421317511	7	DONE	DONE	0.3081040421317511	7.0
