relation_id	ec_number	genes	human_uniprot	reaction_summary_cn	mapping_tier	source_url	source_read_status	note	access_date
R001	3.5.1.2	GLS ; GLS2	O94925 ; Q9UI32	谷氨酰胺经水解生成谷氨酸和铵。	A	https://enzyme.expasy.org/EC/3.5.1.2	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R002	6.3.1.2	GLUL	P15104	谷氨酸与铵在ATP参与下合成谷氨酰胺。	A	https://rest.uniprot.org/uniprotkb/P15104.txt	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R003	6.3.5.4	ASNS	P08243	天冬氨酸与谷氨酰胺在ATP参与下生成天冬酰胺和谷氨酸。	A	https://www.kegg.jp/entry/6.3.5.4	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R004	2.6.1.1	GOT1 ; GOT2	P17174 ; P00505	天冬氨酸与2-氧戊二酸的转氨反应，另一侧为草酰乙酸与谷氨酸。	A	https://enzyme.expasy.org/EC/2.6.1.1	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R005	6.3.2.2	GCLC	P48506	半胱氨酸和谷氨酸在ATP参与下生成γ-谷氨酰半胱氨酸。	A	https://enzyme.expasy.org/EC/6.3.2.2	本轮已访问反应条目或人类基因/蛋白记录	GCLC直接接半胱氨酸/谷氨酸；它不是一步生成最终GSH的酶，GCLM是辅助亚基，未作催化酶收录。	2026-09-11
R006	6.3.2.3	GSS	P48637	γ-谷氨酰半胱氨酸与甘氨酸在ATP参与下生成GSH。	A	https://enzyme.expasy.org/EC/6.3.2.3	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R007	1.8.1.7	GSR	P00390	氧化型谷胱甘肽在NADPH参与下还原为GSH。	A	https://enzyme.expasy.org/EC/1.8.1.7	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R008	2.1.2.1	SHMT1 ; SHMT2	P34896 ; P34897	丝氨酸与四氢叶酸之间的一碳转移反应连接甘氨酸。	A	https://enzyme.expasy.org/EC/2.1.2.1	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R009	3.5.3.1	ARG1 ; ARG2	P05089 ; P78540	精氨酸水解生成鸟氨酸和尿素。	A	https://enzyme.expasy.org/EC/3.5.3.1	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R010	2.1.3.3	OTC	P00480	鸟氨酸与氨甲酰磷酸生成瓜氨酸。	A	https://enzyme.expasy.org/EC/2.1.3.3	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R011	6.3.4.5	ASS1	P00966	瓜氨酸、天冬氨酸和ATP参与精氨琥珀酸合成。	A	https://enzyme.expasy.org/EC/6.3.4.5	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R012	4.1.1.17	ODC1	P11926	鸟氨酸脱羧生成腐胺。	A	https://enzyme.expasy.org/EC/4.1.1.17	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R013	2.6.1.13	OAT	P04181	鸟氨酸与2-氧戊二酸转氨生成谷氨酸-5-半醛和谷氨酸。	A	https://enzyme.expasy.org/EC/2.6.1.13	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R014	1.5.1.2	PYCR1 ; PYCR2 ; PYCR3	P32322 ; Q96C36 ; Q53H96	吡咯啉-5-羧酸还原连接脯氨酸。	A	https://enzyme.expasy.org/EC/1.5.1.2	本轮已访问反应条目或人类基因/蛋白记录	PYCR3别名PYCRL；数据库可逆反应不代表肿瘤净方向。	2026-09-11
R015	1.5.5.2	PRODH	O43272	脯氨酸被氧化为吡咯啉-5-羧酸。	A	https://enzyme.expasy.org/EC/1.5.5.2	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R016	1.5.5.3	PRODH2	Q9UF12	trans-4-羟基-L-脯氨酸被氧化；不是将游离脯氨酸羟化。	A	https://enzyme.expasy.org/EC/1.5.5.3	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R017	4.3.1.3	HAL	P42357	组氨酸脱氨生成尿刊酸。	A	https://enzyme.expasy.org/EC/4.3.1.3	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R018	1.5.1.8	AASS	Q9UDR5	赖氨酸与2-氧戊二酸通过AASS的赖氨酸-酮戊二酸还原酶活性连接酵母氨酸（saccharopine）。	A	https://enzyme.expasy.org/EC/1.5.1.8	本轮已访问反应条目或人类基因/蛋白记录	酶条目命名及数据库反应按可逆形式；人体通常讨论赖氨酸降解方向，未据此推断肿瘤通量。	2026-09-11
R019	2.1.1.2	GAMT	Q14353	胍基乙酸接受SAM的甲基生成肌酸。	A	https://enzyme.expasy.org/EC/2.1.1.2	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R020	2.7.3.2	CKB ; CKM	P12277 ; P06732	肌酸与磷酸肌酸之间的磷酸基转移。	A	https://enzyme.expasy.org/EC/2.7.3.2	本轮已访问反应条目或人类基因/蛋白记录	本轮列入胞质两种肌酸激酶；不是全部肌酸相关基因的穷尽目录。	2026-09-11
R021	2.6.1.42	BCAT1 ; BCAT2	P54687 ; O15382	支链氨基酸（含异亮氨酸）转氨反应连接谷氨酸。	A	https://enzyme.expasy.org/EC/2.6.1.42	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R022	1.14.16.1	PAH	P00439	苯丙氨酸羟化生成酪氨酸。	A	https://enzyme.expasy.org/EC/1.14.16.1	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R023	2.6.1.5	TAT	P17735	酪氨酸转氨连接4-羟基苯丙酮酸与谷氨酸。	A	https://enzyme.expasy.org/EC/2.6.1.5	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R024	1.13.11.27	HPD	P32754	4-羟基苯丙酮酸经氧化反应转化为尿黑酸。	A	https://enzyme.expasy.org/EC/1.13.11.27	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R025	3.5.1.9	AFMID	Q63HM1	N-甲酰犬尿氨酸水解生成犬尿氨酸。	A	https://enzyme.expasy.org/EC/3.5.1.9	本轮已访问反应条目或人类基因/蛋白记录	IDO1/TDO2作用于上游色氨酸，不能在一步直接关系表中替代AFMID。	2026-09-11
R026	3.7.1.3	KYNU	Q16719	犬尿氨酸水解生成邻氨基苯甲酸和丙氨酸。	A	https://enzyme.expasy.org/EC/3.7.1.3	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R027	1.14.13.9	KMO	O15229	犬尿氨酸羟化生成3-羟基犬尿氨酸。	A	https://enzyme.expasy.org/EC/1.14.13.9	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R028	1.13.11.20	CDO1	Q16878	半胱氨酸氧化生成半胱氨酸亚磺酸。	A	https://enzyme.expasy.org/EC/1.13.11.20	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R029	3.13.2.1	AHCY	P23526	SAH水解反应连接同型半胱氨酸与腺苷。	A	https://enzyme.expasy.org/EC/3.13.2.1	本轮已访问反应条目或人类基因/蛋白记录	现行EC 3.13.2.1；旧EC 3.3.1.1已转移。	2026-09-11
R030	2.5.1.6	MAT1A ; MAT2A	Q00266 ; P31153	甲硫氨酸与ATP参与SAM合成。	A	https://enzyme.expasy.org/EC/2.5.1.6	本轮已访问反应条目或人类基因/蛋白记录	不把调节亚基MAT2B当作独立催化基因。	2026-09-11
