cancer	cohort	relation_id	metabolite_key	stable_gene_id	gene	relation_type	metabolite_role	reaction_id	reaction_text	organism	evidence_id	source_url	evidence_level	mapping_status	identity_status	compound_specificity	added_or_reused	mapping_version	reason	metabolite_name	in_original42_relation_pool	legacy_relation_id
PDAC	CAMP_PDAC_GSE62452	be518d6b74258c87	KEGG:C00184	UniProtKB:Q9H993	DCPH1	DIRECT_REACTION	WRITTEN_RIGHT_PRODUCT	RHEA:28002	beta-D-fructose 6-phosphate = dihydroxyacetone + D-glyceraldehyde 3-phosphate	Homo sapiens	RHEA:28002	https://www.uniprot.org/uniprotkb/Q9H993/entry	HUMAN_EXPERIMENTAL_ANNOTATION	DIRECT	ANNOTATION_COMPATIBLE	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	REUSED_PAIRED51_V2	PDAC_paired51_mapping_v2	Exact human experimental annotation; source chemistry inherited	1,3-dihydroxyacetone	False	be518d6b74258c87
PDAC	CAMP_PDAC_GSE62452	567cc28eb507571a	KEGG:C00184	UniProtKB:Q3LXA3	TKFC	DIRECT_REACTION	WRITTEN_LEFT_SUBSTRATE	RHEA:15773	dihydroxyacetone + ATP = dihydroxyacetone phosphate + ADP + H(+)	Homo sapiens	RHEA:15773	https://www.uniprot.org/uniprotkb/Q3LXA3/entry	HUMAN_EXPERIMENTAL_ANNOTATION	DIRECT	ANNOTATION_COMPATIBLE	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	REUSED_PAIRED51_V2	PDAC_paired51_mapping_v2	Exact human experimental annotation; source chemistry inherited	1,3-dihydroxyacetone	False	567cc28eb507571a
PDAC	CAMP_PDAC_GSE62452	933849e4a7e53a7f	NAME:1-myristoylglycerol (14:0)	UniProtKB:Q8N2K0	ABHD12	DIRECT_REACTION	WRITTEN_LEFT_SUBSTRATE	RHEA:44312	1-tetradecanoylglycerol + H2O = tetradecanoate + glycerol + H(+)	Homo sapiens	RHEA:44312	https://www.uniprot.org/uniprotkb/Q8N2K0/entry	HUMAN_EXPERIMENTAL_ANNOTATION	DIRECT	ANNOTATION_COMPATIBLE	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	REUSED_PAIRED51_V2	PDAC_paired51_mapping_v2	Exact human experimental annotation; source chemistry inherited	1-myristoylglycerol (14:0)	False	933849e4a7e53a7f
PDAC	CAMP_PDAC_GSE62452	1f8efd07d56da2aa	NAME:1-myristoylglycerol (14:0)	UniProtKB:O95870	ABHD16A	DIRECT_REACTION	WRITTEN_LEFT_SUBSTRATE	RHEA:44312	1-tetradecanoylglycerol + H2O = tetradecanoate + glycerol + H(+)	Homo sapiens	RHEA:44312	https://www.uniprot.org/uniprotkb/O95870/entry	HUMAN_EXPERIMENTAL_ANNOTATION	DIRECT	ANNOTATION_COMPATIBLE	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	REUSED_PAIRED51_V2	PDAC_paired51_mapping_v2	Exact human experimental annotation; source chemistry inherited	1-myristoylglycerol (14:0)	False	1f8efd07d56da2aa
PDAC	CAMP_PDAC_GSE62452	edca165ae2cf8fdd	NAME:1-myristoylglycerol (14:0)	UniProtKB:Q9BV23	ABHD6	DIRECT_REACTION	WRITTEN_LEFT_SUBSTRATE	RHEA:44312	1-tetradecanoylglycerol + H2O = tetradecanoate + glycerol + H(+)	Homo sapiens	RHEA:44312	https://www.uniprot.org/uniprotkb/Q9BV23/entry	HUMAN_EXPERIMENTAL_ANNOTATION	DIRECT	ANNOTATION_COMPATIBLE	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	REUSED_PAIRED51_V2	PDAC_paired51_mapping_v2	Exact human experimental annotation; source chemistry inherited	1-myristoylglycerol (14:0)	False	edca165ae2cf8fdd
PDAC	CAMP_PDAC_GSE62452	e524515780687985	NAME:1-myristoylglycerol (14:0)	UniProtKB:Q99685	MGLL	DIRECT_REACTION	WRITTEN_LEFT_SUBSTRATE	RHEA:44312	1-tetradecanoylglycerol + H2O = tetradecanoate + glycerol + H(+)	Homo sapiens	RHEA:44312	https://www.uniprot.org/uniprotkb/Q99685/entry	HUMAN_EXPERIMENTAL_ANNOTATION	DIRECT	ANNOTATION_COMPATIBLE	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	REUSED_PAIRED51_V2	PDAC_paired51_mapping_v2	Exact human experimental annotation; source chemistry inherited	1-myristoylglycerol (14:0)	False	e524515780687985
PDAC	CAMP_PDAC_GSE62452	bb1f9b8dbed33ba8	NAME:1-oleoylglycerol (1-monoolein)	UniProtKB:Q8N2K0	ABHD12	DIRECT_REACTION	WRITTEN_LEFT_SUBSTRATE	RHEA:38487	1-(9Z-octadecenoyl)-glycerol + H2O = glycerol + (9Z)-octadecenoate + H(+)	Homo sapiens	RHEA:38487	https://www.uniprot.org/uniprotkb/Q8N2K0/entry	HUMAN_EXPERIMENTAL_ANNOTATION	DIRECT	ANNOTATION_COMPATIBLE	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	REUSED_PAIRED51_V2	PDAC_paired51_mapping_v2	Exact human experimental annotation; source chemistry inherited	1-oleoylglycerol (1-monoolein)	False	bb1f9b8dbed33ba8
PDAC	CAMP_PDAC_GSE62452	a62402e78c0edd9c	NAME:1-oleoylglycerol (1-monoolein)	UniProtKB:O95870	ABHD16A	DIRECT_REACTION	WRITTEN_LEFT_SUBSTRATE	RHEA:38487	1-(9Z-octadecenoyl)-glycerol + H2O = glycerol + (9Z)-octadecenoate + H(+)	Homo sapiens	RHEA:38487	https://www.uniprot.org/uniprotkb/O95870/entry	HUMAN_EXPERIMENTAL_ANNOTATION	DIRECT	ANNOTATION_COMPATIBLE	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	REUSED_PAIRED51_V2	PDAC_paired51_mapping_v2	Exact human experimental annotation; source chemistry inherited	1-oleoylglycerol (1-monoolein)	False	a62402e78c0edd9c
PDAC	CAMP_PDAC_GSE62452	8844e24ed7c15221	NAME:1-oleoylglycerol (1-monoolein)	UniProtKB:Q9H3Z7	ABHD16B	DIRECT_REACTION	WRITTEN_LEFT_SUBSTRATE	RHEA:38487	1-(9Z-octadecenoyl)-glycerol + H2O = glycerol + (9Z)-octadecenoate + H(+)	Homo sapiens	RHEA:38487	https://www.uniprot.org/uniprotkb/Q9H3Z7/entry	HUMAN_EXPERIMENTAL_ANNOTATION	DIRECT	ANNOTATION_COMPATIBLE	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	REUSED_PAIRED51_V2	PDAC_paired51_mapping_v2	Exact human experimental annotation; source chemistry inherited	1-oleoylglycerol (1-monoolein)	False	8844e24ed7c15221
PDAC	CAMP_PDAC_GSE62452	0715831efa52ca20	NAME:1-oleoylglycerol (1-monoolein)	UniProtKB:Q9BV23	ABHD6	DIRECT_REACTION	WRITTEN_LEFT_SUBSTRATE	RHEA:38487	1-(9Z-octadecenoyl)-glycerol + H2O = glycerol + (9Z)-octadecenoate + H(+)	Homo sapiens	RHEA:38487	https://www.uniprot.org/uniprotkb/Q9BV23/entry	HUMAN_EXPERIMENTAL_ANNOTATION	DIRECT	ANNOTATION_COMPATIBLE	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	REUSED_PAIRED51_V2	PDAC_paired51_mapping_v2	Exact human experimental annotation; source chemistry inherited	1-oleoylglycerol (1-monoolein)	False	0715831efa52ca20
