cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	human_gene_id	rna_symbol	original_effect	original_q	family_n_planned	model	nuisance_columns	design_rank	residual_df	min_category_n	n_excluded	bootstrap_valid	bootstrap_invalid	bootstrap_seed	ci_status	permutations	random_seed	ols_max_abs_error	loo_valid	loo_invalid	loo_min	loo_max	loo_max_abs_delta	loo_any_sign_change	m0_effect	m0_p	m0_q	m0_n	m0_cc_effect	m0_cc_p	m0_cc_q	m0_cc_n	m0_cc_origin	delta_adjustment	delta_case_selection
COAD	COAD	04_ROBUSTNESS	20260919T142500Z_covariates_v1	COAD_covariates_v1	M2	KEGG:C05127	1-methylhistamine	AOC1	GEO_annotated_independent_individual	33	NA	partial_rank_rho	-0.030365850344415805	-0.39194428827329936	0.3610325617657107	0.8758	0.9995999999999999	COAD_covariates_v1_M2	652	DONE	APPROXIMATE_FREEDMAN_LANE	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:26	AOC1	-0.596838488935626	0.0258711210739767	674	M2	6	6	26	8	0	4000	0	3210402301	DONE	9999	3963537150	0.0	33	0	-0.13749351225439557	0.026924371571979588	0.10712766190997977	True	0.07537394527861967	0.6814	0.9386414634146342	33	0.07537394527861967	0.6814	0.9386414634146342	33	IDENTICAL_INPUT_PRIMARY_REUSED	-0.10573979562303547	0.0
COAD	COAD	04_ROBUSTNESS	20260919T142500Z_covariates_v1	COAD_covariates_v1	M2	KEGG:C05127	1-methylhistamine	HNMT	GEO_annotated_independent_individual	33	NA	partial_rank_rho	0.044794265586901624	-0.3323228183931774	0.4522990153289618	0.8254	0.9995999999999999	COAD_covariates_v1_M2	652	DONE	APPROXIMATE_FREEDMAN_LANE	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:3176	HNMT	-0.596838488935626	0.0258711210739767	674	M2	6	6	26	8	0	4000	0	3210402301	DONE	9999	773144354	6.938893903907228e-18	33	0	-0.028068455522111603	0.16778302208932772	0.12298875650242609	True	0.12935572870432732	0.4773	0.9179794392523364	33	0.12935572870432732	0.4773	0.9179794392523364	33	IDENTICAL_INPUT_PRIMARY_REUSED	-0.0845614631174257	0.0
COAD	COAD	04_ROBUSTNESS	20260919T142500Z_covariates_v1	COAD_covariates_v1	M2	KEGG:C05127	1-methylhistamine	MAOA	GEO_annotated_independent_individual	NA	NA	partial_rank_rho	NA	NA	NA	NA	NA	NOT_IN_CURRENT_FAMILY	NA	NEEDS_REVIEW	OUTSIDE_LOCKED_FAMILY	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:4128	MAOA	-0.596838488935626	0.0258711210739767	NA	M2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
COAD	COAD	04_ROBUSTNESS	20260919T142500Z_covariates_v1	COAD_covariates_v1	M2	KEGG:C05127	1-methylhistamine	MAOB	GEO_annotated_independent_individual	NA	NA	partial_rank_rho	NA	NA	NA	NA	NA	NOT_IN_CURRENT_FAMILY	NA	NEEDS_REVIEW	OUTSIDE_LOCKED_FAMILY	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:4129	MAOB	-0.596838488935626	0.0258711210739767	NA	M2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
COAD	COAD	04_ROBUSTNESS	20260919T142500Z_covariates_v1	COAD_covariates_v1	M2	KEGG:C02918	1-methylnicotinamide	AOX1	GEO_annotated_independent_individual	NA	NA	partial_rank_rho	NA	NA	NA	NA	NA	NOT_IN_CURRENT_FAMILY	NA	NEEDS_REVIEW	OUTSIDE_LOCKED_FAMILY	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:316	AOX1	0.736754320620112	0.0104274039204103	NA	M2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
COAD	COAD	04_ROBUSTNESS	20260919T142500Z_covariates_v1	COAD_covariates_v1	M2	KEGG:C02918	1-methylnicotinamide	NNMT	GEO_annotated_independent_individual	33	NA	partial_rank_rho	0.2106183703133209	-0.2904175763580218	0.6938036343425982	0.2769	0.9741244755244756	COAD_covariates_v1_M2	652	DONE	APPROXIMATE_FREEDMAN_LANE	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:4837	NNMT	0.736754320620112	0.0104274039204103	674	M2	6	6	26	8	0	4000	0	3210402301	DONE	9999	199642154	8.326672684688674e-17	33	0	0.07716629459926608	0.3506251056808269	0.140006735367506	False	0.4070855614973262	0.0219	0.6877548387096774	33	0.4070855614973262	0.0219	0.6877548387096774	33	IDENTICAL_INPUT_PRIMARY_REUSED	-0.19646719118400532	0.0
COAD	COAD	04_ROBUSTNESS	20260919T142500Z_covariates_v1	COAD_covariates_v1	M2	KEGG:C02918	1-methylnicotinamide	SLC22A1	GEO_annotated_independent_individual	33	NA	partial_rank_rho	-0.14448985905252235	-0.4960081173303596	0.27906727586171837	0.4601	0.985824	COAD_covariates_v1_M2	652	DONE	APPROXIMATE_FREEDMAN_LANE	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:6580	SLC22A1	0.736754320620112	0.0104274039204103	674	M2	6	6	26	8	0	4000	0	3210402301	DONE	9999	330486362	1.1102230246251565e-16	33	0	-0.22750726653325626	-0.06904971314910258	0.08301740748073391	False	0.1032840314460908	0.5497	0.9179794392523364	33	0.1032840314460908	0.5497	0.9179794392523364	33	IDENTICAL_INPUT_PRIMARY_REUSED	-0.24777389049861315	0.0
COAD	COAD	04_ROBUSTNESS	20260919T142500Z_covariates_v1	COAD_covariates_v1	M2	KEGG:C02918	1-methylnicotinamide	SLC22A2	GEO_annotated_independent_individual	33	NA	partial_rank_rho	0.13802147058699488	-0.30774548526094997	0.5592126393084947	0.4849	0.985824	COAD_covariates_v1_M2	652	DONE	APPROXIMATE_FREEDMAN_LANE	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:6582	SLC22A2	0.736754320620112	0.0104274039204103	674	M2	6	6	26	8	0	4000	0	3210402301	DONE	9999	101292793	5.551115123125783e-17	33	0	0.05887759842707264	0.2552398355498985	0.11721836496290361	False	0.2182486631016043	0.2201	0.8362449438202246	33	0.2182486631016043	0.2201	0.8362449438202246	33	IDENTICAL_INPUT_PRIMARY_REUSED	-0.08022719251460941	0.0
COAD	COAD	04_ROBUSTNESS	20260919T142500Z_covariates_v1	COAD_covariates_v1	M2	KEGG:C00631	2-phosphoglycerate	BPGM	GEO_annotated_independent_individual	33	NA	partial_rank_rho	0.3183087440255366	-0.0744856295134343	0.591369421465624	0.0969	0.9741244755244756	COAD_covariates_v1_M2	652	DONE	APPROXIMATE_FREEDMAN_LANE	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:669	BPGM	-1.44511128689612	2.1849625495186e-06	674	M2	6	6	26	8	0	4000	0	3210402301	DONE	9999	741199872	0.0	33	0	0.22851103905857734	0.3874081516809975	0.08979770496695927	False	0.4003174627558803	0.0231	0.6877548387096774	33	0.4003174627558803	0.0231	0.6877548387096774	33	IDENTICAL_INPUT_PRIMARY_REUSED	-0.08200871873034371	0.0
COAD	COAD	04_ROBUSTNESS	20260919T142500Z_covariates_v1	COAD_covariates_v1	M2	KEGG:C00631	2-phosphoglycerate	ENO1	GEO_annotated_independent_individual	33	NA	partial_rank_rho	0.07055016581814186	-0.337034238729841	0.46031123078068165	0.72	0.9995999999999999	COAD_covariates_v1_M2	652	DONE	APPROXIMATE_FREEDMAN_LANE	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:2023	ENO1	-1.44511128689612	2.1849625495186e-06	674	M2	6	6	26	8	0	4000	0	3210402301	DONE	9999	2191834986	1.3877787807814457e-17	33	0	0.007533931254287591	0.17177756489727203	0.10122739907913017	False	-0.007568190838170872	0.9648	0.9890716981132075	33	-0.007568190838170872	0.9648	0.9890716981132075	33	IDENTICAL_INPUT_PRIMARY_REUSED	0.07811835665631273	0.0
